facekit_cohort,syndrome_name,syndrome_id,internal_syndrome_name,internal_syndrome_id
WILLIAMS-BEUREN SYNDROME; WBS__93e4a782,WILLIAMS-BEUREN SYNDROME; WBS,1,WILLIAMS-BEUREN SYNDROME; WBS,1
Cornelia de Lange syndrome__fb4a389d,Cornelia de Lange syndrome,0,Cornelia de Lange syndrome,0
Hypoplastic left heart syndrome__4a0adc65,Hypoplastic left heart syndrome,529,Hypoplastic left heart syndrome,529
Kabuki syndrome__fa463433,Kabuki syndrome,3,Kabuki syndrome,3
Hyperphosphatasia with mental retardation syndrome__adb3373e,Hyperphosphatasia with mental retardation syndrome,14,Hyperphosphatasia with mental retardation syndrome,14
"POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS; POIKTMP__6d23a22f","POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS; POIKTMP",297,"POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS; POIKTMP",297
Noonan syndrome__c2df3f82,Noonan syndrome,2,Noonan syndrome,2
Coffin-Siris syndrome__46fda5b4,Coffin-Siris syndrome,4,Coffin-Siris syndrome,4
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB__0a95390a","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB",52,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB",52
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP__f582842c","DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",145,"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",145
Klippel-Feil syndrome__c7bb7b7c,Klippel-Feil syndrome,301,Klippel-Feil syndrome,301
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 40; MRD40__637a7bce","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 40; MRD40",139,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 40; MRD40",139
"Autism, susceptiblity to__98424777","Autism, susceptiblity to",75,"Autism, susceptiblity to",75
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA__36118dec","INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",191,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",191
SMITH-MAGENIS SYNDROME; SMS__211f4178,SMITH-MAGENIS SYNDROME; SMS,30,SMITH-MAGENIS SYNDROME; SMS,30
WHITE-SUTTON SYNDROME; WHSUS__4d3fc142,WHITE-SUTTON SYNDROME; WHSUS,59,WHITE-SUTTON SYNDROME; WHSUS,59
Cardiofaciocutaneous syndrome__16c02f0d,Cardiofaciocutaneous syndrome,31,Cardiofaciocutaneous syndrome,31
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF__5d7fe27e","INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF",201,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, AUTISM, AND DYSMORPHIC FACIES; IDDSADF",201
BASILICATA-AKHTAR SYNDROME; MRXSBA__50b015d4,BASILICATA-AKHTAR SYNDROME; MRXSBA,57,BASILICATA-AKHTAR SYNDROME; MRXSBA,57
SHORT STATURE WITH MICROCEPHALY AND DISTINCTIVE FACIES; SSMCF__520ab551,SHORT STATURE WITH MICROCEPHALY AND DISTINCTIVE FACIES; SSMCF,512,SHORT STATURE WITH MICROCEPHALY AND DISTINCTIVE FACIES; SSMCF,512
"Microcephaly, growth restriction and increased sister chromatid exchange__4044d9f8","Microcephaly, growth restriction and increased sister chromatid exchange",219,"Microcephaly, growth restriction and increased sister chromatid exchange",219
COCKAYNE SYNDROME A; CSA__9a125272,COCKAYNE SYNDROME A; CSA,370,COCKAYNE SYNDROME A; CSA,370
POIKILODERMA WITH NEUTROPENIA; PN__c6b79fcf,POIKILODERMA WITH NEUTROPENIA; PN,120,POIKILODERMA WITH NEUTROPENIA; PN,120
Rothmund-Thomson syndrome__ae78139b,Rothmund-Thomson syndrome,96,Rothmund-Thomson syndrome,96
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72__d08757ea","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72",397,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 72; MRT72",397
VICI SYNDROME; VICIS__c7d0327b,VICI SYNDROME; VICIS,179,VICI SYNDROME; VICIS,179
SAUL-WILSON SYNDROME; SWILS__59b9d9d3,SAUL-WILSON SYNDROME; SWILS,207,SAUL-WILSON SYNDROME; SWILS,207
"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2__77f2cd03","MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2",216,"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2",216
Noonan syndrome-like disorder with loose anagen hair__13a2213d,Noonan syndrome-like disorder with loose anagen hair,229,Noonan syndrome-like disorder with loose anagen hair,229
HAREL-YOON SYNDROME; HAYOS__737800c9,HAREL-YOON SYNDROME; HAYOS,537,HAREL-YOON SYNDROME; HAYOS,537
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA__e5d7df20,INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,80,INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND BEHAVIORAL ABNORMALITIES; IDDFBA,80
KBG SYNDROME; KBGS__4b10cf71,KBG SYNDROME; KBGS,5,KBG SYNDROME; KBGS,5
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7__89ede939","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7",64,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7",64
"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD__ec7182a6","CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD",318,"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD",318
AU-KLINE SYNDROME; AUKS__e3f12848,AU-KLINE SYNDROME; AUKS,63,AU-KLINE SYNDROME; AUKS,63
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2__581e43e6","CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",126,"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",126
ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES__7c86f619,ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES,258,ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES,258
"Microcephaly, epilepsy, and diabetes syndrome__8e218601","Microcephaly, epilepsy, and diabetes syndrome",375,"Microcephaly, epilepsy, and diabetes syndrome",375
O'DONNELL-LURIA-RODAN SYNDROME; ODLURO__73fe3256,O'DONNELL-LURIA-RODAN SYNDROME; ODLURO,181,O'DONNELL-LURIA-RODAN SYNDROME; ODLURO,181
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB__4120092f","NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB",473,"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SLEEP DISTURBANCE, AND BRAIN ABNORMALITIES; NEDFASB",473
INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF__e3ef25df,INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF,401,INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES; IDDILF,401
3MC syndrome__6c005aa8,3MC syndrome,124,3MC syndrome,124
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62__2689ee2a","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62",106,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 62; MRD62",106
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87__afffc407,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87,226,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87,226
Cutis laxa__acec665e,Cutis laxa,22,Cutis laxa,22
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23__e1a3f133,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23,342,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23,342
LUSCAN-LUMISH SYNDROME; LLS__6e719817,LUSCAN-LUMISH SYNDROME; LLS,190,LUSCAN-LUMISH SYNDROME; LLS,190
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 58; MRT58__bf23e96f","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 58; MRT58",563,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 58; MRT58",563
"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB__05ebc2f0","NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB",168,"NEURODEVELOPMENTAL DISORDER WITH HEARING LOSS, SEIZURES, AND BRAIN ABNORMALITIES; NEDHSB",168
"MYASTHENIC SYNDROME, CONGENITAL, 22; CMS22__c3e888d0","MYASTHENIC SYNDROME, CONGENITAL, 22; CMS22",573,"MYASTHENIC SYNDROME, CONGENITAL, 22; CMS22",573
SMITH-KINGSMORE SYNDROME; SKS__26669e54,SMITH-KINGSMORE SYNDROME; SKS,244,SMITH-KINGSMORE SYNDROME; SKS,244
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, 35; MRXS35__5aa58c17","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, 35; MRXS35",418,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, 35; MRXS35",418
"NEURODEVELOPMENTAL DISORDER WITH NEONATAL RESPIRATORY INSUFFICIENCY, HYPOTONIA, AND FEEDING DIFFICULTIES; NEDRIHF__93d45d69","NEURODEVELOPMENTAL DISORDER WITH NEONATAL RESPIRATORY INSUFFICIENCY, HYPOTONIA, AND FEEDING DIFFICULTIES; NEDRIHF",86,"NEURODEVELOPMENTAL DISORDER WITH NEONATAL RESPIRATORY INSUFFICIENCY, HYPOTONIA, AND FEEDING DIFFICULTIES; NEDRIHF",86
Baraitser-Winter syndrome__9ab96026,Baraitser-Winter syndrome,20,Baraitser-Winter syndrome,20
SMITH-LEMLI-OPITZ SYNDROME; SLOS__a7cc6ffd,SMITH-LEMLI-OPITZ SYNDROME; SLOS,12,SMITH-LEMLI-OPITZ SYNDROME; SLOS,12
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST__d3b5a39a","INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST",119,"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, TURNER TYPE; MRXST",119
Meier-Gorlin syndrome__5fc08b77,Meier-Gorlin syndrome,66,Meier-Gorlin syndrome,66
MUENKE SYNDROME; MNKES__051ddad5,MUENKE SYNDROME; MNKES,435,MUENKE SYNDROME; MNKES,435
Hutchinson-Gilford progeria__054d7fbd,Hutchinson-Gilford progeria,18,Hutchinson-Gilford progeria,18
"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies__7fc1a263","Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies",187,"Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies",187
Blepharocheilodontic syndrome__179359ce,Blepharocheilodontic syndrome,294,Blepharocheilodontic syndrome,294
Robinow syndrome__3fa0c0ae,Robinow syndrome,43,Robinow syndrome,43
Omodysplasia__5a90ab3d,Omodysplasia,487,Omodysplasia,487
MAPKAPK5__1eee1f1b,MAPKAPK5,470,MAPKAPK5,470
HAO-FOUNTAIN SYNDROME; HAFOUS__593e62cd,HAO-FOUNTAIN SYNDROME; HAFOUS,71,HAO-FOUNTAIN SYNDROME; HAFOUS,71
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS__6ec92290,BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,107,BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,107
FG syndrome__a82c5f04,FG syndrome,164,FG syndrome,164
HARTSFIELD SYNDROME; HRTFDS__7f531d74,HARTSFIELD SYNDROME; HRTFDS,245,HARTSFIELD SYNDROME; HRTFDS,245
Fraser syndrome__a2a5c72f,Fraser syndrome,270,Fraser syndrome,270
OCULODENTODIGITAL DYSPLASIA; ODDD__b6c748b5,OCULODENTODIGITAL DYSPLASIA; ODDD,67,OCULODENTODIGITAL DYSPLASIA; ODDD,67
CATEL-MANZKE SYNDROME; CATMANS__ec87f445,CATEL-MANZKE SYNDROME; CATMANS,516,CATEL-MANZKE SYNDROME; CATMANS,516
Frontometaphyseal dysplasia__022337fa,Frontometaphyseal dysplasia,194,Frontometaphyseal dysplasia,194
CAREY-FINEMAN-ZITER SYNDROME; CFZS__b07fb2e2,CAREY-FINEMAN-ZITER SYNDROME; CFZS,222,CAREY-FINEMAN-ZITER SYNDROME; CFZS,222
Osteogenesis imperfecta__0821762f,Osteogenesis imperfecta,72,Osteogenesis imperfecta,72
