shortlist_rank,demographic_layer,syndrome,feature,group,n_disease,n_healthy_matched,hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,global_fdr_q_value,within_group_fdr_q_value,evidence_level,global_significant_fdr,direction_agrees_with_pooled
1,broad,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,African,14.0,136.0,1.728979058255363,1.2356823549739882,2.349206229419863,0.0005921822377234,3.378229883656916e-05,moderate,True,True
1,broad,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,Asian,25.0,532.0,1.320634813372231,0.8685223497902603,1.7734679318823234,0.0002945889228555,2.429335735354277e-06,primary,True,True
1,broad,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,European,7.0,137.0,0.8311237895373919,0.4765111296470806,1.3073246895066202,0.2094745558402822,0.1265037631104124,exploratory,False,True
1,broad,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,Others,21.0,137.0,1.0126162466907616,0.5391204207381307,1.5574733835523251,0.0239921903208989,0.0017327693009538,primary,True,True
2,broad,Cornelia de Lange syndrome,philtrum_length,African,2.0,136.0,0.8003019158727498,-0.3269514987720742,2.010985733447434,0.7265667165511361,0.8210976600344894,insufficient,False,True
2,broad,Cornelia de Lange syndrome,philtrum_length,Asian,11.0,532.0,0.8501470658539835,0.2239875543067254,1.4741677821627512,0.1859070925068613,0.0829673505926842,moderate,False,True
2,broad,Cornelia de Lange syndrome,philtrum_length,European,29.0,137.0,1.1376622106484973,0.6525187364078596,1.619129839067694,0.0008342843984999,6.014085146176258e-05,primary,True,True
2,broad,Cornelia de Lange syndrome,philtrum_length,Others,21.0,137.0,1.4386590753594637,0.8901172165654516,1.963037756313707,0.0013665422433158,3.321456841392598e-05,primary,True,True
3,broad,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,African,14.0,136.0,1.346851909971312,0.8021909071421622,1.9790165224744776,0.0146636629276956,0.0004612344956832,moderate,True,True
3,broad,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,Asian,25.0,532.0,1.213014714134729,0.7093290404459857,1.712687427792142,0.0010814835593029,1.0796059836791388e-05,primary,True,True
3,broad,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,European,7.0,137.0,1.2894555055392936,0.3194785817408667,2.1735582337404953,0.1415289990469685,0.110815240573234,exploratory,False,True
3,broad,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,Others,21.0,137.0,0.8482982816226657,0.4369813418954551,1.3437996238857757,0.0458246130227491,0.0038293253012065,primary,True,True
4,broad,Cornelia de Lange syndrome,philtrum_width,African,2.0,136.0,-0.2445873671162158,-0.5026540469789019,0.0198932945732946,0.908688250526396,1.0,insufficient,False,True
4,broad,Cornelia de Lange syndrome,philtrum_width,Asian,11.0,532.0,-0.7390525949953731,-1.159040833898572,-0.2839152839518804,0.1984779780874477,0.0919166678035185,moderate,False,True
4,broad,Cornelia de Lange syndrome,philtrum_width,European,29.0,137.0,-1.3413222746911886,-1.669581027709028,-1.0607656158088,5.719383256174405e-06,3.971793927898893e-08,primary,True,True
4,broad,Cornelia de Lange syndrome,philtrum_width,Others,21.0,137.0,-0.5198105212747337,-0.9223522948329348,-0.1694598978985458,0.2242324998876583,0.0558106157213683,primary,False,True
5,broad,Noonan syndrome,inter_pupillary_distance,African,6.0,136.0,1.9058922910826244,0.963722546822542,2.793336088025259,0.0647291013509552,0.0156457925225409,exploratory,False,True
5,broad,Noonan syndrome,inter_pupillary_distance,Asian,9.0,532.0,1.7302193088701316,0.6409932303163578,2.8026074410124244,0.0978720091445455,0.0186455239643428,exploratory,False,True
