feature,anatomical_region,feature_family,syndromes_tested,number_significant,number_significant_positive,number_significant_negative,number_significant_large,median_signed_g_among_significant,median_absolute_g_among_significant,significant_fraction_among_tested_syndromes
midface_width,global face shape / proportions,midface_width,49,5,5,0,2,0.625455922883151,0.625455922883151,0.10204081632653061
mouth_upper_fit_residual,philtrum / mouth / lips,mouth_upper_fit_residual,49,3,1,2,1,-0.5670179841515873,0.7754770218811521,0.061224489795918366
mouth_width,philtrum / mouth / lips,mouth_width,49,2,2,0,1,0.725498634889026,0.725498634889026,0.04081632653061224
nose_tip_to_bridge_ratio,nose,nose_tip_to_bridge_ratio,49,9,2,7,4,-0.7416263654009825,0.7462312013166825,0.1836734693877551
forehead_height,forehead,forehead_height,49,22,22,0,15,0.9373305072894609,0.9373305072894609,0.4489795918367347
hairline_height,forehead,hairline_height,49,22,22,0,15,0.9373305072894609,0.9373305072894609,0.4489795918367347
iris_offset_y_l,ocular position / iris / gaze,iris_offset_y,49,24,0,24,13,-0.8196444320786467,0.8196444320786467,0.4897959183673469
nose_base_width,nose,nose_base_width,49,8,2,6,2,-0.7362271598388236,0.7499651086760604,0.16326530612244897
iris_offset_y_r,ocular position / iris / gaze,iris_offset_y,49,18,0,18,9,-0.7981545084578712,0.7981545084578712,0.3673469387755102
upper_vermilion_height,philtrum / mouth / lips,upper_vermilion_height,49,3,1,2,1,-0.6593178519533154,0.7162799728833378,0.061224489795918366
mouth_triangularity,philtrum / mouth / lips,mouth_triangularity,49,4,2,2,2,-0.06167281121162249,0.7584696926523884,0.08163265306122448
mouth_tenting,philtrum / mouth / lips,mouth_tenting,49,5,3,2,3,0.6758632610380965,0.826935678762206,0.10204081632653061
mouth_upper_curvature_c2,philtrum / mouth / lips,mouth_upper_curvature_c2,49,4,2,2,1,0.03635894563087205,0.7083959534748787,0.08163265306122448
mouth_corner_drop,philtrum / mouth / lips,mouth_corner_drop,49,6,1,5,3,-0.6901637028303682,0.7837036401055755,0.12244897959183673
malar_bulge_mean,cheeks / malar region,malar_bulge,49,12,0,12,8,-0.9373932967051425,0.9373932967051425,0.24489795918367346
upper_lip_eversion,philtrum / mouth / lips,upper_lip_eversion,49,4,2,2,1,-0.09937227689382769,0.6912282970096268,0.08163265306122448
nose_tip_width,nose,nose_tip_width,49,4,2,2,2,-0.035645292742857604,0.7500268019430261,0.08163265306122448
vermilion_total,philtrum / mouth / lips,vermilion_total,49,4,4,0,1,0.662414301464578,0.662414301464578,0.08163265306122448
chin_width,chin / jaw,chin_width,49,18,0,18,13,-0.9132100929051306,0.9132100929051306,0.3673469387755102
philtrum_width,philtrum / mouth / lips,philtrum_width,49,21,0,21,15,-0.9288175760965144,0.9288175760965144,0.42857142857142855
face_triangularity,global face shape / proportions,face_triangularity,49,18,18,0,16,1.0379059050174955,1.0379059050174955,0.3673469387755102
lower_lip_eversion,philtrum / mouth / lips,lower_lip_eversion,49,4,4,0,1,0.6945277208169642,0.6945277208169642,0.08163265306122448
lower_vermilion_height,philtrum / mouth / lips,lower_vermilion_height,49,5,5,0,1,0.7262551635484835,0.7262551635484835,0.10204081632653061
