position,feature,anatomical_region,feature_family,family_rule,measurement_description,normalization_or_formula_context
1,eb_thickness_r,eyebrows,eb_thickness,right/left/mean variants grouped; asymmetry retained separately,Eyebrow thickness right,bizygomatic width squared
2,eb_thickness_l,eyebrows,eb_thickness,right/left/mean variants grouped; asymmetry retained separately,Eyebrow thickness left,bizygomatic width squared
3,eb_thickness_mean,eyebrows,eb_thickness,right/left/mean variants grouped; asymmetry retained separately,Eyebrow thickness bilateral mean,bizygomatic width squared
4,eb_thickness_asym,eyebrows,eb_thickness_asym,exact formula retained as its own family,Eyebrow thickness asymmetry,side-to-side difference or normalized asymmetry; see historical formula
5,eb_inter_distance,eyebrows,eb_inter_distance,exact formula retained as its own family,Eyebrow between distance,bizygomatic width
6,eb_arch_r,eyebrows,eb_arch,right/left/mean variants grouped; asymmetry retained separately,Eyebrow arch right,bizygomatic width
7,eb_arch_l,eyebrows,eb_arch,right/left/mean variants grouped; asymmetry retained separately,Eyebrow arch left,bizygomatic width
8,eb_arch_mean,eyebrows,eb_arch,right/left/mean variants grouped; asymmetry retained separately,Eyebrow arch bilateral mean,bizygomatic width
9,eb_arch_asym,eyebrows,eb_arch_asym,exact formula retained as its own family,Eyebrow arch asymmetry,side-to-side difference or normalized asymmetry; see historical formula
10,eb_position_r,eyebrows,eb_position,right/left/mean variants grouped; asymmetry retained separately,Eyebrow position right,bizygomatic width
11,eb_position_l,eyebrows,eb_position,right/left/mean variants grouped; asymmetry retained separately,Eyebrow position left,bizygomatic width
12,eb_position_mean,eyebrows,eb_position,right/left/mean variants grouped; asymmetry retained separately,Eyebrow position bilateral mean,bizygomatic width
13,eb_position_asym,eyebrows,eb_position_asym,exact formula retained as its own family,Eyebrow position asymmetry,side-to-side difference or normalized asymmetry; see historical formula
14,eb_medial_flare_r,eyebrows,eb_medial_flare,right/left/mean variants grouped; asymmetry retained separately,Eyebrow medial flare right,bizygomatic width
15,eb_medial_flare_l,eyebrows,eb_medial_flare,right/left/mean variants grouped; asymmetry retained separately,Eyebrow medial flare left,bizygomatic width
16,eb_lateral_thickness_r,eyebrows,eb_lateral_thickness,right/left/mean variants grouped; asymmetry retained separately,Eyebrow lateral thickness right,bizygomatic width squared
17,eb_lateral_thickness_l,eyebrows,eb_lateral_thickness,right/left/mean variants grouped; asymmetry retained separately,Eyebrow lateral thickness left,bizygomatic width squared
18,eb_medial_flare_mean,eyebrows,eb_medial_flare,right/left/mean variants grouped; asymmetry retained separately,Eyebrow medial flare bilateral mean,bizygomatic width
19,eb_lateral_thickness_mean,eyebrows,eb_lateral_thickness,right/left/mean variants grouped; asymmetry retained separately,Eyebrow lateral thickness bilateral mean,bizygomatic width squared
20,eb_lateral_thickness_asym,eyebrows,eb_lateral_thickness_asym,exact formula retained as its own family,Eyebrow lateral thickness asymmetry,side-to-side difference or normalized asymmetry; see historical formula
21,eye_fissure_length_r,eyes / orbital dimensions,eye_fissure_length,right/left/mean variants grouped; asymmetry retained separately,Eye opening length right,bizygomatic width
22,eye_fissure_height_r,eyes / orbital dimensions,eye_fissure_height,right/left/mean variants grouped; asymmetry retained separately,Eye opening height right,bizygomatic width
23,eye_fissure_length_l,eyes / orbital dimensions,eye_fissure_length,right/left/mean variants grouped; asymmetry retained separately,Eye opening length left,bizygomatic width
24,eye_fissure_height_l,eyes / orbital dimensions,eye_fissure_height,right/left/mean variants grouped; asymmetry retained separately,Eye opening height left,bizygomatic width
25,eye_fissure_length_mean,eyes / orbital dimensions,eye_fissure_length,right/left/mean variants grouped; asymmetry retained separately,Eye opening length bilateral mean,bizygomatic width
26,eye_fissure_height_mean,eyes / orbital dimensions,eye_fissure_height,right/left/mean variants grouped; asymmetry retained separately,Eye opening height bilateral mean,bizygomatic width
27,eye_fissure_length_asym,eyes / orbital dimensions,eye_fissure_length_asym,exact formula retained as its own family,Eye opening length asymmetry,side-to-side difference or normalized asymmetry; see historical formula
28,eye_fissure_height_asym,eyes / orbital dimensions,eye_fissure_height_asym,exact formula retained as its own family,Eye opening height asymmetry,side-to-side difference or normalized asymmetry; see historical formula
29,eye_fissure_slant_r,eyes / orbital dimensions,eye_fissure_slant,right/left/mean variants grouped; asymmetry retained separately,Eye opening slant right,"angle in degrees, except normalized asymmetry variants"
30,eye_fissure_slant_l,eyes / orbital dimensions,eye_fissure_slant,right/left/mean variants grouped; asymmetry retained separately,Eye opening slant left,"angle in degrees, except normalized asymmetry variants"
31,eye_fissure_slant_mean,eyes / orbital dimensions,eye_fissure_slant,right/left/mean variants grouped; asymmetry retained separately,Eye opening slant bilateral mean,"angle in degrees, except normalized asymmetry variants"
32,eye_fissure_slant_asym,eyes / orbital dimensions,eye_fissure_slant_asym,exact formula retained as its own family,Eye opening slant asymmetry,side-to-side difference or normalized asymmetry; see historical formula
33,eye_fissure_aspect_r,eyes / orbital dimensions,eye_fissure_aspect,right/left/mean variants grouped; asymmetry retained separately,Eye opening aspect right,local eye-fissure dimension
34,eye_fissure_aspect_l,eyes / orbital dimensions,eye_fissure_aspect,right/left/mean variants grouped; asymmetry retained separately,Eye opening aspect left,local eye-fissure dimension
35,eye_fissure_aspect_mean,eyes / orbital dimensions,eye_fissure_aspect,right/left/mean variants grouped; asymmetry retained separately,Eye opening aspect bilateral mean,local eye-fissure dimension
36,inter_canthal_distance,eyes / orbital dimensions,inter_canthal_distance,exact formula retained as its own family,Between canthal distance,bizygomatic width
37,inter_pupillary_distance,ocular position / iris / gaze,inter_pupillary_distance,exact formula retained as its own family,Between pupillary distance,bizygomatic width
38,outer_canthal_distance,eyes / orbital dimensions,outer_canthal_distance,exact formula retained as its own family,Outer canthal distance,bizygomatic width
39,canthal_to_pupillary_ratio,eyes / orbital dimensions,canthal_to_pupillary_ratio,exact formula retained as its own family,Canthal to pupillary ratio,intercanthal / interpupillary distance
40,eye_epicanthus_angle_r,eyes / orbital dimensions,eye_epicanthus_angle,right/left/mean variants grouped; asymmetry retained separately,Eye epicanthus angle right,"angle in degrees, except normalized asymmetry variants"
41,eye_epicanthus_angle_l,eyes / orbital dimensions,eye_epicanthus_angle,right/left/mean variants grouped; asymmetry retained separately,Eye epicanthus angle left,"angle in degrees, except normalized asymmetry variants"
42,eye_epicanthus_angle_mean,eyes / orbital dimensions,eye_epicanthus_angle,right/left/mean variants grouped; asymmetry retained separately,Eye epicanthus angle bilateral mean,"angle in degrees, except normalized asymmetry variants"
43,eye_epicanthus_angle_asym,eyes / orbital dimensions,eye_epicanthus_angle_asym,exact formula retained as its own family,Eye epicanthus angle asymmetry,side-to-side difference or normalized asymmetry; see historical formula
44,eye_upper_lid_to_iris_r,ocular position / iris / gaze,eye_upper_lid_to_iris,right/left/mean variants grouped; asymmetry retained separately,Eye upper lid to iris right,bizygomatic width
45,eye_lower_lid_to_iris_r,ocular position / iris / gaze,eye_lower_lid_to_iris,right/left/mean variants grouped; asymmetry retained separately,Eye lower lid to iris right,bizygomatic width
46,eye_upper_lid_to_iris_l,ocular position / iris / gaze,eye_upper_lid_to_iris,right/left/mean variants grouped; asymmetry retained separately,Eye upper lid to iris left,bizygomatic width
47,eye_lower_lid_to_iris_l,ocular position / iris / gaze,eye_lower_lid_to_iris,right/left/mean variants grouped; asymmetry retained separately,Eye lower lid to iris left,bizygomatic width
48,eye_upper_lid_to_iris_mean,ocular position / iris / gaze,eye_upper_lid_to_iris,right/left/mean variants grouped; asymmetry retained separately,Eye upper lid to iris bilateral mean,bizygomatic width
49,eye_upper_lid_to_iris_asym,ocular position / iris / gaze,eye_upper_lid_to_iris_asym,exact formula retained as its own family,Eye upper lid to iris asymmetry,side-to-side difference or normalized asymmetry; see historical formula
50,eye_lower_lid_to_iris_mean,ocular position / iris / gaze,eye_lower_lid_to_iris,right/left/mean variants grouped; asymmetry retained separately,Eye lower lid to iris bilateral mean,bizygomatic width
51,eye_lower_lid_to_iris_asym,ocular position / iris / gaze,eye_lower_lid_to_iris_asym,exact formula retained as its own family,Eye lower lid to iris asymmetry,side-to-side difference or normalized asymmetry; see historical formula
52,eye_area_r,eyes / orbital dimensions,eye_area,right/left/mean variants grouped; asymmetry retained separately,Eye area right,bizygomatic width squared
53,eye_area_l,eyes / orbital dimensions,eye_area,right/left/mean variants grouped; asymmetry retained separately,Eye area left,bizygomatic width squared
54,eye_area_mean,eyes / orbital dimensions,eye_area,right/left/mean variants grouped; asymmetry retained separately,Eye area bilateral mean,bizygomatic width squared
55,eye_area_asym,eyes / orbital dimensions,eye_area_asym,exact formula retained as its own family,Eye area asymmetry,side-to-side difference or normalized asymmetry; see historical formula
56,eye_fissure_fill_r,eyes / orbital dimensions,eye_fissure_fill,right/left/mean variants grouped; asymmetry retained separately,Eye opening fill right,local eye-fissure dimension
57,eye_fissure_fill_l,eyes / orbital dimensions,eye_fissure_fill,right/left/mean variants grouped; asymmetry retained separately,Eye opening fill left,local eye-fissure dimension
58,eye_fissure_fill_mean,eyes / orbital dimensions,eye_fissure_fill,right/left/mean variants grouped; asymmetry retained separately,Eye opening fill bilateral mean,local eye-fissure dimension
