literature_priority,shortlist_rank,syndrome,feature,measurement_description,normalization_or_formula_context,n_disease,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,demographic_support_summary,suggested_clinical_synonyms,suggested_HPO_search_terms,suggested_literature_query,literature_status
first-pass,1,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,Eyebrow thickness bilateral mean,bizygomatic width squared,67,1.26278705539905,1.0217725976402623,1.5404061766275805,3.1494788136802073e-13,1.26278705539905,1.0217725976402623,1.5404061766275805,2.519583050944165e-13,"broad:African n=14, g=1.73, global q=0.000592, moderate; broad:Asian n=25, g=1.32, global q=0.000295, primary; broad:European n=7, g=0.83, global q=0.209, exploratory; broad:Others n=21, g=1.01, global q=0.024, primary; detailed:African n=14, g=1.73, global q=0.000955, moderate; detailed:European n=7, g=0.83, global q=0.195, exploratory; detailed:Latino/Hispanic n=15, g=1.04, global q=0.067, moderate; detailed:South Asian n=15, g=1.82, global q=0.000697, moderate",eb thickness mean; facial morphology; craniofacial measurement,eb thickness mean; abnormal facial morphology,"""WILLIAMS-BEUREN SYNDROME; WBS"" AND (""eb thickness mean"" OR craniofacial OR facial phenotype)",unreviewed
first-pass,2,Cornelia de Lange syndrome,philtrum_length,Philtrum length,midface height,64,1.2804218861700882,0.9890681702133498,1.6064062947832602,7.552098962968956e-13,1.321004043098042,1.030106563954944,1.6417923584222844,2.519583050944165e-13,"broad:Asian n=11, g=0.85, global q=0.186, moderate; broad:European n=29, g=1.14, global q=0.000834, primary; broad:Others n=21, g=1.44, global q=0.00137, primary; detailed:European n=29, g=1.14, global q=0.00125, primary; detailed:Latino/Hispanic n=21, g=1.44, global q=0.00184, primary",philtrum length; facial morphology; craniofacial measurement,philtrum length; abnormal facial morphology,"""Cornelia de Lange syndrome"" AND (""philtrum length"" OR craniofacial OR facial phenotype)",unreviewed
first-pass,3,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,Outer canthal distance,bizygomatic width,67,1.1052085163812075,0.8245776659677804,1.3954665071160337,5.893184793100345e-11,1.1052085163812075,0.8245776659677804,1.3954665071160337,5.893184793100345e-11,"broad:African n=14, g=1.35, global q=0.0147, moderate; broad:Asian n=25, g=1.21, global q=0.00108, primary; broad:European n=7, g=1.29, global q=0.142, exploratory; broad:Others n=21, g=0.85, global q=0.0458, primary; detailed:African n=14, g=1.35, global q=0.016, moderate; detailed:European n=7, g=1.29, global q=0.126, exploratory; detailed:Latino/Hispanic n=15, g=0.95, global q=0.0617, moderate; detailed:South Asian n=15, g=1.17, global q=0.0441, moderate",outer canthal distance; facial morphology; craniofacial measurement,outer canthal distance; abnormal facial morphology,"""WILLIAMS-BEUREN SYNDROME; WBS"" AND (""outer canthal distance"" OR craniofacial OR facial phenotype)",unreviewed
first-pass,4,Cornelia de Lange syndrome,philtrum_width,Philtrum width,mouth width,64,-1.0102511688045703,-1.2181727529013966,-0.8163757979334318,8.622968776293074e-12,-1.0394083593579828,-1.2438412682418407,-0.8452865486497055,7.991573930513238e-13,"broad:Asian n=11, g=-0.74, global q=0.198, moderate; broad:European n=29, g=-1.34, global q=5.72e-06, primary; broad:Others n=21, g=-0.52, global q=0.224, primary; detailed:European n=29, g=-1.34, global q=1.04e-05, primary; detailed:Latino/Hispanic n=21, g=-0.52, global q=0.213, primary",philtrum width; facial morphology; craniofacial measurement,philtrum width; abnormal facial morphology,"""Cornelia de Lange syndrome"" AND (""philtrum width"" OR craniofacial OR facial phenotype)",unreviewed
first-pass,5,Noonan syndrome,inter_pupillary_distance,Between pupillary distance,bizygomatic width,34,1.318882217017805,0.8200175888304531,1.8177713414474108,2.8806779586561127e-06,1.316091075775544,0.8200175888304531,1.8177713414474108,2.8806779586561127e-06,"broad:African n=6, g=1.91, global q=0.0647, exploratory; broad:Asian n=9, g=1.73, global q=0.0979, exploratory; broad:European n=9, g=1.17, global q=0.0857, exploratory; detailed:African n=6, g=1.91, global q=0.0569, exploratory; detailed:European n=9, g=1.17, global q=0.0744, exploratory",inter pupillary distance; facial morphology; craniofacial measurement,inter pupillary distance; abnormal facial morphology,"""Noonan syndrome"" AND (""inter pupillary distance"" OR craniofacial OR facial phenotype)",unreviewed
second-pass,6,Mucopolysaccharidoses,chin_pointedness_angle,Chin pointedness angle,"angle in degrees, except normalized asymmetry variants",37,1.1491547799316888,0.8582362708699979,1.4425568278665577,1.0567021673562795e-07,1.1842531445653712,0.8964137602807977,1.4753186873286364,4.892043882396629e-08,"broad:Asian n=7, g=1.41, global q=0.0816, exploratory; broad:European n=11, g=1.39, global q=0.0195, moderate; detailed:European n=11, g=1.39, global q=0.0209, moderate",chin pointedness angle; facial morphology; craniofacial measurement,chin pointedness angle; abnormal facial morphology,"""Mucopolysaccharidoses"" AND (""chin pointedness angle"" OR craniofacial OR facial phenotype)",unreviewed
second-pass,7,Noonan syndrome,nose_bridge_width,Nose bridge width,bizygomatic width,34,1.137261202117403,0.7239046399964707,1.573424316543418,1.359274111370936e-05,1.1379209429923067,0.7239046399964707,1.574394249987355,1.2826952881951086e-05,"broad:African n=6, g=1.60, global q=0.143, exploratory; broad:Asian n=9, g=1.56, global q=0.0528, exploratory; broad:European n=9, g=0.87, global q=0.16, exploratory; detailed:African n=6, g=1.60, global q=0.127, exploratory; detailed:European n=9, g=0.87, global q=0.144, exploratory",nose bridge width; facial morphology; craniofacial measurement,nose bridge width; abnormal facial morphology,"""Noonan syndrome"" AND (""nose bridge width"" OR craniofacial OR facial phenotype)",unreviewed
second-pass,8,KBG SYNDROME; KBGS,jaw_bigonial_width,Jaw bigonial width,bizygomatic width,32,-1.2565595356616148,-1.561786561985991,-0.9659141664412944,6.889344033793679e-08,-1.3051316961611763,-1.5725199152094884,-1.0239473399153334,1.0730787377021064e-08,"broad:European n=24, g=-1.72, global q=7.36e-06, primary; detailed:European n=24, g=-1.72, global q=1.04e-05, primary",jaw bigonial width; facial morphology; craniofacial measurement,jaw bigonial width; abnormal facial morphology,"""KBG SYNDROME; KBGS"" AND (""jaw bigonial width"" OR craniofacial OR facial phenotype)",unreviewed
second-pass,9,WIEDEMANN-STEINER SYNDROME; WDSTS,inter_canthal_distance,Between canthal distance,bizygomatic width,14,1.8780167035724515,1.3350946526780614,2.4827095888007413,1.6274149381302962e-05,1.8780167035724515,1.3350946526780614,2.4827095888007413,1.5633342778004753e-05,"broad:Asian n=11, g=2.18, global q=0.00109, moderate",inter canthal distance; facial morphology; craniofacial measurement,inter canthal distance; abnormal facial morphology,"""WIEDEMANN-STEINER SYNDROME; WDSTS"" AND (""inter canthal distance"" OR craniofacial OR facial phenotype)",unreviewed
second-pass,10,Kabuki syndrome,outer_canthal_distance,Outer canthal distance,bizygomatic width,35,1.0790013204294004,0.7805019629830131,1.3629520939791524,2.031458656040721e-06,1.112128395205172,0.8188860795056576,1.4020575557263704,8.454840360442732e-07,"broad:Asian n=19, g=1.01, global q=0.0137, moderate; broad:European n=13, g=1.52, global q=0.00363, moderate; detailed:East Asian n=16, g=1.76, global q=0.000697, moderate; detailed:European n=13, g=1.52, global q=0.00414, moderate",outer canthal distance; facial morphology; craniofacial measurement,outer canthal distance; abnormal facial morphology,"""Kabuki syndrome"" AND (""outer canthal distance"" OR craniofacial OR facial phenotype)",unreviewed
