review_rank,syndrome,feature,anatomical_region,feature_family,candidate_tier,n_disease,n_healthy,mean_disease,median_disease,mean_healthy,median_healthy,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,cliffs_delta,rank_biserial,effect_direction_bootstrap_stability,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,both_selections_significant,effect_direction_agrees,absolute_change_hedges_g,both_confidence_intervals_exclude_zero,interpretability_flag,editorial_rank_score,literature_status,clinical_interpretation,literature_search_terms
1,WILLIAMS-BEUREN SYNDROME; WBS,chin_height,chin / jaw,chin_height,primary_candidate,67,942,0.1252501516562031,0.1267750252769434,0.176382523906743,0.1763056592284836,-1.4641795806953473,-1.6875257389246408,-1.2340515340431188,1.57621422160414e-20,-0.7431314763760813,-0.7431314763760815,1.0,-1.4641795806953473,-1.6875257389246408,-1.2340515340431188,1.57621422160414e-20,True,True,0.0,True,True,14.464179580695347,unreviewed,TBD,TBD
2,WILLIAMS-BEUREN SYNDROME; WBS,malar_bulge_mean,cheeks / malar region,malar_bulge,primary_candidate,67,942,0.0310405031503945,0.0323137421216408,0.0412305950089593,0.0416614638437925,-1.4071244085987935,-1.763600438424677,-1.114688286175228,1.4070686056078247e-14,-0.6327280793484805,-0.6327280793484805,1.0,-1.4071244085987935,-1.763600438424677,-1.114688286175228,1.4070686056078247e-14,True,True,0.0,True,True,14.407124408598794,unreviewed,TBD,TBD
3,WILLIAMS-BEUREN SYNDROME; WBS,nose_bridge_width,nose,nose_bridge_width,primary_candidate,67,942,0.0835529377616343,0.0834493166000112,0.0792330153015402,0.0789639324344417,1.2638604833300444,0.9634956184756164,1.5852799859835045,7.985691264581283e-12,0.5637734892416897,0.5637734892416897,1.0,1.2638604833300444,0.9634956184756164,1.5852799859835045,7.1871221381231536e-12,True,True,0.0,True,True,14.263860483330044,unreviewed,TBD,TBD
4,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,eyebrows,eb_thickness,primary_candidate,67,942,0.0174598946917306,0.0170574627305921,0.0152435255920658,0.0152085555704443,1.26278705539905,1.0217725976402623,1.5404061766275805,3.1494788136802073e-13,0.6026872009379852,0.6026872009379853,1.0,1.26278705539905,1.0217725976402623,1.5404061766275805,2.519583050944165e-13,True,True,0.0,True,True,14.26278705539905,unreviewed,TBD,TBD
5,WILLIAMS-BEUREN SYNDROME; WBS,jaw_to_forehead_ratio,chin / jaw,jaw_to_forehead_ratio,primary_candidate,67,942,1.0087185597576074,1.0090222433192986,1.084235035651304,1.0820499752326038,-1.223199549305633,-1.4382156853453385,-0.960357395751575,3.1494788136802073e-13,-0.6002788604746966,-0.6002788604746966,1.0,-1.223199549305633,-1.4382156853453385,-0.960357395751575,2.519583050944165e-13,True,True,0.0,True,True,14.223199549305633,unreviewed,TBD,TBD
6,WILLIAMS-BEUREN SYNDROME; WBS,forehead_width_mid,forehead,forehead_width_mid,primary_candidate,67,942,0.904429661107818,0.9033406859479997,0.8717933457632211,0.8709651266071212,1.2183809171055109,0.959789511932949,1.4734073236568048,6.57504781591502e-13,0.5918179801628799,0.5918179801628798,1.0,1.2183809171055109,0.959789511932949,1.4734073236568048,5.479206513262519e-13,True,True,0.0,True,True,14.218380917105511,unreviewed,TBD,TBD
7,Cornelia de Lange syndrome,philtrum_length,philtrum / mouth / lips,philtrum_length,primary_candidate,64,942,0.3480770447401193,0.3444636985099185,0.2848302841731749,0.2838415889614529,1.2804218861700882,0.9890681702133498,1.6064062947832602,7.552098962968956e-13,0.6017117834394905,0.6017117834394905,1.0,1.321004043098042,1.030106563954944,1.6417923584222844,2.519583050944165e-13,True,True,0.04058215692795386,True,True,14.199257572314181,unreviewed,TBD,TBD
8,WILLIAMS-BEUREN SYNDROME; WBS,forehead_width_upper,forehead,forehead_width_upper,primary_candidate,67,942,0.7650680023454273,0.7660865951717157,0.7335674050836118,0.7333062338376494,1.1652817549595145,0.8702598055142645,1.4605325240905358,6.408194014354621e-12,0.5669106695820262,0.5669106695820261,1.0,1.1652817549595145,0.8702598055142645,1.4605325240905358,5.6961724572041076e-12,True,True,0.0,True,True,14.165281754959514,unreviewed,TBD,TBD
9,WILLIAMS-BEUREN SYNDROME; WBS,nose_ala_height_mean,nose,nose_ala_height,primary_candidate,67,942,0.070883910986781,0.0695002629793158,0.0646928255067841,0.0644010786882862,1.1153429666364283,0.753447903716295,1.4476243006929184,8.188228853586687e-08,0.4602782267008904,0.4602782267008904,1.0,1.1153429666364283,0.753447903716295,1.4476243006929184,7.832218903430744e-08,True,True,0.0,True,True,14.115342966636428,unreviewed,TBD,TBD
10,WILLIAMS-BEUREN SYNDROME; WBS,nose_ala_height_l,nose,nose_ala_height,primary_candidate,67,942,0.0710409226560706,0.0691096386667275,0.0647331365055625,0.0645101186649806,1.109145704852698,0.7796958421767642,1.4669705140430171,7.953013770930247e-08,0.461133821339164,0.461133821339164,1.0,1.109145704852698,0.7796958421767642,1.4669705140430171,7.591513144978872e-08,True,True,0.0,True,True,14.109145704852699,unreviewed,TBD,TBD
