syndrome,anatomical_region,total_tested_comparisons,number_significant,number_significant_large,eligible_syndromes,fraction_significant,fraction_significant_large
ANGELMAN SYNDROME; AS,global face shape / proportions,6,1,1,1,0.16666666666666666,0.16666666666666666
ANGELMAN SYNDROME; AS,philtrum / mouth / lips,18,8,1,1,0.4444444444444444,0.05555555555555555
ANGELMAN SYNDROME; AS,nose,18,2,0,1,0.1111111111111111,0.0
ANGELMAN SYNDROME; AS,forehead,5,2,2,1,0.4,0.4
ANGELMAN SYNDROME; AS,ocular position / iris / gaze,16,2,0,1,0.125,0.0
ANGELMAN SYNDROME; AS,cheeks / malar region,8,1,0,1,0.125,0.0
ANGELMAN SYNDROME; AS,chin / jaw,5,0,0,1,0.0,0.0
ANGELMAN SYNDROME; AS,eyes / orbital dimensions,29,0,0,1,0.0,0.0
ANGELMAN SYNDROME; AS,eyebrows,20,0,0,1,0.0,0.0
AU-KLINE SYNDROME; AUKS,nose,18,9,8,1,0.5,0.4444444444444444
AU-KLINE SYNDROME; AUKS,global face shape / proportions,6,1,1,1,0.16666666666666666,0.16666666666666666
AU-KLINE SYNDROME; AUKS,ocular position / iris / gaze,16,7,2,1,0.4375,0.125
AU-KLINE SYNDROME; AUKS,philtrum / mouth / lips,18,10,10,1,0.5555555555555556,0.5555555555555556
AU-KLINE SYNDROME; AUKS,eyebrows,20,4,4,1,0.2,0.2
AU-KLINE SYNDROME; AUKS,chin / jaw,5,1,1,1,0.2,0.2
AU-KLINE SYNDROME; AUKS,cheeks / malar region,8,0,0,1,0.0,0.0
AU-KLINE SYNDROME; AUKS,eyes / orbital dimensions,29,0,0,1,0.0,0.0
AU-KLINE SYNDROME; AUKS,forehead,5,0,0,1,0.0,0.0
"Arthrogryposis, distal",philtrum / mouth / lips,18,1,1,1,0.05555555555555555,0.05555555555555555
"Arthrogryposis, distal",nose,18,0,0,1,0.0,0.0
"Arthrogryposis, distal",global face shape / proportions,6,0,0,1,0.0,0.0
"Arthrogryposis, distal",eyes / orbital dimensions,29,0,0,1,0.0,0.0
"Arthrogryposis, distal",cheeks / malar region,8,0,0,1,0.0,0.0
"Arthrogryposis, distal",eyebrows,20,0,0,1,0.0,0.0
"Arthrogryposis, distal",ocular position / iris / gaze,16,0,0,1,0.0,0.0
"Arthrogryposis, distal",chin / jaw,5,0,0,1,0.0,0.0
"Arthrogryposis, distal",forehead,5,0,0,1,0.0,0.0
"Autism, susceptiblity to",nose,18,3,3,1,0.16666666666666666,0.16666666666666666
"Autism, susceptiblity to",eyebrows,20,4,2,1,0.2,0.1
"Autism, susceptiblity to",global face shape / proportions,6,1,1,1,0.16666666666666666,0.16666666666666666
"Autism, susceptiblity to",eyes / orbital dimensions,29,1,1,1,0.034482758620689655,0.034482758620689655
"Autism, susceptiblity to",chin / jaw,5,0,0,1,0.0,0.0
"Autism, susceptiblity to",philtrum / mouth / lips,18,0,0,1,0.0,0.0
"Autism, susceptiblity to",forehead,5,0,0,1,0.0,0.0
"Autism, susceptiblity to",cheeks / malar region,8,0,0,1,0.0,0.0
"Autism, susceptiblity to",ocular position / iris / gaze,16,0,0,1,0.0,0.0
CEBALID SYNDROME; CEBALID,ocular position / iris / gaze,16,1,1,1,0.0625,0.0625
CEBALID SYNDROME; CEBALID,eyes / orbital dimensions,29,2,2,1,0.06896551724137931,0.06896551724137931
CEBALID SYNDROME; CEBALID,eyebrows,20,3,2,1,0.15,0.1
CEBALID SYNDROME; CEBALID,cheeks / malar region,8,2,1,1,0.25,0.125
CEBALID SYNDROME; CEBALID,nose,18,0,0,1,0.0,0.0
CEBALID SYNDROME; CEBALID,chin / jaw,5,0,0,1,0.0,0.0
CEBALID SYNDROME; CEBALID,philtrum / mouth / lips,18,0,0,1,0.0,0.0
CEBALID SYNDROME; CEBALID,global face shape / proportions,6,0,0,1,0.0,0.0
CEBALID SYNDROME; CEBALID,forehead,5,0,0,1,0.0,0.0
CLARK-BARAITSER SYNDROME; CLABARS,ocular position / iris / gaze,16,2,2,1,0.125,0.125
CLARK-BARAITSER SYNDROME; CLABARS,philtrum / mouth / lips,18,4,2,1,0.2222222222222222,0.1111111111111111
CLARK-BARAITSER SYNDROME; CLABARS,chin / jaw,5,1,1,1,0.2,0.2
CLARK-BARAITSER SYNDROME; CLABARS,nose,18,3,0,1,0.16666666666666666,0.0
CLARK-BARAITSER SYNDROME; CLABARS,forehead,5,2,2,1,0.4,0.4
CLARK-BARAITSER SYNDROME; CLABARS,eyebrows,20,0,0,1,0.0,0.0
CLARK-BARAITSER SYNDROME; CLABARS,global face shape / proportions,6,0,0,1,0.0,0.0
