syndrome_name,ala_flare_angle,canthal_to_pupillary_ratio,cheek_area_asym,cheek_area_l,cheek_area_mean,cheek_area_r,chin_height,chin_pointedness_angle,chin_width,columella_hang_below_ala,columella_length,cupid_bow_drop,cupid_bow_peak_asym,eb_arch_asym,eb_arch_l,eb_arch_mean,eb_arch_r,eb_inter_distance,eb_lateral_thickness_asym,eb_lateral_thickness_l,eb_lateral_thickness_mean,eb_lateral_thickness_r,eb_medial_flare_l,eb_medial_flare_mean,eb_medial_flare_r,eb_position_asym,eb_position_l,eb_position_mean,eb_position_r,eb_thickness_asym,eb_thickness_l,eb_thickness_mean,eb_thickness_r,eye_area_asym,eye_area_l,eye_area_mean,eye_area_r,eye_epicanthus_angle_asym,eye_epicanthus_angle_l,eye_epicanthus_angle_mean,eye_epicanthus_angle_r,eye_fissure_aspect_l,eye_fissure_aspect_mean,eye_fissure_aspect_r,eye_fissure_fill_l,eye_fissure_fill_mean,eye_fissure_fill_r,eye_fissure_height_asym,eye_fissure_height_l,eye_fissure_height_mean,eye_fissure_height_r,eye_fissure_length_asym,eye_fissure_length_l,eye_fissure_length_mean,eye_fissure_length_r,eye_fissure_slant_asym,eye_fissure_slant_l,eye_fissure_slant_mean,eye_fissure_slant_r,eye_lower_lid_to_iris_asym,eye_lower_lid_to_iris_l,eye_lower_lid_to_iris_mean,eye_lower_lid_to_iris_r,eye_upper_lid_to_iris_asym,eye_upper_lid_to_iris_l,eye_upper_lid_to_iris_mean,eye_upper_lid_to_iris_r,face_aspect_ratio,face_asymmetry,face_roundness,face_triangularity,face_width_uniformity,forehead_height,forehead_taper_ratio,forehead_width_mid,forehead_width_upper,gaze_asym_norm,gaze_asym_x,gaze_asym_y,hairline_height,inter_canthal_distance,inter_pupillary_distance,iris_offset_x_l,iris_offset_x_r,iris_offset_y_l,iris_offset_y_r,jaw_bigonial_width,jaw_to_forehead_ratio,lip_midline_x_std,lip_outer_to_inner_area,lower_lip_eversion,lower_vermilion_height,malar_bulge_asym,malar_bulge_l,malar_bulge_mean,malar_bulge_r,midface_width,mouth_corner_drop,mouth_opening,mouth_tenting,mouth_triangularity,mouth_upper_curvature_c2,mouth_upper_fit_residual,mouth_width,nasolabial_angle,nose_ala_height_asym,nose_ala_height_l,nose_ala_height_mean,nose_ala_height_r,nose_base_width,nose_bridge_length,nose_bridge_width,nose_length,nose_tip_elevation,nose_tip_midline_dent,nose_tip_to_bridge_ratio,nose_tip_width,nose_to_face_area_ratio,nostril_region_area,outer_canthal_distance,philtrum_length,philtrum_width,upper_lip_eversion,upper_vermilion_height,vermilion_total
3-Methylglutaconic aciduria,-0.05761432675953399,-0.44371963193082414,-0.0008115952578736295,-0.005035178973373644,0.041690814406083875,0.04710784898066588,0.05522545882487003,0.5045998280211239,-0.06398486475533256,0.04139294648736149,-0.02800536187651458,0.019205171708604717,-0.004803147634648196,-0.017646511287631582,-0.27757797442537413,-0.31798225528303203,-0.2795846070825151,-0.5765420983935108,-0.0018628242869410036,-0.02549492017113092,-0.010010966287804346,0.014651933118567839,-0.01193663672854228,-0.002653162667106181,0.004299146983913281,0.01839588826845931,-0.4172258172264303,-0.41037118576617,-0.3956572483419825,-0.0035889342840857755,-0.2640027706535825,-0.2898062841166978,-0.03777573317110539,-0.018859337092449947,-0.026494403724322317,-0.024453923091930493,-0.0211913449740273,-0.01527636789747481,0.002775236073456808,-0.008883870404504298,-0.023789438477628606,0.00354437488592326,-0.0011822305749667396,-0.007209144119100708,0.0019436559622265568,-0.005246459829160978,-0.015414944920405538,-0.02541191294413339,-0.009851091290696945,-0.010796496581538532,-0.011639370379049038,-0.014794711057154752,-0.05728801019953465,-0.04961235499331125,-0.017934019327213058,0.0076523046235944,0.015288641856001973,0.0011061518806008736,-0.01084708711361274,-0.031595133408030496,0.07890571218797313,0.02002914408041246,0.012937885196421332,0.0005808433688442067,-0.048543231191615875,-0.01586662034928242,-0.015285037358128615,0.046992077831014833,-0.002894294879376609,0.05064499412746643,0.009645158665674228,-0.002632801943138386,0.5380881341386516,-0.3188070825182712,-0.0637395070334238,-0.07590877708379333,0.10274376981374835,-0.31322111275365033,0.03898158384679684,0.5380881341386516,-0.584767817363609,-0.3697603955400806,0.002544800099106471,-0.2615788224608459,-0.22950359047982594,-0.06337523435978208,0.24283491600277013,0.2912581762887865,-0.024021875187684828,-0.0007560991035465874,-0.06261704556199407,-0.07186369530226443,-0.011572286178053205,-0.003081367480613647,0.27695742056435607,0.03347477584690485,-0.01975489046692905,-0.41670984509695214,-0.32062794579976445,-0.41656326046147296,-0.4171165288967694,-0.281417095299837,-0.37287467016199877,-0.0006544104463918438,-0.008838734054389945,-0.015602612517060325,-0.05826219239447375,-0.05678591320413046,-0.054417582234116586,-0.06997603487899001,0.024702872678824876,-0.48860878308724237,0.013358525776903683,-0.04202230508521414,-0.00427989690209897,-0.03660829445176307,-0.29176785422746393,-0.03710341771094599,-0.03478055221054434,-0.48287665805011826,0.06308549862284428,-0.5173535802747017,-0.25578034507334907,-0.2595098844314753,-0.2545586750488568
3MC syndrome,0.010379003396602523,-0.002780665745883364,-0.015673679253268107,-0.05952658975492434,-0.3285257503509684,-0.012370902030326276,-0.0005825869926657485,0.3805557036158924,-0.3484820768804198,-0.020214780974995267,0.011449496808075135,0.39501323500729413,-0.002171529572157293,-0.20301754756505144,0.5344029458793699,0.5763065003933667,0.5016903786981395,0.59343047426969,-0.05671234543771357,0.04117476794008805,0.6365322169523987,0.34521856824576547,-0.07379025030978986,-0.07002938074808085,-0.059650408028362585,-0.031196728723842,0.5685747394705899,0.5846171652823517,0.5919043458768868,-0.044973657764438284,0.5191331764739809,0.7134191771802533,0.6320832946388363,-0.03358535130941211,0.018113186994670225,0.019083067211862252,0.01955954867323737,-0.1626561997345822,0.0066120876235033895,0.001149235737275507,-0.0032660107987416,-0.0001552705266442887,-0.006421753590263747,-0.014593574487552415,-0.0006422968159026847,-0.007708193391852778,-0.016572226072824603,-0.013878929491051252,0.009771178647694981,0.006699437671434887,0.004130362793721756,-0.05736493439659429,0.04780676942774896,0.2406654047977607,0.23977209413694964,0.008049864503085959,-0.31308427462314803,-0.3275967131013202,-0.2518401297655746,-0.029165727303517935,0.12509648249819946,0.11138845008897708,0.06800239308542794,0.0016275426097118535,-0.04799672185722547,-0.0414363624252982,-0.009413932477085949,-0.0594056804534753,-0.05829646735310736,-0.017755220191959242,0.4862310782521214,0.04600851543114506,0.0021370561884935953,0.28686419361262655,0.5419886793854181,0.5338869986061298,0.0651038994297176,-0.3271157742818883,0.2321785295524501,0.0021755160492680525,0.5407856788398759,0.6077889724411035,0.15842133191788854,-0.022372462626306107,0.033802901399305696,0.24726861116424761,-0.41553752396237165,-0.5204404560309969,-0.2339766650393874,0.561650214790056,0.21304535716387674,0.18141646416525953,-0.021962178900319526,-0.042062774861771804,-0.4611023467810178,-0.002577264033870931,0.053329955001290404,-0.0014384164254509924,-0.32337391889449374,0.006476989061467493,0.0021606971097378365,0.016673566066416817,-0.0033323642618266567,-0.029426410816875463,0.05938024917898358,-0.024790984636541582,0.21297799874986134,0.21915360254314523,0.22322017586227005,-0.015116590168157976,-0.016687011459572205,0.4048826854467472,0.19206191638916736,0.046438308990520934,0.3908664920695047,-0.05746311552497364,0.011121144344799428,-0.00014873188056766483,0.001203638918320995,0.5252432351329834,-0.023339513719427045,-0.023223026297768894,0.194992893096496,0.18244347324462964,0.19117151537502697
ACHONDROPLASIA; ACH,-0.012767266909135568,-0.016996732947100298,0.015896111001875084,-0.0644642552380595,-0.06946834931016127,0.0020415148189125293,-0.03175897457798061,0.04710331981131688,-0.053273037697575146,0.004683028201334116,-0.0030986376320661633,0.03750262329298811,-0.03835521117182325,-0.05044017463962813,-0.04440565053513687,-0.05249806519231076,-0.04525817187001966,0.05918946937183161,-0.011203183400531665,-0.015623965838986419,0.02662056667514662,0.04103619225455627,0.011804679369325104,0.0097061583854209,0.006693276239773026,-0.00854508356657177,-0.06844469332961503,-0.0651339170941414,-0.06089008842091369,-0.03121994659105171,0.015740483984092266,0.06584313616801286,0.07529734563197371,-0.04428803497150361,0.08786547626174973,0.09281387529882844,0.09486313496571211,-0.039961737973568855,0.06946557792683783,0.060260527252053935,0.04701215163029119,0.0678586477920026,0.061916513552539784,0.05418916079484811,0.0691604207654381,0.06127883052748299,0.05062045744206037,-0.04533626569248586,0.07949687582359398,0.07999889929604873,0.07982496005120322,-0.017341339964241326,0.05166950822023147,0.08972827293937755,0.09285351078441459,-0.010303071323385421,0.0010227898165094242,-0.0020222824266600712,-0.0052476598198559835,-0.022996987514987317,0.006955321783100025,0.0038045329697791335,0.0009661849999216153,0.0010293287247646078,-0.0005654459154745264,-7.258861698062629e-05,0.0005685610568133678,-0.026623953459939172,-0.021028582888095428,-0.03752878855763296,0.0962261738212096,0.35326903864895853,0.3899772851400693,0.06888295004251464,0.13322588236951435,0.12967286281899218,0.010706059364923496,-0.03461270061064948,0.032674905307518855,0.3899772851400693,0.08668558577679393,0.11714702395949089,-0.019854705781725643,-0.0528190101503741,-0.2733751233336851,-0.0798737073455735,-0.019012642715500974,-0.08768050221822364,-0.02337275042940205,0.035453689642036615,-0.045957248526394025,-0.051068027188453255,0.014529045150427355,-0.05097864709380923,-0.10954854122911556,0.0028559248867646436,0.07418896935258013,-0.044364304587799504,-0.021241246892363973,-0.037480307904849436,-0.041652489778544084,-0.03522591804595387,-0.050872017489570154,0.02788806218903714,0.027633366342781816,-0.03984334977846779,0.0076475223077238155,0.012041825106287476,0.016971980578584515,0.032056575196194384,0.00029825642658369117,0.0912660777389551,0.012997382699394096,0.001276545738286792,0.04339661148252557,-0.0005841611756941467,0.04632844410665428,0.02321570246617562,0.051730902916926724,0.11507039249556678,0.027861498875026307,-0.04920012842629686,-0.050130633310528784,-0.04694814124306381,-0.05191565458453021
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",0.04857498189007668,-0.05083537608003314,-0.270792634448245,-0.038082882978663975,-0.04527151324586331,-0.0005827653565505651,-0.28333295085391064,0.06191020682940228,-0.060248910194185795,-0.0472066341168572,0.016352281560380346,0.4622794639682417,0.17769863447922807,-0.059308245912661296,0.046108329170017406,0.039681977787133435,0.020459768889682237,0.024193381956020263,-0.3070407880712018,0.005870748190972955,0.3603874546900695,0.05275294793956126,0.014268342185319385,0.024442814265977424,0.031246920931393397,-0.01311099665888247,0.028947191357641164,0.02614200067766706,0.022944643602503728,-0.05709712782760534,0.052957629193165934,0.3921531603584929,0.270862621808696,-0.025341792037316468,0.002481628615781089,0.0043176622572282716,0.006447613422147615,-0.047103449074145196,0.02621452761898444,0.02068782996660071,0.014966360364262986,0.0023996452003134804,-0.0011577240115994826,-0.005277408522917414,0.0038868610026340676,-0.0006163632493213049,-0.005592716606124208,-0.02191021446745129,0.002257461555316,0.001730531777393069,0.0011733210675560464,-0.19751860294209578,0.003964670144142506,0.025994226553518567,0.03843953769816793,-0.01189209168255521,-0.22533217957334262,-0.25265072241594694,-0.2584751005478853,-0.031767338512198276,0.009563335877800876,0.00499156212318061,0.0008236224587522158,0.00020445384056157472,-0.0007226637214664914,0.001329175920459378,0.004309440252112411,-0.03470640773810364,-0.056478566047496355,0.0010973215056107836,0.24806162150490463,0.003320674077873663,0.03827229442184095,0.03412103128974224,0.22934492718401295,0.06777234336278619,0.5666281037382211,-0.0670695672434833,0.019411518794174534,0.037800441021105934,-0.007184869546967915,0.04599605239686673,0.027200005349799876,-0.031049838585186618,-0.001032356764313961,0.003779192691769199,-0.06631127895510575,-0.2506862524288689,-0.017584202916626098,0.014137096171742768,-0.002173309151327073,-0.0020867170348007513,-0.20025838528602558,-0.03227854122075707,-0.04504082171723435,0.014712973127357766,-0.012033183624017094,-0.05442386671195174,-0.04114254995285106,-0.04503851613240088,-0.048206923321319844,-0.02833695186000956,-0.026157195187630634,-0.030247803738762426,0.29082000552123916,-0.0009225915136824216,0.2996227715746869,0.30332292750150885,0.3037212524990097,-0.031844356621950294,-0.019316541886479903,0.05149903384409928,0.06002117124855629,0.04857147124473874,0.025351996773240723,-0.042314145402639364,-0.002502859632741694,-0.005401469733960585,-0.0031409154015615143,0.019239330221650745,0.6479671786237243,-0.23631916879851383,-0.0058800770985273755,-0.015222853033706798,-0.007176786344698058
ACROMICRIC DYSPLASIA; ACMICD,0.18923630664002383,0.41324407687814724,-0.36600517992809306,-0.014260225111073138,-0.02602288573471386,-0.0065611447202155474,-0.044509465841085324,0.04189735501604656,-0.46957574819302156,-0.2981525933911332,0.024373935713081663,0.35170913016697125,-0.00026820877764937255,-0.046816807924922405,0.03855233227423038,0.16648495118440082,0.16199386165256108,-0.02384173107307019,-0.33436704968782993,0.03685901473268392,0.5076564163868841,0.17790809452838685,0.0027965748521023986,0.022164780765542298,0.03817074223146923,-0.0140056658848779,0.38042743710219756,0.3703910552546914,0.35246772303768625,-0.3027530065680253,0.20585193754345563,0.35109272496033034,0.2844437409636267,-0.005538269027219621,-0.02826601280254237,-0.025203457256083566,-0.020483401562435003,-0.007995606120945494,0.03327129219023571,0.035173048974887766,0.03379438355513895,-0.009299940717758432,-0.0065638068503088495,-0.0038558175468996828,-0.00394499764841354,-0.0018738279914082283,-0.00019394444950952196,0.03401763026916573,-0.022982072958302308,-0.01942300227303586,-0.015512162769653082,-0.28840476503226364,-0.044555930802540916,-0.053791168011862844,-0.04308437982769855,0.0032244186633210927,0.017305734725765274,0.0005695849558952153,-0.014920979925995387,0.03171005397855073,0.07883600943251952,0.036892179311196295,0.041417005586464585,-0.012374682203373722,-0.007129484392620246,-0.016829890315559568,-0.025337078086894026,-0.01680377263476838,-0.19777649026783262,0.17063689402468538,0.3701179083023907,-0.3384244060410078,0.03175510534819482,-0.04305393561954941,0.007519005385914467,-0.00030397337718684195,0.05296290052523199,0.47396975447796313,0.04898718218649011,0.031870378003892946,0.024051799379415303,-0.29567680189815515,-0.04064433842736264,0.2858290374391562,0.028020233727951465,0.04971416586198397,-0.374411922202681,-0.046514836286673224,-0.2090542177029645,0.35245098591536445,0.4015263795363166,0.39508589290355894,-0.29657176119362294,-0.004921574278818137,0.002488773559842817,0.006181321182271053,-0.044038627051791956,0.03796428891137395,-0.04692200538160843,0.048012599568450616,0.043556964137379035,0.2365220063643023,0.009173738224624015,-0.05186133039061841,0.3450863464831089,-0.016600659547744548,0.19403433016269078,0.18509087425344348,0.05425491034212146,-0.02491814603474625,-0.03195639874605456,-0.022630233031222663,0.00484818677917792,0.03583987962933985,0.015042330830613045,0.00623061915316248,-0.0052671326113607475,-0.022897637487588125,-0.03066703867703204,-0.03024923750155342,0.02563014639896288,-0.01462572529658161,0.3925628320383305,0.40949059328819293,0.418654753519834
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",-0.0018406863949617758,-0.018522561101161728,-0.2868247123274953,-0.024079082897714477,-0.020057150443112164,0.002375955882688905,0.0026793649478299934,0.08555730698050044,-0.024659260453411436,-0.02806615471293922,0.028068219468885422,0.06227914810575918,-0.01472596870286437,-0.028031281781089035,-0.026915260634005907,-0.05740879698705307,-0.06730409709123336,-0.0018270589882142744,-0.05528254966657432,-0.03270256630122512,-0.014190980513711409,0.015894060072290345,0.01805805874828153,0.03623606018830731,0.04845508801060878,0.10082023451127885,-0.0462472305544469,-0.058188706427802106,-0.06768720244570137,-0.05354453877318456,0.0019459383357063984,0.017862231783761902,0.021889447834703358,-0.002798919197380392,0.0015625013203351653,0.002541970191626403,0.00356646414112174,-0.033898518071969405,-0.0018639470654797554,-0.0039457621044977405,-0.0059039021538045975,-0.00277835287244409,-0.006664887253955185,-0.011570443825565694,-0.0024536887840319586,-0.00744042235231706,-0.013067715315311043,-0.0014396401250139181,-0.00027670742472205967,-0.0009025552517426068,-0.0015608874393695659,-0.04101525307704963,0.003869925427477535,0.020393191444319725,0.031141491922707765,-0.014230567106840565,-0.05263256844169029,-0.059235101696770376,-0.060469370494496764,-0.02145407493630302,0.02095254936887609,0.019626615257245295,0.016085831614296966,0.007496974509136145,-0.01245259949375272,-0.013588126909377682,-0.013224606245107334,0.005671899949325209,-0.059601001270550194,0.004428713161858002,0.048117411771726785,0.03498134722359481,0.29397270608276366,0.007186164655463937,0.06821298017499738,0.05891176031934739,0.11367409873303791,-0.02223845801519114,0.01374481527809175,0.29397270608276366,0.0026414544262160257,0.026118264461177425,0.009912852663760421,-0.008495135800173376,-0.41502696306442943,-0.41705982490180415,-0.013958437419433332,-0.04257074755598707,-0.04355326750716392,0.003437857032733635,0.009021062452196752,0.0028224203573725716,-0.015544561011744,-0.03267215404845949,-0.027713687969930557,0.019375605570452887,0.009912046416820888,-0.009200388253341938,-0.051673623040113484,-0.001164106194919147,-0.006737854359376458,0.002515378701167553,-0.016186410993581878,-0.006906346882756359,0.06732364598892353,-0.03256095454528065,0.019203727077113254,0.02298512869661698,0.02494225255206135,-0.020653924141894823,-0.033936746971303326,0.025954583081809465,-0.02127327799256532,0.016563392012939576,0.0026420177281010118,-0.020365772108126734,-0.0009108234843955905,-0.03451233671406181,0.0067885483691903885,0.020240281667063546,0.0858950770866937,-0.06526723517926056,-0.0016523637098142066,0.0013107210426687725,0.002369612582791486
AL KAISSI SYNDROME; ALKAS,-0.050667273716773154,0.37334629770749894,0.022569077884982254,-0.010874936775505313,-0.044190621758693864,-0.030555467672219113,-0.039020551571481585,0.03755271554237972,-0.27727363571844366,0.04427357823214355,-0.05523585881374813,0.08377660443147354,0.033822197914652845,0.03226214166336594,0.0799163782865887,0.09544410982938346,0.08552265309770789,0.5400989087069129,-0.005037323214483691,0.042127794857283046,0.3095623075402921,0.0143761702970784,-0.07654412746508714,-0.06569134321846294,-0.049297647415742996,-0.0303726435441663,0.0035391175501077016,0.0018162441160051357,0.00014104692353512287,-0.016670707688628755,0.38090096918074196,0.5805669175737169,0.10121099690940218,-0.006278685007466402,0.050155993954976566,0.04291553435944449,0.034504917779264045,-0.04451685768200372,0.04185186422292077,0.040742322991987885,0.03726087758326129,0.037276427366647207,0.037990039474954225,0.03703804266633565,0.036701771024344985,0.037475506822703473,0.0360994213685522,-0.010221842196499343,0.04613747399693818,0.04200388821380198,0.037366823173715806,-0.005037266248384333,0.04921272990833112,0.0412150063547876,0.01253452355365137,-0.06323135233929206,0.06740537108697833,0.07472041144356614,0.07521682063719194,-0.02957087033495089,-0.0003518947986263596,-0.0007478517798250798,-0.001180642286927105,0.00015940486525687107,0.005049420388843166,0.005201220147812695,0.005364675525434469,-0.5071996210877747,-0.014098704611832604,-0.06666176164561129,0.45722989088198646,0.07191064313789013,0.09566563010773797,0.353219744649016,0.3450912671847234,0.3642430164284438,0.06019324080692165,0.11423957428518108,0.012047902820382862,0.09566563010773797,0.5622059894215343,0.061223226908100135,-0.06543274110639656,0.04328191156577406,-0.2539426410596188,-0.07890864490754652,-0.05001026120981978,-0.3159651750252547,-0.02747151637715758,0.007461466073885939,-0.022804789701241418,-0.022600281245884948,0.027996237650095932,-0.011375086729619977,-0.6011486605883333,-0.04975827688292162,0.5143967375703489,-0.33905660455005965,-0.06537040364228909,-0.3337588503894807,-0.33119586475524393,-0.30761634219748185,-0.07197321633657751,0.06904098341222617,0.0026961347022138654,0.037529845792954306,0.09436015664590694,0.0906893865339534,0.08508223723571814,0.31079115080119335,0.05576054114379321,0.5450415040876437,0.07693947125391488,-0.010676288707818877,0.6383190522844753,0.04754977238397563,0.3496725663341542,0.3424643832400118,0.5230141228908208,0.34969501056482505,0.003652018316150355,-0.2780233729008873,-0.04633577880303915,-0.057779060341819524,-0.04111919310954039
AL-RAQAD SYNDROME; ARS,-0.06746301676879508,-0.3009292191827009,0.0027858713961635057,-0.06884092766318879,0.028219925936389553,0.10315828464681398,0.01235763156148481,0.060111360956689244,-0.0931115381462922,0.06456502632395274,-0.05148194767821652,-0.013647249063606488,-0.03348194468415446,-0.02360709545887745,0.003902376522522286,-0.01682603215160794,-0.041833394290164416,-0.05283112502947702,0.028925952414732614,-0.08636972616865456,0.02611937922041031,0.10342931936921497,-0.07642935647447453,-0.08751335088916862,-0.08774417912079129,0.1103238468142662,-0.06964248466667976,-0.05794631169004335,-0.04241219111405736,0.05625667117869708,-0.09120773649359379,-0.017375626674652474,0.07076505594315001,-0.00025900238545231686,0.01936973498949855,0.03507853256043436,0.04905774872448852,-0.026301745788554855,0.05527998113440788,0.023047718196252776,-0.0009697959179005692,0.048281379487164884,0.029095712884682597,0.010619463157117653,0.0504169322377484,0.025499883667315128,0.002381014604917437,-0.023251872553746583,0.03260869627496406,0.03557486241315029,0.03858553016597157,0.03718895032519005,-0.031865647659429404,0.04397236610114467,0.0956649239742935,0.06759927714693227,0.060967436433137796,0.05251390484973783,0.03726100561712485,-0.04179213691416708,0.013983171208325419,0.009714123973011165,0.004585659159427951,0.001436050064263551,-0.004685520319211125,-0.005458612664146544,-0.00602744392222956,0.0075096660479982424,0.017259231322557474,0.002261122759949643,0.07238872534866125,0.01621185694784587,0.4425450132237079,-0.008642567384224902,0.012100320078823746,0.007841522641087357,0.04900247586640555,-0.07622789203933841,0.052496554906814374,0.443398385370934,-0.07034768240421806,0.012489065067039042,-0.01970024863181692,-0.27880287904208845,-0.04980565334260558,-0.034791113939812435,0.0033154332136782045,-0.0021581762687207097,0.030159116307571447,-0.0374455370718862,-0.05409977859838292,-0.06179820727850499,0.012245689433084772,-0.09221766148399373,0.006331456853355388,0.09458059215651735,0.01029814517978084,-0.04078828503250525,-0.026540684333936006,-0.035527194949611325,-0.042162024786950345,-0.03885906938693003,-0.02647765692336769,0.0043037856001485846,-0.04236996439422683,0.035919116351822905,-0.07102947108663406,-0.06510291797262457,-0.05669301191422092,-0.006003780136129991,0.05407255803575143,-0.06522009905716512,0.01706166778285119,-0.05779678069384892,0.0341947901081557,0.006992675656813884,-0.023751024421413233,0.007824261644035465,0.005907166630317436,-0.0017376910849955466,-0.09417082916389113,-0.05966232179307511,-0.053993733737660615,-0.04453864514391334,-0.05768428063331105
ALAZAMI SYNDROME; ALAZS,-0.020729799106205923,-0.031518889143922625,0.006117593215907998,-0.0015152679037431242,-0.01974881342482027,-0.012716699464097859,-0.060151137560492174,-0.010707678618016924,0.009416768177241274,0.020468383656584783,-0.018340551968640463,0.34879200896347645,0.043591200807994834,-0.04924553194994302,-0.08502890254126398,-0.09264533245230284,-0.0770323548891841,0.01175424545848115,0.0049577508861667905,-0.02754718836104496,-0.08038406279144919,-0.016002360556936282,-0.0021853514657355143,0.002138112465672504,0.00681648868522196,0.048179372559242706,-0.09901354054586294,-0.09797561026376171,-0.09507357352330378,-0.01385620497294028,-0.048318728594347396,-0.04063355703333275,-0.008449775674870872,-0.03270275464129053,0.011760310432655765,0.00866371607559901,0.005320002143764076,-0.005129824435443425,-0.00474524092319748,-0.007346859529492856,-0.009076489095827868,0.0015160257334820228,0.0001659770844866828,-0.0010688657481894208,2.798110810283853e-05,-0.0011650994898981192,-0.0024993727474851577,-0.031131113607255134,0.008435763452514471,0.005739940035445907,0.0031559462535996397,-0.007810858762056825,0.028562772385772022,0.0383635638993604,0.02828888573810925,-0.05033047894900044,0.02080954485624411,0.014515221740010496,0.008440072266051962,-0.027527310961002225,-0.0009333869094120769,-0.0037433866101691223,-0.006704886927705346,0.00033579243228845515,-0.0007982282990738781,0.0002967528881993352,0.0017097835316420892,-0.061684552829642,-0.004310359030430009,-0.07823482344489242,0.0138148195790862,-0.036351339266953796,0.07998174682589003,0.020302255800322556,0.05105208943643414,0.04715485543390269,0.0015989865260014671,-0.012153821248176695,0.030156150678615278,0.07927770327617216,-0.006925498636399516,0.01929049266999006,0.012382642551660942,0.0015093061665747537,-0.038721859435064586,-0.028172642343749763,-0.2784840910687928,-0.0795250867856403,0.0009487865407399512,0.007900794689376612,0.08927469325796121,0.09050812025381724,-0.0039831523221474305,-0.007850194066197226,-0.0377945731918232,-0.0005963053543741532,-0.028832391847695468,0.014481912955643723,-0.011177324080901122,0.023209676525275474,0.021125458376449937,0.009755843122840481,0.039291560084946865,0.0023776430269754527,-0.009242696275129123,0.00022928649325563747,0.06167302425467969,0.06027913811716572,0.05895801080325474,0.05616496044181905,0.01658140923705383,0.0681973670172511,-0.013533392019154732,-0.00728560442487759,0.03937893986554598,0.06634417612845066,0.08117496290442479,0.04186747140417408,0.08425763554998922,0.02584306235259164,0.00865951674282192,0.017704951910656307,0.07504453144361817,0.05705398284301088,0.08055071437345893
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,0.0003390520209609076,-0.0008050435358792729,0.00520816782483945,-0.006401395468190798,0.04050415250934209,0.05187475069681696,-0.051510757729614526,0.009811255630233658,0.013113284992793742,-0.457110007451775,0.12990671597172174,-0.025002939119091225,0.09362041215767883,-0.02352814525151998,0.04700059024748053,0.06913597803560677,0.07079798192649199,-0.000994623472998207,0.03716954055256776,-0.010673752759960235,0.017629657104485257,0.02520519509995022,0.0699104498199478,0.05554862971027297,0.03555996213219719,0.3347098592848225,0.009557076467412103,0.02889559795661027,0.04947461948593651,0.04991996575914756,0.011674459680141318,0.0700688206169045,0.07657761525135214,-0.011678562991672888,0.02998920476173381,0.03763082824152752,0.042521013145679014,0.019670007299646682,0.062286475618002005,0.05226831777816179,0.03675397500648248,0.0442958240054728,0.04173055166090483,0.03592111240148539,0.04712480103190969,0.04269944431162691,0.03475985825695844,-0.028403393841246957,0.037759663117225895,0.040975666810773886,0.04305727171153014,0.03678288798487748,-0.002481104280197037,0.011044102125356952,0.02277481688575285,0.046314585313479976,-0.023191026080352773,-0.027579484781093743,-0.027989003640458945,-0.027003505944900346,-0.004315119638590655,-0.010268008645896621,-0.015614582276100904,0.0016295199195736404,0.012502047469467356,0.01826463671423798,0.023317862849762398,-0.03851277894301189,0.05331057753706262,-0.006304357225510192,-0.02170852954793061,-0.06663189869674602,-0.03163968992606848,-0.047376581928973385,-0.003746889880286178,-0.011460695612212381,-0.04556930194912504,0.00020552303603833604,0.04728007983973413,-0.031105629656468757,0.019371734066490794,0.022759124098499454,-0.03810974542462998,-0.034472208534124256,-0.05783226898354667,-0.04514358971455752,-0.06233142483836061,-0.011179279187083726,0.0016471466232504868,-0.052144616007788636,0.0380731314510736,0.04695500181893087,0.058087377980212615,-0.020962126629515694,-0.017971693055829054,0.012019060518486268,-0.0789587110605193,0.4631421145334126,0.10872786115145738,0.46646256168211253,0.46373976742716433,0.5761620903514796,0.414775070142495,-0.07822202550691991,-0.019844108705532815,-0.014140047788422172,0.1088935847858509,0.11338242425597292,0.11591240254934337,-0.10770556150079096,-0.1259188934753788,-0.0409896135184444,-0.08803884840579093,0.1242818627333443,-0.06114753157446299,-0.08378960190437384,-0.07955221195764484,-0.11367153760246718,0.025393963425244356,0.0196712352004474,0.09040474011020995,0.044352728107941,0.06650503821222217,0.08626360111125038,0.06937860760906076
