syndrome_name,ala_flare_angle,canthal_to_pupillary_ratio,cheek_area_asym,cheek_area_l,cheek_area_mean,cheek_area_r,chin_height,chin_pointedness_angle,chin_width,columella_hang_below_ala,columella_length,cupid_bow_drop,cupid_bow_peak_asym,eb_arch_asym,eb_arch_l,eb_arch_mean,eb_arch_r,eb_inter_distance,eb_lateral_thickness_asym,eb_lateral_thickness_l,eb_lateral_thickness_mean,eb_lateral_thickness_r,eb_medial_flare_l,eb_medial_flare_mean,eb_medial_flare_r,eb_position_asym,eb_position_l,eb_position_mean,eb_position_r,eb_thickness_asym,eb_thickness_l,eb_thickness_mean,eb_thickness_r,eye_area_asym,eye_area_l,eye_area_mean,eye_area_r,eye_epicanthus_angle_asym,eye_epicanthus_angle_l,eye_epicanthus_angle_mean,eye_epicanthus_angle_r,eye_fissure_aspect_l,eye_fissure_aspect_mean,eye_fissure_aspect_r,eye_fissure_fill_l,eye_fissure_fill_mean,eye_fissure_fill_r,eye_fissure_height_asym,eye_fissure_height_l,eye_fissure_height_mean,eye_fissure_height_r,eye_fissure_length_asym,eye_fissure_length_l,eye_fissure_length_mean,eye_fissure_length_r,eye_fissure_slant_asym,eye_fissure_slant_l,eye_fissure_slant_mean,eye_fissure_slant_r,eye_lower_lid_to_iris_asym,eye_lower_lid_to_iris_l,eye_lower_lid_to_iris_mean,eye_lower_lid_to_iris_r,eye_upper_lid_to_iris_asym,eye_upper_lid_to_iris_l,eye_upper_lid_to_iris_mean,eye_upper_lid_to_iris_r,face_aspect_ratio,face_asymmetry,face_roundness,face_triangularity,face_width_uniformity,forehead_height,forehead_taper_ratio,forehead_width_mid,forehead_width_upper,gaze_asym_norm,gaze_asym_x,gaze_asym_y,hairline_height,inter_canthal_distance,inter_pupillary_distance,iris_offset_x_l,iris_offset_x_r,iris_offset_y_l,iris_offset_y_r,jaw_bigonial_width,jaw_to_forehead_ratio,lip_midline_x_std,lip_outer_to_inner_area,lower_lip_eversion,lower_vermilion_height,malar_bulge_asym,malar_bulge_l,malar_bulge_mean,malar_bulge_r,midface_width,mouth_corner_drop,mouth_opening,mouth_tenting,mouth_triangularity,mouth_upper_curvature_c2,mouth_upper_fit_residual,mouth_width,nasolabial_angle,nose_ala_height_asym,nose_ala_height_l,nose_ala_height_mean,nose_ala_height_r,nose_base_width,nose_bridge_length,nose_bridge_width,nose_length,nose_tip_elevation,nose_tip_midline_dent,nose_tip_to_bridge_ratio,nose_tip_width,nose_to_face_area_ratio,nostril_region_area,outer_canthal_distance,philtrum_length,philtrum_width,upper_lip_eversion,upper_vermilion_height,vermilion_total
3-Methylglutaconic aciduria,-0.027718138374771384,-0.22726979125414792,-0.00044027026880008276,-0.002595250226213327,0.020484877365423294,0.022933020528670342,0.027216101411453517,0.24762420223545678,-0.03138543317692651,0.02028131792772164,-0.013832982390882676,0.009775302944467842,-0.002599256468373881,-0.00896326983034157,-0.13779529500813342,-0.15616170854817368,-0.13613109195824277,-0.28605026214641466,-0.0010164391265986869,-0.012722391085052555,-0.005189603276857339,0.007316661073820095,-0.006253658235257471,-0.0014285074818468472,0.002321512614634285,0.009204041075158346,-0.2084447949527253,-0.2057279348133035,-0.1974817441398218,-0.0018882983865444757,-0.13029758198063937,-0.14069323846805004,-0.018295201093393096,-0.0098443463353827,-0.01391461890072141,-0.012640484469496345,-0.010925689392846797,-0.008074779640177578,0.0015523726883419871,-0.004772200466996458,-0.012172526227015298,0.002037033338940581,-0.0007217568796385475,-0.004004030830871081,0.0011319066676330248,-0.0029651198236101363,-0.008212649656067605,-0.0137803289240357,-0.005401637471298428,-0.005824641034541624,-0.0062176858099871005,-0.0075719265069245706,-0.029709232576934533,-0.024971448822292557,-0.009079744828986828,0.004142971685561968,0.007964163239054366,0.00063060576949755,-0.0056543148841636465,-0.01662322221967927,0.04195055393373563,0.010715043095472955,0.006996847668287764,0.000380899961632779,-0.026135788639447162,-0.00857953824440279,-0.008221949635870262,0.02283148191138801,-0.0015470701380380309,0.025048660987862674,0.004988346414028402,-0.0014770715131050536,0.2541094340611269,-0.15586943650850688,-0.030863026196570442,-0.036968990918998614,0.04716004414144329,-0.14895862632847437,0.019810610015326247,0.2555710871092201,-0.29023082841332726,-0.18913943641648448,0.001366483786194593,-0.12830829640881272,-0.1194584443895124,-0.03336034290632905,0.12053139022359532,0.1409111283047818,-0.012315313277667345,-0.0004235557843528021,-0.031287005757656396,-0.03546005041388033,-0.006046163755909382,-0.001622639627752888,0.13244926424656936,0.016453246807382003,-0.010253972100379134,-0.2147948069834585,-0.17184091760689188,-0.2124261759708536,-0.21489884431858194,-0.14344073978705574,-0.19714645624500637,-0.0003715397861186641,-0.004512148285319667,-0.0080628339585344,-0.029434321135779366,-0.028554075173462062,-0.027270388934953888,-0.03374559997559969,0.01217543884578106,-0.23014877057569028,0.006781630978026069,-0.02071576364514559,-0.0022753392545649476,-0.018395072491983886,-0.1411712776045727,-0.017918600855573903,-0.0169042408575681,-0.23955456042213255,0.029827404297246205,-0.2635005725697717,-0.12816307097364749,-0.13210337806764502,-0.12703323819060744
3MC syndrome,0.007196802646014595,-0.002047092132233055,-0.01065234129328418,-0.04039566473197627,-0.22296578547462298,-0.008654565834339848,-0.00043584272214370104,0.24301160307568628,-0.23791026895476897,-0.013780700502250862,0.00791960018695402,0.2644107248705993,-0.0015726813015714551,-0.13934122762127135,0.3477644340070626,0.3766802174897293,0.33263835023233107,0.3699621596342147,-0.038707945619308494,0.02771319854264778,0.4096054504648904,0.22964571508025663,-0.04601248703651058,-0.04367069173875972,-0.037406568616610035,-0.021130188291971434,0.37776612332196324,0.3865093507678414,0.3917253850825577,-0.030625752485000997,0.34221120623084705,0.458444338253156,0.4100808809448102,-0.022863344975685252,0.012427838959315214,0.013074784512631455,0.013365269842032974,-0.11281645433931348,0.004844966332936356,0.0008869403978836061,-0.0024915394584476254,-0.00012584588552225727,-0.004692815118829084,-0.010231469730189706,-0.0005104319555302079,-0.005615305219454661,-0.011597768426505367,-0.009815925980506682,0.0069556019759164645,0.004853158010008252,0.0030439337242736367,-0.040086957610973806,0.03118416287194191,0.15338747566226196,0.15729791251016845,0.005640161285043226,-0.20833111373946359,-0.21594046363803826,-0.16473364329778295,-0.02093792839713143,0.08544831542923156,0.07655332260173822,0.04681377589176072,0.0013037199349885285,-0.033706819664470956,-0.029312615549254503,-0.006743772538130741,-0.03882875138844247,-0.040231761758933976,-0.011899799400020153,0.31764220449460606,0.030073554660128555,0.0015636782264510632,0.18278679561210373,0.33726487114276366,0.3348080340275848,0.041564655972684245,-0.21532683344482484,0.15534230877060323,0.0015788585873910265,0.3405179299655989,0.3782391192617654,0.10921521080345867,-0.015289868426742065,0.022709851226382437,0.1656079778917931,-0.2686407519980784,-0.3281228684319647,-0.1693816670609093,0.3425286172032199,0.14105227616366572,0.12003077180323524,-0.014821226380788692,-0.028740482034619347,-0.29250674586689196,-0.0019657031878164114,0.03572441605065043,-0.0011101593118966657,-0.22645207779258186,0.0046652247589699086,0.001632363724986784,0.011580010145518125,-0.002516341065558387,-0.02010640488881516,0.04157386281044186,-0.01704898335111259,0.1399384840268068,0.14493539188129342,0.14711336933931848,-0.01042345329994075,-0.011273940949402135,0.25736508438620337,0.1311694806496262,0.030450186144689778,0.251679887226351,-0.03910385596211462,0.007764835633256046,-0.0001141485315110121,0.0009174050777682434,0.327386834333095,-0.015556937599038681,-0.015559535343520873,0.1314520436802013,0.12353474650594456,0.12804476815819574
ACHONDROPLASIA; ACH,-0.006564400375716783,-0.008595312716867722,0.007989200167836732,-0.032347821753772786,-0.03314572905727374,0.0010851162424422183,-0.014744636292806585,0.021472971400268496,-0.025698160893471603,0.0024301935518539256,-0.001563038209753111,0.018868300256537268,-0.019397714429385114,-0.025376154757631973,-0.021029230362074835,-0.02458732460859765,-0.021786224251094402,0.02658447804596403,-0.005851259054057689,-0.007904968620653761,0.012782316178503101,0.02012465105673513,0.00579378666429322,0.004805351302310236,0.0033795769306914397,-0.0044715805731888585,-0.03347119665634137,-0.031854779153335254,-0.02996170834076966,-0.015746442632235434,0.007903860660815134,0.03018884382959508,0.03560767679297301,-0.023676951088556965,0.041548195774853844,0.04386923198332196,0.0446645223599248,-0.02065819271751197,0.03443135952238066,0.029522747089356545,0.023176605453883736,0.033411089208818044,0.030700557278069633,0.026934251955535744,0.03420277451240547,0.030406227728567013,0.025224008736808277,-0.02539534179667528,0.038258617458854866,0.03839996746027578,0.038666674100734134,-0.008893878900178545,0.024444806235276766,0.041534366459129814,0.04405227076172872,-0.005373023151400531,0.0005555044561922707,-0.0010448464339840287,-0.002662794678738823,-0.012394923808402384,0.003814600106258422,0.002181228144808973,0.000578039680379612,0.0006615672953981283,-0.0003450307163121268,-4.424309215600385e-05,0.00033461464255697546,-0.012971677369386347,-0.010760882363423095,-0.017896437570185983,0.04429341207137066,0.16848577658613126,0.18333318688884256,0.03137228734927351,0.05931035527581057,0.05788869664675608,0.0053499404688670225,-0.016904873361413903,0.016426880588521424,0.1835840516747907,0.039144059521883934,0.053462204105798265,-0.010432374535235045,-0.02616136600642853,-0.1352288685940781,-0.03975246292633305,-0.009227216498515697,-0.03967527082175972,-0.01242526090069258,0.01671651887561061,-0.02317480486990299,-0.02526445918342186,0.0074042225329086385,-0.025439348592703075,-0.04881527843356135,0.0014845213580584105,0.034979301634529954,-0.02192508218116717,-0.010588063387572889,-0.018373594748476715,-0.020386888660281707,-0.017470091113056117,-0.025675229180627385,0.013771182338996928,0.013912986516980183,-0.019769604649392005,0.0039015373619765014,0.006088612956256872,0.008391986697231412,0.01531868926629836,0.0001538589921098608,0.041386165691647665,0.00660735615982477,0.0006551569611535198,0.021025355924730794,-0.0003236850119019756,0.021670151574089556,0.011008291365613659,0.02400978781591125,0.05170248637240173,0.013671775373538026,-0.023211033064944896,-0.02538366183172164,-0.023992586280223365,-0.02616622226886844
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",0.03183376006051152,-0.032439783658286814,-0.17812875780201054,-0.026543804728339254,-0.03153064259601361,-0.0004561201089783337,-0.18370451159498757,0.04029327011254605,-0.03943423855321825,-0.03175398976249945,0.011240244895345844,0.2998147938550692,0.11685774777045276,-0.039962411982628246,0.03129172670390081,0.026528942005930485,0.013881149805086111,0.016398407004753215,-0.20519556766615332,0.004291861943496733,0.2363074101838709,0.0358324792155755,0.009780872288460113,0.01628108027852906,0.020564458930191303,-0.008981242319186901,0.019661286970426933,0.017791447326839516,0.015669702789960903,-0.03788842412906926,0.035048876397916304,0.2540358414536999,0.17850950023869652,-0.017264731234391723,0.0018941726237307903,0.0032508330109656557,0.004740563256524618,-0.03318882579297794,0.017664668872585734,0.014031231984044419,0.010342628695332062,0.0018369929606093121,-0.0009178443297315876,-0.003950343843316362,0.0029051057938217963,-0.0004925111203440186,-0.00413021099316561,-0.015482066225761282,0.0017408024794693677,0.0013574997315289547,0.0009341680459227472,-0.12846723132535978,0.0029255952058367127,0.01745864017089192,0.025669261269837196,-0.008336020285087545,-0.1475511598713032,-0.16464054542076612,-0.16682040316850746,-0.02267886246008827,0.006892227375670869,0.0037332191245362137,0.0006617360830371347,0.00018201063205398787,-0.0005912381579651777,0.0010567445090092587,0.003255273403143906,-0.022262955802873546,-0.03749367769335601,0.0008089471149194124,0.16183353213934523,0.0024666919864010637,0.025149177061074803,0.0226800927725257,0.1500154433080182,0.04438501448795705,0.34528119555820425,-0.04098642272186664,0.013330332811758279,0.02487802458028982,-0.005154950018012463,0.029402409500161937,0.0179525931231106,-0.020507818407956915,-0.0007916339126926961,0.0027795142579987234,-0.04320782984767453,-0.1641116991688812,-0.01228769384203437,0.009750627640517128,-0.0015682076873444085,-0.0014831603060173632,-0.1340021938961787,-0.021993861497784272,-0.029723778671560588,0.010423608250706318,-0.008562828027424604,-0.03680116818245791,-0.027265389953318044,-0.03022430670626209,-0.03240241205689292,-0.019065152569318726,-0.017965420239741486,-0.020380750554620228,0.19462631869065303,-0.0006959282631526678,0.18945624661591717,0.19167922630394535,0.19142216079448,-0.021568104621795457,-0.013207161471935267,0.03428978387831451,0.03892846904476697,0.03224944961439162,0.016430797859044863,-0.02852355764462246,-0.0018707060653709276,-0.003880486582387645,-0.002275476456611604,0.013086583531408139,0.4138849511669892,-0.15410952263987854,-0.004203556451499651,-0.010578476523368727,-0.005083009846362695
ACROMICRIC DYSPLASIA; ACMICD,0.16137884689428955,0.34057389173056946,-0.30323066204978966,-0.012608779197815822,-0.022293722841298054,-0.0058993071611365255,-0.03660204361805518,0.033810820570269545,-0.3839058104216174,-0.2477173504396613,0.02070505210596225,0.2938968572831872,-0.0002510965676576496,-0.039855796013600245,0.03332316912347439,0.14268820202456353,0.136917758095307,-0.02009337917743026,-0.2849908231914687,0.031477902779277186,0.4075324997762119,0.14970906399950235,0.00262712839846787,0.019008289485999738,0.0323043679827638,-0.01177417503834496,0.3183740270859261,0.3132498743182275,0.29736910340542555,-0.2585555524158437,0.17590126580665288,0.29310658878673435,0.23944470829044337,-0.004890930600705189,-0.02348031879023711,-0.021174690198921417,-0.017312030576949848,-0.006781596541922509,0.02702882710585944,0.028362057012889744,0.027529643634731975,-0.008013946558417395,-0.005741078183083709,-0.003458895867978455,-0.003452594663415079,-0.0016902502839146558,-0.00018038897083739943,0.02705958800135662,-0.01923373212171382,-0.016314513099482494,-0.013217083968616056,-0.24606026201579959,-0.03725915407860982,-0.04442382432737813,-0.0359494567664429,0.002976655970240927,0.014507128937434265,0.0005207176993222664,-0.012556803795976849,0.025518597932906065,0.06640767143168431,0.029528776179868255,0.03284725615806874,-0.010697110373676395,-0.006408591807035054,-0.01424742948600692,-0.020879524141471748,-0.014276390176171648,-0.16498100131174165,0.14215513586252485,0.2974386151249029,-0.279531089601085,0.02650216538967661,-0.03534485773031661,0.006384000619788989,-0.00027404428543062383,0.04219591272657045,0.3812146555705173,0.040344611240233974,0.026466805987510975,0.019992207738595447,-0.2386109686641038,-0.03461919333112042,0.2402995901511838,0.023258045547952164,0.041014341829800155,-0.2974437179987755,-0.03717275270538306,-0.18434020714291444,0.2755334381304862,0.32463592532497393,0.31786462842542496,-0.2545083065069013,-0.004566953562706904,0.002246551216788007,0.0057103070888191755,-0.0364965392766801,0.03134476493535587,-0.03993793747775727,0.039510200444726834,0.035822954895932554,0.19019408151531073,0.008059904489126427,-0.04280323236491937,0.3006094634491312,-0.01386015542319306,0.15998232266114265,0.15165442576519805,0.04461039208023812,-0.020894042420262555,-0.026625501256490956,-0.01885856347255734,0.004444575809177886,0.030002750315043625,0.012697758535499598,0.0055897269481346695,-0.004703768391653856,-0.019282805188041933,-0.0254457208340007,-0.024817486102112075,0.021482204940360017,-0.012313069088065103,0.31673655900652764,0.3282698585372251,0.33593118585612186
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",-0.000954896687443448,-0.008980223139982325,-0.14655949394245368,-0.012879845290254722,-0.010198790154459911,0.0013579288249508117,0.0014184940545895275,0.04006349294007904,-0.012372782523401437,-0.013522533186808258,0.013754180665277694,0.02950607852588269,-0.007679572928210971,-0.014078399712589671,-0.01349339530645113,-0.028558681657707564,-0.03470737051721137,-0.0009453198298028313,-0.027305157030806156,-0.01678551625387038,-0.007199617903876025,0.008169284224386805,0.009179442025247536,0.018018743111726715,0.02394473828408445,0.04553537091609216,-0.022895636160219498,-0.028856222827734715,-0.03343588079358232,-0.026351280296016702,0.0011033673597697228,0.008836729227095367,0.010880762674020538,-0.0015531890253777543,0.0008441558567017633,0.001370851985300888,0.0019198301686073327,-0.017594328809197687,-0.0009828561376977211,-0.002087119485469765,-0.003115823575135684,-0.0015294791390847112,-0.003613155452478408,-0.006068945611129792,-0.0013228160218451844,-0.003965817514405933,-0.0068027122403017,-0.0008078957233716375,-0.00015232309084754018,-0.0005087442850228235,-0.0008740521530892497,-0.02014295979648301,0.0020120433866673967,0.009996480988401382,0.01523820447309384,-0.007258325559817733,-0.02562463098846167,-0.02876557692678233,-0.029056039454797365,-0.0113063500620298,0.010943794763737144,0.010304131635004864,0.008549576495073982,0.0042176809145435005,-0.006669113418045068,-0.007236042640194288,-0.0070942825685155406,0.0028053463361598398,-0.02939319899583809,0.0022759090057665244,0.02346889215130006,0.016756777671500335,0.14979143618060595,0.003633277093184212,0.0319022645002875,0.027787383010737705,0.052281594805263384,-0.010558239665451347,0.007117596113527086,0.14957128436357506,0.0013251939053388452,0.01278671122269188,0.005058179934690901,-0.004559585073261456,-0.20817320074046594,-0.2083661772824817,-0.006840802759164618,-0.020267617065937896,-0.022665392053205512,0.0018729342731440579,0.0046744761965714825,0.001528521684143817,-0.0074485101989626564,-0.01629510791402968,-0.013313685280152273,0.010065903004702484,0.005280594286897973,-0.004777784650941732,-0.025903801947574256,-0.000636754322771755,-0.003538057554122148,0.0013576625859154,-0.008337234740161454,-0.0037157151766843513,0.034657066470106704,-0.016648389684319476,0.009553972399043632,0.011311774773609898,0.012281491738902712,-0.010414518588727899,-0.016382017374153998,0.01248027641609348,-0.010445928390554688,0.008334766030068698,0.0013125980529131835,-0.01027213466259678,-0.0005155896822107519,-0.016603423055707826,0.003389535233124082,0.009766085699763246,0.04055447521864731,-0.032234553817024135,-0.0008850894114735707,0.0007082156168221522,0.0012670609738799686
AL KAISSI SYNDROME; ALKAS,-0.023890905869487316,0.18099825938864247,0.011289166572214205,-0.0054074792757876815,-0.020960163447063442,-0.015303940317292028,-0.019262783591072898,0.01819253019224361,-0.14359350043288346,0.021331337340878328,-0.026602418754977358,0.04029452436055915,0.016083294992049326,0.01609616829892159,0.03871090593056528,0.04607188630506305,0.040115743946443475,0.2569150021738494,-0.002627895968705871,0.02025566687737428,0.15638814679045276,0.007180236403811725,-0.03483891723821247,-0.0299668855397646,-0.022723244729840494,-0.01496434348383874,0.001977779122094846,0.0010397503994501519,8.2898833937838e-05,-0.008346712684741875,0.17854614494771176,0.2733063859142246,0.04786135791275701,-0.0033268711777437493,0.025717980079569026,0.022114790164679047,0.017693523589167957,-0.022946926999785636,0.020619107221822735,0.020123759357918616,0.01849212869541219,0.01942640232291932,0.019801400881778817,0.018951953408289843,0.018827901651612085,0.019162635895667354,0.018259301787763228,-0.005523516826878281,0.024187169806390463,0.021939119173019807,0.019392243634817504,-0.0025526592365104233,0.02484836473288249,0.021059013120580297,0.006376607122022589,-0.03295063382607793,0.03277636835521392,0.036156640374398634,0.036272490062903485,-0.01586792124045197,-0.00023774715197099266,-0.0004923051753921806,-0.0007457276430033845,0.00011236330888524131,0.0029156886120173795,0.003032341137317734,0.003087447460062029,-0.25470604719492557,-0.007138656817403018,-0.03236953859661727,0.23429437411944715,0.03602007194994729,0.045526785052182855,0.17064453249437153,0.16824614894973516,0.1779995597880304,0.027879517505432144,0.052105308851929155,0.006302564643343546,0.0452447333312654,0.27745554117133037,0.02897153181214662,-0.03136318519670586,0.022125135974739165,-0.13314893234758085,-0.041056349653291344,-0.025311554397409987,-0.15635115189754759,-0.014253283156710116,0.0036871531970098107,-0.011559102171371115,-0.011449550218914716,0.013571665486269691,-0.005773865785832679,-0.3052459179571677,-0.023965260739617678,0.2575424816323075,-0.1643524103965468,-0.03412143197339197,-0.15920658180678587,-0.16059399430828777,-0.14926439286286966,-0.03695721225371275,0.03501826249350783,0.001411530226508162,0.01795051411682691,0.042956668795365464,0.041536252797654036,0.03924702803638553,0.15894390278702095,0.026728365507605663,0.26359940329366494,0.03758934002468286,-0.005377459728537888,0.3030262842400012,0.02478265366005504,0.17425421900234794,0.16679704386361852,0.25056476718714693,0.1716138138944922,0.001867435010921895,-0.14185857041446476,-0.022890986806113657,-0.028170449062510518,-0.0203301559399978
AL-RAQAD SYNDROME; ARS,-0.031409909728596225,-0.15309032001475206,0.001527386163539277,-0.03613307634983318,0.013834030571538404,0.04870509364250367,0.006487067774034071,0.028588214015475552,-0.04330760913999608,0.030418648738477452,-0.024786178832159805,-0.007001538285165553,-0.016654480436571206,-0.012368522330263709,0.0021286681849502454,-0.008659617758531572,-0.020433774326281007,-0.02611439541771559,0.013997838119491209,-0.0427743991783894,0.012878587444366329,0.04911818482185552,-0.03536590378054701,-0.04100648434288139,-0.041677290150039036,0.05022368000083908,-0.03408623132226242,-0.028730478300923644,-0.021055352395079985,0.02659124686310652,-0.04658097064938889,-0.009085662139184063,0.03436895992083999,-0.0001440189018991808,0.010033493959131612,0.01730802032667555,0.02361036418741552,-0.013786534831455591,0.027116580231420283,0.011646980826137835,-0.0005564294993515482,0.023632288831325562,0.014635396810887876,0.005681765810346985,0.024575814943811246,0.012863227488269994,0.0013579926813936845,-0.012714690720300662,0.016332574182131115,0.017677968362537398,0.01898209801708757,0.01773188513625712,-0.017085411778606455,0.022407830767045705,0.04618786695671513,0.03168614834501731,0.028580681836506132,0.02536870932390518,0.0189165843073905,-0.02280978081671634,0.00735953846344584,0.00519572114627984,0.002569400200472737,0.000904825386426627,-0.0026334738708241275,-0.003037932168574845,-0.003325349073092116,0.004135639177936614,0.008585072720001197,0.0012004418924709478,0.03351572002159929,0.008723267649200912,0.20021740443591024,-0.00460541448654122,0.006024754177068144,0.004002517744156547,0.023253605389584056,-0.03724924575494834,0.026286862765474584,0.2012873716041268,-0.03401902875781189,0.006435375208373231,-0.00991386422698466,-0.14264756229492007,-0.024268179784031518,-0.017302378453295967,0.001668695955640162,-0.0011053134406972874,0.014486661933169514,-0.020101046959134117,-0.026082785021580502,-0.02975675675804397,0.006129955126256016,-0.04462487687307832,0.0032807814392511454,0.04618487806856076,0.005283738775556502,-0.01961060214917344,-0.013573116662771912,-0.017107761791058912,-0.020345612404571757,-0.018697041921023866,-0.012924209830204725,0.0022470895311060566,-0.019842603246530796,0.016812067726906767,-0.035705940333383666,-0.03190692292051318,-0.027195931678413592,-0.0031661440661515253,0.025972272638230372,-0.03256346459148911,0.008510678525052651,-0.02781571295840223,0.016710665745712873,0.0035653936790414212,-0.01186519329059582,0.004025388188489679,0.0031373033893705693,-0.0009945868686180332,-0.04531626964880266,-0.030098555411426975,-0.025340962267347975,-0.02109969863156141,-0.027378840260182887
ALAZAMI SYNDROME; ALAZS,-0.010305027188644216,-0.015557181571217868,0.003171907126236206,-0.0008517704290545016,-0.010259944104970402,-0.006403684467656605,-0.029584693837061773,-0.005675638517367154,0.00511901037447681,0.010070392450187333,-0.009191410681319196,0.16700526511729408,0.021582571786400395,-0.024590814683356357,-0.03950506712591261,-0.04283867723879862,-0.03630150299668003,0.006173003352665517,0.002647843036655545,-0.013503658151041613,-0.03859747087817939,-0.008110295251864208,-0.001211510519488299,0.0011631823642357785,0.0036210916745308235,0.023512845816677813,-0.04732500470999979,-0.046498288992668314,-0.04537327505430231,-0.006876572170787101,-0.022630362279633026,-0.01887284980307677,-0.004246110596004296,-0.017341977881471522,0.0059895976323840775,0.004501422234223892,0.002854040999123402,-0.0027974065490074555,-0.00257639818472192,-0.0039085934954913035,-0.0047808347193685095,0.0008356240946397519,9.208849458918436e-05,-0.0005991861339989217,1.589703430889312e-05,-0.0006562878879817176,-0.0013418894374285018,-0.016855915617396636,0.004372760948531579,0.0030305605624415363,0.0017246247025135468,-0.004048396337085848,0.014329679109467142,0.01898692149602868,0.01399369783150038,-0.025943015505598556,0.010681944057058685,0.007597176927973325,0.00452360159873063,-0.014945735274250832,-0.00059360197671268,-0.0022015448293743697,-0.0037765736938230572,0.0002317661389258824,-0.000505617835853449,0.0001901647668473446,0.0010241521316936755,-0.029992877452404136,-0.002267849397721185,-0.03679413481793563,0.0074080959730502775,-0.018737110600865407,0.03787049676873177,0.010759105581507283,0.026066678313007463,0.02470673487109386,0.0008656543638055452,-0.006217609082252411,0.015307222133713466,0.03743326253167758,-0.0036417345039989517,0.00969066183261722,0.006395515018034191,0.0008126815884025754,-0.020080603004727793,-0.014461558715397234,-0.141541219760712,-0.041159275371178826,0.0005256672833664529,0.0040018082647421925,0.04300669301097481,0.04351632931500398,-0.002128228271964972,-0.0040738226888401355,-0.020336143014510553,-0.0003186094312877656,-0.014469875885164855,0.00738634440907838,-0.005935918605668674,0.01152945671095615,0.010528687454994745,0.005080126768244157,0.019344998541828907,0.001361994310948459,-0.004769578600969901,0.00013938137680955207,0.0287227708806426,0.028033091730110937,0.027600880965901894,0.02773204375610386,0.008310741177617487,0.03696398759410056,-0.007317089767745277,-0.0037014282439391906,0.019483675398296832,0.032107938571549394,0.04050747866029963,0.02060176152421515,0.04003682632883938,0.012911288291156335,0.004469658681143173,0.009207818175869843,0.03599904887413951,0.02743214909518864,0.038513350098224645
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,0.00021902966016377245,-0.0004778786974805433,0.0027960987919682483,-0.003120201206145651,0.0192537099327589,0.02500771711756147,-0.023406485757053154,0.00471149646410613,0.00617299684541869,-0.2155996573684175,0.05869785924106173,-0.01189305898760318,0.043905332665637564,-0.011731607540432896,0.022609160317021343,0.032074743143894205,0.032702128909764545,-0.0004993913234496141,0.017803207713046994,-0.005232040459906848,0.008457088773126587,0.012016824549794712,0.033473510397535634,0.026481462574413257,0.017101201096919833,0.16210093421009292,0.004855023855261395,0.01430481785864969,0.024507100924135102,0.023463223792649663,0.005730912900958609,0.03331247981937488,0.03576846103402294,-0.006172265306947452,0.014913442572548025,0.018348117600103013,0.0204785199083482,0.009794712608191352,0.032525008465922996,0.027190882429593385,0.018209877958168034,0.022030332006327775,0.02104487119512541,0.01817746126558203,0.02339974041556772,0.021755511625776203,0.017668012288470095,-0.015455541897469909,0.018638265535280776,0.020093958666968902,0.020987255185278348,0.017343356509843283,-0.0013072965621791967,0.005452362657177404,0.010871256261606637,0.022043525383090942,-0.011059995047844615,-0.013055709792396323,-0.013319413715899753,-0.014884587648972129,-0.002476748199537527,-0.005648521201439591,-0.008500910469042432,0.0010224018477479658,0.0067970858375159225,0.00985599684904574,0.012674906979390037,-0.017809344831669148,0.025505749670365622,-0.003149610128780973,-0.01005255878275923,-0.031600454438308646,-0.014453013140959658,-0.021760437363422154,-0.0018042235900838082,-0.005425116719976755,-0.022380993060007633,0.00012097215555500047,0.02332307467151817,-0.014215088907554825,0.009402097060299285,0.010805799382368017,-0.01791098068734233,-0.01607912116662865,-0.02949154018765567,-0.023848791299639686,-0.02983657735201489,-0.005482072110553617,0.0008957010866312033,-0.02934355434388282,0.018576095863961684,0.022474111111372964,0.027183120373097797,-0.01004639583257216,-0.008327937053162081,0.005899103386824109,-0.03803070356938277,0.21476707565974448,0.048925314172153504,0.219561555205993,0.2149456922450504,0.2772844514632286,0.19040471824182484,-0.04083890301959028,-0.010065481197587406,-0.0075604950488981915,0.04963635825919084,0.05172802022074944,0.053115360160230864,-0.0504348434180079,-0.05700458184560042,-0.0187864218341424,-0.03996670300993978,0.056432722336108104,-0.028594210746662924,-0.04104179212575496,-0.036811182826085996,-0.05126076332069377,0.012300048388622585,0.009261163093527034,0.042795739730887926,0.02079490402856802,0.03206538933833455,0.04188772806567698,0.03336628567158437
