position,feature
1,eb_thickness_r
2,eb_thickness_l
3,eb_thickness_mean
4,eb_thickness_asym
5,eb_inter_distance
6,eb_arch_r
7,eb_arch_l
8,eb_arch_mean
9,eb_arch_asym
10,eb_position_r
11,eb_position_l
12,eb_position_mean
13,eb_position_asym
14,eb_medial_flare_r
15,eb_medial_flare_l
16,eb_lateral_thickness_r
17,eb_lateral_thickness_l
18,eb_medial_flare_mean
19,eb_lateral_thickness_mean
20,eb_lateral_thickness_asym
21,eye_fissure_length_r
22,eye_fissure_height_r
23,eye_fissure_length_l
24,eye_fissure_height_l
25,eye_fissure_length_mean
26,eye_fissure_height_mean
27,eye_fissure_length_asym
28,eye_fissure_height_asym
29,eye_fissure_slant_r
30,eye_fissure_slant_l
31,eye_fissure_slant_mean
32,eye_fissure_slant_asym
33,eye_fissure_aspect_r
34,eye_fissure_aspect_l
35,eye_fissure_aspect_mean
36,inter_canthal_distance
37,inter_pupillary_distance
38,outer_canthal_distance
39,canthal_to_pupillary_ratio
40,eye_epicanthus_angle_r
41,eye_epicanthus_angle_l
42,eye_epicanthus_angle_mean
43,eye_epicanthus_angle_asym
44,eye_upper_lid_to_iris_r
45,eye_lower_lid_to_iris_r
46,eye_upper_lid_to_iris_l
47,eye_lower_lid_to_iris_l
48,eye_upper_lid_to_iris_mean
49,eye_upper_lid_to_iris_asym
50,eye_lower_lid_to_iris_mean
51,eye_lower_lid_to_iris_asym
52,eye_area_r
53,eye_area_l
54,eye_area_mean
55,eye_area_asym
56,eye_fissure_fill_r
57,eye_fissure_fill_l
58,eye_fissure_fill_mean
59,iris_offset_x_r
60,iris_offset_y_r
61,iris_offset_x_l
62,iris_offset_y_l
63,gaze_asym_x
64,gaze_asym_y
65,gaze_asym_norm
66,nose_length
67,nose_bridge_length
68,nose_bridge_width
69,nose_tip_width
70,nose_base_width
71,nose_tip_to_bridge_ratio
72,nose_tip_midline_dent
73,nose_ala_height_r
74,nose_ala_height_l
75,nose_ala_height_mean
76,nose_ala_height_asym
77,nostril_region_area
78,nasolabial_angle
79,nose_tip_elevation
80,ala_flare_angle
81,columella_length
82,columella_hang_below_ala
83,nose_to_face_area_ratio
84,philtrum_length
85,philtrum_width
86,mouth_width
87,mouth_opening
88,upper_vermilion_height
89,lower_vermilion_height
90,vermilion_total
91,cupid_bow_drop
92,mouth_corner_drop
93,mouth_triangularity
94,mouth_tenting
95,mouth_upper_curvature_c2
96,mouth_upper_fit_residual
97,upper_lip_eversion
98,lower_lip_eversion
99,lip_outer_to_inner_area
100,lip_midline_x_std
101,cupid_bow_peak_asym
102,chin_height
103,chin_width
104,chin_pointedness_angle
105,jaw_bigonial_width
106,forehead_height
107,forehead_width_upper
108,forehead_width_mid
109,hairline_height
110,forehead_taper_ratio
111,face_aspect_ratio
112,face_roundness
113,face_width_uniformity
114,jaw_to_forehead_ratio
115,face_triangularity
116,face_asymmetry
117,midface_width
118,malar_bulge_r
119,malar_bulge_l
120,malar_bulge_mean
121,malar_bulge_asym
122,cheek_area_r
123,cheek_area_l
124,cheek_area_mean
125,cheek_area_asym
