cohort,reason,age_status,image_rows
all_ages,additional_patient_image,invalid_components,9
all_ages,additional_patient_image,missing_or_nonnumeric,35
all_ages,additional_patient_image,nonzero_components_unverified_semantics,1199
all_ages,additional_patient_image,zero_zero_unresolved,711
all_ages,quality_not_pass,invalid_components,1
all_ages,quality_not_pass,missing_or_nonnumeric,62
all_ages,quality_not_pass,nonzero_components_unverified_semantics,823
all_ages,quality_not_pass,zero_zero_unresolved,645
all_ages,selected,invalid_components,2
all_ages,selected,missing_or_nonnumeric,231
all_ages,selected,nonzero_components_unverified_semantics,4155
all_ages,selected,zero_zero_unresolved,3069
age_3_9_id_sensitivity,additional_patient_image,nonzero_components_unverified_semantics,251
age_3_9_id_sensitivity,outside_or_unresolved_age_3_9,invalid_components,11
age_3_9_id_sensitivity,outside_or_unresolved_age_3_9,missing_or_nonnumeric,266
age_3_9_id_sensitivity,outside_or_unresolved_age_3_9,nonzero_components_unverified_semantics,3253
age_3_9_id_sensitivity,outside_or_unresolved_age_3_9,zero_zero_unresolved,3780
age_3_9_id_sensitivity,quality_not_pass,invalid_components,1
age_3_9_id_sensitivity,quality_not_pass,missing_or_nonnumeric,62
age_3_9_id_sensitivity,quality_not_pass,nonzero_components_unverified_semantics,823
age_3_9_id_sensitivity,quality_not_pass,zero_zero_unresolved,645
age_3_9_id_sensitivity,selected,nonzero_components_unverified_semantics,1850
age_3_9,additional_patient_image,nonzero_components_unverified_semantics,251
age_3_9,outside_or_unresolved_age_3_9,invalid_components,11
age_3_9,outside_or_unresolved_age_3_9,missing_or_nonnumeric,266
age_3_9,outside_or_unresolved_age_3_9,nonzero_components_unverified_semantics,3253
age_3_9,outside_or_unresolved_age_3_9,zero_zero_unresolved,3780
age_3_9,quality_not_pass,invalid_components,1
age_3_9,quality_not_pass,missing_or_nonnumeric,62
age_3_9,quality_not_pass,nonzero_components_unverified_semantics,823
age_3_9,quality_not_pass,zero_zero_unresolved,645
age_3_9,selected,nonzero_components_unverified_semantics,1850
