position,feature,matches_supplied_order
1,eb_thickness_r,True
2,eb_thickness_l,True
3,eb_thickness_mean,True
4,eb_thickness_asym,True
5,eb_inter_distance,True
6,eb_arch_r,True
7,eb_arch_l,True
8,eb_arch_mean,True
9,eb_arch_asym,True
10,eb_position_r,True
11,eb_position_l,True
12,eb_position_mean,True
13,eb_position_asym,True
14,eb_medial_flare_r,True
15,eb_medial_flare_l,True
16,eb_lateral_thickness_r,True
17,eb_lateral_thickness_l,True
18,eb_medial_flare_mean,True
19,eb_lateral_thickness_mean,True
20,eb_lateral_thickness_asym,True
21,eye_fissure_length_r,True
22,eye_fissure_height_r,True
23,eye_fissure_length_l,True
24,eye_fissure_height_l,True
25,eye_fissure_length_mean,True
26,eye_fissure_height_mean,True
27,eye_fissure_length_asym,True
28,eye_fissure_height_asym,True
29,eye_fissure_slant_r,True
30,eye_fissure_slant_l,True
31,eye_fissure_slant_mean,True
32,eye_fissure_slant_asym,True
33,eye_fissure_aspect_r,True
34,eye_fissure_aspect_l,True
35,eye_fissure_aspect_mean,True
36,inter_canthal_distance,True
37,inter_pupillary_distance,True
38,outer_canthal_distance,True
39,canthal_to_pupillary_ratio,True
40,eye_epicanthus_angle_r,True
41,eye_epicanthus_angle_l,True
42,eye_epicanthus_angle_mean,True
43,eye_epicanthus_angle_asym,True
44,eye_upper_lid_to_iris_r,True
45,eye_lower_lid_to_iris_r,True
46,eye_upper_lid_to_iris_l,True
47,eye_lower_lid_to_iris_l,True
48,eye_upper_lid_to_iris_mean,True
49,eye_upper_lid_to_iris_asym,True
50,eye_lower_lid_to_iris_mean,True
51,eye_lower_lid_to_iris_asym,True
52,eye_area_r,True
53,eye_area_l,True
54,eye_area_mean,True
55,eye_area_asym,True
56,eye_fissure_fill_r,True
57,eye_fissure_fill_l,True
58,eye_fissure_fill_mean,True
59,iris_offset_x_r,True
60,iris_offset_y_r,True
61,iris_offset_x_l,True
62,iris_offset_y_l,True
63,gaze_asym_x,True
64,gaze_asym_y,True
65,gaze_asym_norm,True
66,nose_length,True
67,nose_bridge_length,True
68,nose_bridge_width,True
69,nose_tip_width,True
70,nose_base_width,True
71,nose_tip_to_bridge_ratio,True
72,nose_tip_midline_dent,True
73,nose_ala_height_r,True
74,nose_ala_height_l,True
75,nose_ala_height_mean,True
76,nose_ala_height_asym,True
77,nostril_region_area,True
78,nasolabial_angle,True
79,nose_tip_elevation,True
80,ala_flare_angle,True
81,columella_length,True
82,columella_hang_below_ala,True
83,nose_to_face_area_ratio,True
84,philtrum_length,True
85,philtrum_width,True
86,mouth_width,True
87,mouth_opening,True
88,upper_vermilion_height,True
89,lower_vermilion_height,True
90,vermilion_total,True
91,cupid_bow_drop,True
92,mouth_corner_drop,True
93,mouth_triangularity,True
94,mouth_tenting,True
95,mouth_upper_curvature_c2,True
96,mouth_upper_fit_residual,True
97,upper_lip_eversion,True
98,lower_lip_eversion,True
99,lip_outer_to_inner_area,True
100,lip_midline_x_std,True
101,cupid_bow_peak_asym,True
102,chin_height,True
103,chin_width,True
104,chin_pointedness_angle,True
105,jaw_bigonial_width,True
106,forehead_height,True
107,forehead_width_upper,True
108,forehead_width_mid,True
109,hairline_height,True
110,forehead_taper_ratio,True
111,face_aspect_ratio,True
112,face_roundness,True
113,face_width_uniformity,True
114,jaw_to_forehead_ratio,True
115,face_triangularity,True
116,face_asymmetry,True
117,midface_width,True
118,malar_bulge_r,True
119,malar_bulge_l,True
120,malar_bulge_mean,True
121,malar_bulge_asym,True
122,cheek_area_r,True
123,cheek_area_l,True
124,cheek_area_mean,True
125,cheek_area_asym,True
