internal_syndrome_name,retained_patients
3-Methylglutaconic aciduria,5
3MC syndrome,2
ABLEPHARON-MACROSTOMIA SYNDROME; AMS,1
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",2
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",1
ACROMICRIC DYSPLASIA; ACMICD,2
ACTL6A,3
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",2
AL KAISSI SYNDROME; ALKAS,5
ALAZAMI SYNDROME; ALAZS,1
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,1
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",8
ALSTROM SYNDROME; ALMS,9
ANGELMAN SYNDROME; AS,18
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1,1
ARBOLEDA-THAM SYNDROME; ARTHS,5
ARPC4,3
ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD,2
ATAXIA-TELANGIECTASIA; AT,1
ATP9A,1
AU-KLINE SYNDROME; AUKS,11
AYME-GRIPP SYNDROME; AYGRP,3
Alagille syndrome,9
Arthrogryposis multiplex congenita,1
"Arthrogryposis, distal",10
Auriculocondylar syndrome,1
"Autism, susceptiblity to",12
BAINBRIDGE-ROPERS SYNDROME; BRPS,5
BASAL CELL NEVUS SYNDROME; BCNS,1
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,5
BECK-FAHRNER SYNDROME; BEFAHRS,3
BECKWITH-WIEDEMANN SYNDROME; BWS,7
BIRK-BAREL SYNDROME; BIBARS,1
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",5
BLEPHAROPHIMOSIS-IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME; BIS,9
BOHRING-OPITZ SYNDROME; BOPS,3
BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS,8
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,6
BRANCHIOOCULOFACIAL SYNDROME; BOFS,2
BURN-MCKEOWN SYNDROME; BMKS,1
Baraitser-Winter syndrome,8
Bardet-Biedl syndrome,1
Blepharocheilodontic syndrome,1
CANTU SYNDROME,7
"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD",2
CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF,1
CAREY-FINEMAN-ZITER SYNDROME; CFZS,2
CATEL-MANZKE SYNDROME; CATMANS,1
CDH8,6
CEBALID SYNDROME; CEBALID,12
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",2
CEREBROCOSTOMANDIBULAR SYNDROME; CCMS,4
CHARGE SYNDROME,9
CHITAYAT SYNDROME; CHYTS,3
CHOPS SYNDROME; CHOPS,5
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",1
CHUNG-JANSEN SYNDROME; CHUJANS,6
CIMDAG SYNDROME; CIMDAG,1
CLARK-BARAITSER SYNDROME; CLABARS,13
"CLEFT PALATE, CARDIAC DEFECTS, AND MENTAL RETARDATION; CPCMR",5
CLEIDOCRANIAL DYSPLASIA; CCD,2
COCKAYNE SYNDROME A; CSA,1
COFFIN-LOWRY SYNDROME; CLS,5
"COGNITIVE FUNCTION 1, SOCIAL; CGF1",4
COHEN SYNDROME; COH1,2
"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY; CAKUTHED",1
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD",15
"CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 2; CHTD2",4
"CONGENITAL HYPOTONIA, EPILEPSY, DEVELOPMENTAL DELAY, AND DIGITAL ANOMALIES; CHEDDA",3
"CORPUS CALLOSUM, AGENESIS OF, WITH FACIAL ANOMALIES AND ROBIN SEQUENCE",2
COSTELLO SYNDROME; CSTLO,12
"CRANIOFACIAL DYSMORPHISM, SKELETAL ANOMALIES, AND MENTAL RETARDATION SYNDROME; CFSMR",2
CRANIOFRONTONASAL SYNDROME; CFNS,6
CROUZON SYNDROME,7
CSNK1G1,2
CYSTIC FIBROSIS; CF,1
Cardiofaciocutaneous syndrome,4
Cerebral creatine deficiency syndrome,2
Coffin-Siris syndrome,43
Cold-induced sweating syndrome,1
Cole-Carpenter syndrome,1
"Congenital disorders of glycosylation, type II",3
Cornelia de Lange syndrome,64
Craniometaphyseal dysplasia,1
Craniosynostosis,2
Cutis laxa,9
DDX23,2
"DEAFNESS, CATARACT, IMPAIRED INTELLECTUAL DEVELOPMENT, AND POLYNEUROPATHY; DCIDP",2
DESANTO-SHINAWI SYNDROME; DESSH,7
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 13; DEE13,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 23; DEE23,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,5
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2,4
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4,3
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 66; DEE66,2
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 70; DEE70,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 83; DEE83,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 84; DEE84,1
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 87; DEE87,3
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 95; DEE95,3
DEVELOPMENTAL DELAY WITH OR WITHOUT DYSMORPHIC FACIES AND AUTISM; DEDDFA,4
DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB,3
DEVELOPMENTAL DELAY WITH VARIABLE INTELLECTUAL IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; DDVIBA,9
"DEVELOPMENTAL DELAY, HYPOTONIA, MUSCULOSKELETAL DEFECTS, AND BEHAVIORAL ABNORMALITIES; DEHMBA",5
"DEVELOPMENTAL DELAY, IMPAIRED GROWTH, DYSMORPHIC FACIES, AND AXONAL NEUROPATHY; DIGFAN",4
DIETS-JONGMANS SYNDROME; DIJOS,4
DIGEORGE SYNDROME; DGS,6
DONNAI-BARROW SYNDROME,1
DOWN SYNDROME,6
DPH5,2
Diamond-Blackfan anemia,1
"ECTODERMAL DYSPLASIA WITH FACIAL DYSMORPHISM AND ACRAL, OCULAR, AND BRAIN ANOMALIES; EDFAOB",1
ELSAHY-WATERS SYNDROME; ESWS,1
Ehlers-Danlos syndrome,9
"FACIAL DYSMORPHISM, HYPERTRICHOSIS, EPILEPSY, INTELLECTUAL/DEVELOPMENTAL DELAY, AND GINGIVAL OVERGROWTH SYNDROME; FHEIG",2
"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS",1
"FACIAL PALSY, CONGENITAL, WITH PTOSIS AND VELOPHARYNGEAL DYSFUNCTION; FPVEPD",1
FBXW7,10
FG syndrome,2
FILIPPI SYNDROME; FLPIS,1
FLOATING-HARBOR SYNDROME; FLHS,15
FOCAL DERMAL HYPOPLASIA; FDH,7
FONTAINE PROGEROID SYNDROME; FPS,2
FRA10AC1,3
FRAGILE X SYNDROME; FXS,4
FRANK-TER HAAR SYNDROME; FTHS,1
Fraser syndrome,1
Frontometaphyseal dysplasia,2
GAPO SYNDROME; GAPOS,1
GENITOPATELLAR SYNDROME; GTPTS,1
GERODERMA OSTEODYSPLASTICUM; GO,5
GLASS SYNDROME; GLASS,7
GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA,2
"GLOBAL DEVELOPMENTAL DELAY, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, AND DYSMORPHIC FACIES; GDACCF",2
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS,2
Glut1 deficiency syndrome,1
H3-3A,3
H3-3B,2
H4C3,1
H4C5,2
H4C9,1
HAO-FOUNTAIN SYNDROME; HAFOUS,1
HARTSFIELD SYNDROME; HRTFDS,1
HEART AND BRAIN MALFORMATION SYNDROME; HBMS,2
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS,11
HIATT-NEU-COOPER NEURODEVELOPMENTAL SYNDROME; HINCONS,3
"HYPOTONIA, ATAXIA, AND DELAYED DEVELOPMENT SYNDROME; HADDS",5
Hennekam lymphangiectasia-lymphedema syndrome,3
Hermansky-Pudlak syndrome,3
