disease,row_count
Cornelia de Lange syndrome__fb4a389d,446
OGDEN SYNDROME; OGDNS__32400320,319
WILLIAMS-BEUREN SYNDROME; WBS__93e4a782,273
Noonan syndrome__c2df3f82,207
Kabuki syndrome__fa463433,206
Coffin-Siris syndrome__46fda5b4,179
KBG SYNDROME; KBGS__4b10cf71,179
ANGELMAN SYNDROME; AS__471b9572,158
SCHAAF-YANG SYNDROME; SHFYNG__ec4c0f98,156
Mucopolysaccharidoses__dad2c2d0,140
SOTOS SYNDROME; SOTOS__bf015147,128
WIEDEMANN-STEINER SYNDROME; WDSTS__12a717b2,125
Rubinstein-Taybi syndrome__ad6c2718,116
SMITH-MAGENIS SYNDROME; SMS__211f4178,102
"Arthrogryposis, distal__b1e822eb",99
SMITH-LEMLI-OPITZ SYNDROME; SLOS__a7cc6ffd,99
NICOLAIDES-BARAITSER SYNDROME; NCBRS__78ac980b,97
Hutchinson-Gilford progeria__054d7fbd,96
Baraitser-Winter syndrome__9ab96026,90
FLOATING-HARBOR SYNDROME; FLHS__04847afa,89
Hyperphosphatasia with mental retardation syndrome__adb3373e,88
PITT-HOPKINS SYNDROME; PTHS__d527d01d,87
HELSMOORTEL-VAN DER AA SYNDROME; HVDAS__93d27023,82
Alagille syndrome__0e695d36,76
MOWAT-WILSON SYNDROME; MOWS__1bc115aa,75
Kleefstra syndrome__6635f40a,73
Treacher Collins syndrome__0338c5ad,70
Cutis laxa__acec665e,69
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 50, WITH BEHAVIORAL ABNORMALITIES; MRD50__3950766c",65
PRADER-WILLI SYNDROME; PWS__38702d4d,64
COHEN SYNDROME; COH1__982d7c55,61
CROUZON SYNDROME__021fccb9,61
MUCOLIPIDOSIS II ALPHA_BETA__08661f5b,61
Menke-Hennekam syndrome__2b0b5cd9,61
CHARGE SYNDROME__c6048c09,60
Joubert syndrome__db50c810,59
"OHDO SYNDROME, SBBYS VARIANT; SBBYSS__0420737d",59
COSTELLO SYNDROME; CSTLO__b18c56a4,58
Cardiofaciocutaneous syndrome__16c02f0d,57
KOOLEN-DE VRIES SYNDROME; KDVS__3fd32be5,57
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5__2b4fdd88",56
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 33; MRXS33__fc2385fe",56
Ehlers-Danlos syndrome__26e9618d,55
BECKWITH-WIEDEMANN SYNDROME; BWS__3e4601cf,54
Holoprosencephaly__2104e049,54
WEAVER SYNDROME; WVS__7c74ac9e,53
Trichorhinophalangeal syndrome__c65055aa,53
CRANIOFRONTONASAL SYNDROME; CFNS__55d125ba,53
ARBOLEDA-THAM SYNDROME; ARTHS__a6d0bf95,53
RAHMAN SYNDROME; RMNS__8f57e066,52
Robinow syndrome__3fa0c0ae,52
WHITE-SUTTON SYNDROME; WHSUS__4d3fc142,50
AU-KLINE SYNDROME; AUKS__e3f12848,49
HAO-FOUNTAIN SYNDROME; HAFOUS__593e62cd,49
FRAGILE X SYNDROME; FXS__0bf4ba77,48
TATTON-BROWN-RAHMAN SYNDROME; TBRS__2b9aac0d,47
SAETHRE-CHOTZEN SYNDROME; SCS__287d8e35,46
INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN__553e60cb,45
"CONGENITAL HEART DEFECTS, DYSMORPHIC FACIAL FEATURES, AND INTELLECTUAL DEVELOPMENTAL DISORDER; CHDFIDD__95be67b6",43
PRIMROSE SYNDROME; PRIMS__93a5aedc,43
"SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1__95724a7b",43
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 7; MRD7__89ede939",42
WEISS-KRUSZKA SYNDROME; WSKA__295192ca,41
