disease,European,Asian,African,Other
3-Methylglutaconic aciduria__fae4ed41,0,0,0,1
3MC syndrome__6c005aa8,1,15,0,2
ABLEPHARON-MACROSTOMIA SYNDROME; AMS__0ee470df,3,0,0,0
ACHONDROPLASIA; ACH__2f7c3c38,4,0,3,0
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1__cff6e3a6",11,0,2,0
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN__df3a03b4",2,0,0,1
ACROMICRIC DYSPLASIA; ACMICD__3cc21408,1,20,0,5
ACTL6A__eb14bc3f,3,0,0,0
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS__511292b2",4,0,1,0
AL KAISSI SYNDROME; ALKAS__8db24ce8,0,4,2,1
AL-RAQAD SYNDROME; ARS__43273be7,1,6,0,0
"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR__6384cf75",0,0,0,2
ALAZAMI SYNDROME; ALAZS__ee8c5ef2,2,3,2,0
ALAZAMI-YUAN SYNDROME; ALYUS__d89cc1a3,0,3,0,0
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS__ed136682,7,0,0,0
"ALPHA-THALASSEMIA_MENTAL RETARDATION SYNDROME, X-LINKED; ATRX__63ddb3db",5,7,0,0
ALSTROM SYNDROME; ALMS__ed7a4d89,0,29,0,0
ALZAHRANI-KUWAHARA SYNDROME; ALKUS__cb4191a1,0,7,0,0
ANGELMAN SYNDROME; AS__471b9572,125,19,7,7
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1__8dd54a3a,2,0,0,0
APERT SYNDROME__246da1f3,4,1,1,0
ARBOLEDA-THAM SYNDROME; ARTHS__a6d0bf95,48,0,5,0
ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD__cac34c15,0,1,1,1
ATAXIA-TELANGIECTASIA; AT__d9228db4,1,3,0,0
ATP9A__9b1d8b86,0,1,0,0
AU-KLINE SYNDROME; AUKS__e3f12848,26,2,0,0
AYME-GRIPP SYNDROME; AYGRP__bfbc8d98,20,1,0,0
Acrodysostosis__49084ba7,2,0,0,0
Acromesomelic dysplasia__e6b8b46f,0,0,2,0
Alagille syndrome__0e695d36,10,40,0,1
Arthrogryposis multiplex congenita__57fe8c74,3,0,0,0
"Arthrogryposis, distal__b1e822eb",38,19,5,3
"Arthrogryposis, renal dysfunction, and cholestasis__c609e7a9",1,0,0,0
Auriculocondylar syndrome__39d99ece,0,0,2,0
"Autism, susceptiblity to__98424777",26,5,0,0
BAINBRIDGE-ROPERS SYNDROME; BRPS__dbbc187d,12,8,1,3
BAKER-GORDON SYNDROME; BAGOS__e9d5cfae,2,0,0,0
BARBER-SAY SYNDROME; BBRSAY__de7d9aea,4,0,0,0
BARTSOCAS-PAPAS SYNDROME 1; BPS1__712537d8,1,0,0,0
BASAL CELL NEVUS SYNDROME; BCNS__586ba947,0,1,1,0
BASILICATA-AKHTAR SYNDROME; MRXSBA__50b015d4,26,1,0,8
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS__e1210636,6,6,0,0
BECK-FAHRNER SYNDROME; BEFAHRS__535246fd,5,2,1,2
BECKWITH-WIEDEMANN SYNDROME; BWS__3e4601cf,10,11,2,1
BIRK-BAREL SYNDROME; BIBARS__c009054c,6,3,0,0
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES__1f4558cc",12,3,2,12
BOHRING-OPITZ SYNDROME; BOPS__93656394,21,0,3,1
BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS__f4c833d9,22,0,0,0
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS__6ec92290,6,2,0,0
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS__91c02067,3,4,3,0
BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD__dea565b9,0,1,0,5
BRANCHIOOCULOFACIAL SYNDROME; BOFS__df6f21e9,8,3,0,0
BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG__0dc824b9,2,0,0,3
BURN-MCKEOWN SYNDROME; BMKS__94b306c7,8,4,0,0
Baraitser-Winter syndrome__9ab96026,66,0,0,6
Bardet-Biedl syndrome__0e816837,23,2,3,8
Blepharocheilodontic syndrome__179359ce,2,3,2,0
CANTU SYNDROME__a133f1e1,12,2,4,0
"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD__ec7182a6",3,0,0,0
CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF__09e041a7,4,0,0,0
CAREY-FINEMAN-ZITER SYNDROME; CFZS__b07fb2e2,7,0,0,2
CATEL-MANZKE SYNDROME; CATMANS__ec87f445,2,1,0,0
CDH8__93c2de42,3,0,0,0
CEBALID SYNDROME; CEBALID__922186ad,20,9,0,1
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR__d69f137e",1,4,0,0
CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES; CECBA__d98af59c,1,0,0,0
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG__4e0ec9d8",0,14,3,0
CEREBELLOFACIODENTAL SYNDROME; CFDS__2870c0ef,9,0,0,0
CEREBROCOSTOMANDIBULAR SYNDROME; CCMS__0487686f,9,0,0,0
CHANARIN-DORFMAN SYNDROME; CDS__5924088d,3,1,0,0
"CHARCOT-MARIE-TOOTH DISEASE, TYPE 4B3; CMT4B3__5647be72",4,0,0,0
CHARGE SYNDROME__c6048c09,22,28,2,3
CHITAYAT SYNDROME; CHYTS__4d9ce288,4,0,2,1
