feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
eb_thickness_r,17.465754158216292,0.0005667714827932153,4,Asian:571|African:143|Others:143|European:143,Asian:0.0150093|African:0.0159406|Others:0.0149644|European:0.0148496,Asian:0.0145808|African:0.0159172|Others:0.01472|European:0.0144064,0.0016475915197477192,True
eb_thickness_l,15.997512625041276,0.0011353166101549953,4,Asian:571|African:143|Others:143|European:143,Asian:0.0152565|African:0.0162372|Others:0.015411|European:0.0151158,Asian:0.0150572|African:0.0160777|Others:0.0151701|European:0.0150668,0.0028962158422321306,True
eb_thickness_mean,37.017629107318555,4.562030898428317e-08,4,Asian:571|African:143|Others:143|European:143,Asian:0.0151329|African:0.0160889|Others:0.0151877|European:0.0149827,Asian:0.0151619|African:0.0161602|Others:0.0149877|European:0.015066,2.1932840857828447e-07,True
eb_thickness_asym,6.280866432837983,0.09871697521991693,4,Asian:571|African:143|Others:143|European:143,Asian:0.187538|African:0.226709|Others:0.197501|European:0.196683,Asian:0.153777|African:0.222857|Others:0.148589|European:0.173477,0.12339621902489616,False
eb_inter_distance,55.6858190772969,4.9021819333735945e-12,4,Asian:571|African:143|Others:143|European:143,Asian:0.193931|African:0.202217|Others:0.192553|European:0.195113,Asian:0.194045|African:0.201954|Others:0.191194|European:0.194636,3.8298296354481206e-11,True
eb_arch_r,11.843518536815074,0.007938882278410084,4,Asian:571|African:143|Others:143|European:143,Asian:0.131534|African:0.139298|Others:0.133664|European:0.129534,Asian:0.130813|African:0.133511|Others:0.131925|European:0.130888,0.014382033113061746,True
eb_arch_l,9.842831723827885,0.019950472327225913,4,Asian:571|African:143|Others:143|European:143,Asian:0.130032|African:0.135258|Others:0.131213|European:0.128483,Asian:0.128363|African:0.135875|Others:0.130349|European:0.128713,0.03375123194739837,True
eb_arch_mean,15.7707997565237,0.0012635112670041338,4,Asian:571|African:143|Others:143|European:143,Asian:0.130783|African:0.137278|Others:0.132439|European:0.129009,Asian:0.130996|African:0.137733|Others:0.131194|European:0.129283,0.003120604991304379,True
eb_arch_asym,7.0722190896500825,0.06963118228842612,4,Asian:571|African:143|Others:143|European:143,Asian:0.128878|African:0.149899|Others:0.12416|European:0.137255,Asian:0.099692|African:0.122411|Others:0.0955182|European:0.122601,0.09161997669529752,False
eb_position_r,7.917078464382732,0.0477568929903581,4,Asian:571|African:143|Others:143|European:143,Asian:0.350984|African:0.368037|Others:0.34665|European:0.362936,Asian:0.347851|African:0.365914|Others:0.34304|European:0.346091,0.06868923663119851,False
eb_position_l,7.4134570128203645,0.059824307816981746,4,Asian:571|African:143|Others:143|European:143,Asian:0.354599|African:0.371647|Others:0.351174|European:0.364882,Asian:0.354653|African:0.368844|Others:0.344008|European:0.350749,0.08168890340708866,False
