feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
eb_thickness_r,17.465754158216292,0.0005667714827932153,4,Asian:571|African:143|Others:143|European:143,Asian:0.0150093|African:0.0159406|Others:0.0149644|European:0.0148496,Asian:0.0145808|African:0.0159172|Others:0.01472|European:0.0144064,0.0016475915197477192,True
eb_thickness_l,15.997512625041276,0.0011353166101549953,4,Asian:571|African:143|Others:143|European:143,Asian:0.0152565|African:0.0162372|Others:0.015411|European:0.0151158,Asian:0.0150572|African:0.0160777|Others:0.0151701|European:0.0150668,0.0028962158422321306,True
eb_thickness_mean,37.017629107318555,4.562030898428317e-08,4,Asian:571|African:143|Others:143|European:143,Asian:0.0151329|African:0.0160889|Others:0.0151877|European:0.0149827,Asian:0.0151619|African:0.0161602|Others:0.0149877|European:0.015066,2.1932840857828447e-07,True
eb_inter_distance,55.6858190772969,4.9021819333735945e-12,4,Asian:571|African:143|Others:143|European:143,Asian:0.193931|African:0.202217|Others:0.192553|European:0.195113,Asian:0.194045|African:0.201954|Others:0.191194|European:0.194636,3.8298296354481206e-11,True
eb_arch_r,11.843518536815074,0.007938882278410084,4,Asian:571|African:143|Others:143|European:143,Asian:0.131534|African:0.139298|Others:0.133664|European:0.129534,Asian:0.130813|African:0.133511|Others:0.131925|European:0.130888,0.014382033113061746,True
eb_arch_l,9.842831723827885,0.019950472327225913,4,Asian:571|African:143|Others:143|European:143,Asian:0.130032|African:0.135258|Others:0.131213|European:0.128483,Asian:0.128363|African:0.135875|Others:0.130349|European:0.128713,0.03375123194739837,True
eb_arch_mean,15.7707997565237,0.0012635112670041338,4,Asian:571|African:143|Others:143|European:143,Asian:0.130783|African:0.137278|Others:0.132439|European:0.129009,Asian:0.130996|African:0.137733|Others:0.131194|European:0.129283,0.003120604991304379,True
eb_position_asym,11.901041270881873,0.007729954510041937,4,Asian:571|African:143|Others:143|European:143,Asian:0.0481075|African:0.0484409|Others:0.0501477|European:0.0599342,Asian:0.0377029|African:0.0397116|Others:0.0399157|European:0.0515964,0.014209475202282973,True
eb_medial_flare_r,11.774060559966617,0.008198603112561481,4,Asian:571|African:143|Others:143|European:143,Asian:-0.0841153|African:-0.099973|Others:-0.0888702|European:-0.0758571,Asian:-0.0840596|African:-0.0952766|Others:-0.0931403|European:-0.0796897,0.014640362701002644,True
eb_medial_flare_l,13.60740835394765,0.0034912977719139607,4,Asian:571|African:143|Others:143|European:143,Asian:-0.087207|African:-0.0984246|Others:-0.0916322|European:-0.0758063,Asian:-0.0863165|African:-0.102123|Others:-0.0895066|European:-0.0741392,0.007273537024820751,True
