syndrome_name,group,features_tested,significant_features,high_priority_features,max_abs_hedges_g,median_abs_hedges_g,disease_n,matched_healthy_n
3MC syndrome,Asian,125,61,36,3.0253637147685457,0.5517568052487031,15,571
3MC syndrome,Others,125,0,0,3.86026167445947,0.5436324044559235,2,143
ABLEPHARON-MACROSTOMIA SYNDROME; AMS,European,125,0,0,2.4630461095464713,0.40491462217191654,2,143
ACHONDROPLASIA; ACH,African,125,0,0,3.161669079782469,0.8033657618561393,3,143
ACHONDROPLASIA; ACH,European,125,0,0,2.014947456250494,0.4625263366863741,4,143
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",African,125,0,0,2.1875279583396936,0.4237473700502472,2,143
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",European,125,21,0,1.7027498504045473,0.3622311875068918,9,143
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",European,125,0,0,2.3521185374015983,0.6573319712868364,2,143
ACROMICRIC DYSPLASIA; ACMICD,Asian,125,45,24,1.9013533334015242,0.3813296628665341,19,571
ACROMICRIC DYSPLASIA; ACMICD,Others,125,0,0,1.595005630534441,0.39717340948704877,5,143
ACTL6A,European,125,0,0,1.7303491928844748,0.5271577795433303,3,143
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",European,125,0,0,1.3960376346042125,0.24775533216478735,4,143
AL KAISSI SYNDROME; ALKAS,Asian,125,0,0,2.1821276292760428,0.5828968517407309,4,571
AL-RAQAD SYNDROME; ARS,Asian,125,0,0,1.7050890091856634,0.43090932128354537,5,571
"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR",Others,125,0,0,2.453217031213497,0.7228810413201538,2,143
ALAZAMI SYNDROME; ALAZS,African,125,0,0,1.2667931212226307,0.29662631699223596,2,143
ALAZAMI SYNDROME; ALAZS,Asian,125,0,0,1.8815648547613195,0.5049177663234967,2,571
ALAZAMI SYNDROME; ALAZS,European,125,0,0,2.279212051967366,0.7499803765027635,2,143
ALAZAMI-YUAN SYNDROME; ALYUS,Asian,125,0,0,3.004231845048579,0.426247469298806,3,571
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,European,125,0,0,1.9410762259502639,0.5598381528521144,5,143
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",Asian,125,16,0,1.7924031720609512,0.44549203213929833,7,571
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",European,125,0,0,1.6510332951975037,0.3134827974969148,5,143
ALSTROM SYNDROME; ALMS,Asian,125,68,26,1.467327403232316,0.4932094058179373,25,571
ALZAHRANI-KUWAHARA SYNDROME; ALKUS,Asian,125,0,0,2.460300154969447,0.3716756458885845,5,571
ANGELMAN SYNDROME; AS,African,125,0,0,1.2295224909730789,0.2559868584579203,7,143
ANGELMAN SYNDROME; AS,Asian,125,11,5,1.1500888045622364,0.28304877055307753,17,571
ANGELMAN SYNDROME; AS,European,125,62,8,1.012785609751354,0.2668024517169009,98,143
ANGELMAN SYNDROME; AS,Others,125,0,0,1.5368719166323277,0.3831677851251665,5,143
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1,European,125,0,0,3.5595578154296117,0.5570292702600173,2,143
APERT SYNDROME,European,125,0,0,1.8244546571422324,0.41463963214499067,3,143
ARBOLEDA-THAM SYNDROME; ARTHS,African,125,50,0,3.6191475720877384,0.8222622504756102,5,143
ARBOLEDA-THAM SYNDROME; ARTHS,European,125,35,4,1.124778461328701,0.21537918756795033,44,143
