syndrome_name,group,feature,n_disease,n_healthy_matched,evidence_level,disease_mean,healthy_mean,mean_difference,disease_median,healthy_median,median_difference,mann_whitney_u,p_value,hedges_g,abs_hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,ci_excludes_zero,effect_category,direction,within_group_fdr_q_value,within_group_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority
3MC syndrome,Asian,eb_thickness_mean,15,571,moderate,0.02022166677030677,0.015132880158890012,0.005088786611416757,0.0209845822426098,0.0151619467144803,0.005822635528129498,8424.0,1.578945161311327e-10,3.0253637147685457,3.0253637147685457,2.5609636497398474,3.507659517052138,True,large,higher_in_disease,1.9736814516391585e-08,True,1.0087167788334754e-07,True,True
3MC syndrome,Asian,eb_thickness_r,15,571,moderate,0.02066864352161994,0.015009269436622856,0.005659374084997082,0.0211600620480905,0.0145807880538866,0.0065792739942039,8034.0,6.831155836767613e-09,2.3439368754366847,2.3439368754366847,1.7437868725640104,2.963886262064809,True,large,higher_in_disease,1.4231574659932528e-07,True,2.3452031481860648e-06,True,True
3MC syndrome,Asian,eb_inter_distance,15,571,moderate,0.22120533358897068,0.19393098064644232,0.027274352942528363,0.2273542050018222,0.1940452409944149,0.03330896400740732,7697.0,1.3320345167300503e-07,2.3241111891701696,2.3241111891701696,1.6277962396471084,3.0762724376048767,True,large,higher_in_disease,1.6650431459125629e-06,True,2.71134374490981e-05,True,True
3MC syndrome,Asian,inter_pupillary_distance,15,571,moderate,0.5066940440328747,0.45115779551624374,0.055536248516630915,0.5039917840251918,0.4514462939257583,0.052545490099433545,7560.0,4.132994760360354e-07,2.3174408784020657,2.3174408784020657,1.5255323774550218,3.164649405018617,True,large,higher_in_disease,4.696584954954948e-06,True,6.772554439245958e-05,True,True
3MC syndrome,Asian,eb_lateral_thickness_mean,15,571,moderate,0.001125589851082493,0.0009358409948795388,0.00018974885620295424,0.0011091140061175,0.0009354060019627,0.00017370800415479994,8116.0,3.186155538369716e-09,2.178368186881155,2.178368186881155,1.7155738582847524,2.7224012001332905,True,large,higher_in_disease,7.96538884592429e-08,True,1.247591024060431e-06,True,True
3MC syndrome,Asian,eb_position_r,15,571,moderate,0.5059228781829298,0.35098420387110935,0.15493867431182046,0.5096594643825438,0.3478511345320235,0.16180832985052035,8260.0,8.0379026151939e-10,2.1356242435686053,2.1356242435686053,1.82356485962333,2.447172243155596,True,large,higher_in_disease,3.3818746876871686e-08,True,4.01895130759695e-07,True,True
3MC syndrome,Asian,eb_position_mean,15,571,moderate,0.5037694018353297,0.35279180970543667,0.15097759212989303,0.5020370098729082,0.3500951851453064,0.15194182472760182,8259.0,8.116499250449204e-10,2.1015496832366605,2.1015496832366605,1.8162919166783298,2.4084482350213383,True,large,higher_in_disease,3.3818746876871686e-08,True,4.0375442699938645e-07,True,True
3MC syndrome,Asian,eb_position_l,15,571,moderate,0.5016159254877293,0.354599415539764,0.14701650994796528,0.4924863726624979,0.3546534154062461,0.13783295725625178,8228.0,1.0961573444709859e-09,2.020955978544427,2.020955978544427,1.7617985480543985,2.3452427154081428,True,large,higher_in_disease,3.425491701471831e-08,True,5.213431272483957e-07,True,True
3MC syndrome,Asian,forehead_width_mid,15,571,moderate,0.9210730332414696,0.8691903359902237,0.051882697251245946,0.9238821009157512,0.869976057561198,0.05390604335455318,7427.0,1.1902574127790676e-06,2.015566424981417,2.015566424981417,1.2451002859929452,2.8291980106995447,True,large,higher_in_disease,1.1444782815183343e-05,True,0.00015371034012735926,True,True
3MC syndrome,Asian,forehead_width_upper,15,571,moderate,0.7822666460549387,0.7310278839525115,0.05123876210242717,0.7825388412935994,0.7323700238919978,0.05016881740160162,7394.0,1.537722461880007e-06,1.9983870807164779,1.9983870807164779,1.1560348064474406,2.7990416230816915,True,large,higher_in_disease,1.3114602760668267e-05,True,0.00018930295458750084,True,True
3MC syndrome,Asian,eb_arch_mean,15,571,moderate,0.1664374519899327,0.13078302364056973,0.03565442834936297,0.1657678262927501,0.1309961167650302,0.03477170952771991,7843.0,3.799152142517409e-08,1.9114982892224126,1.9114982892224126,1.3943289406510746,2.4191718932185293,True,large,higher_in_disease,5.936175222683451e-07,True,9.596303986928688e-06,True,True
