syndrome_name,feature,group_1,group_2,n_healthy_group_1,n_healthy_group_2,n_disease_group_1,n_disease_group_2,evidence_level,healthy_mean_group_1,healthy_mean_group_2,disease_mean_group_1,disease_mean_group_2,raw_disease_effect_group_1,raw_disease_effect_group_2,hedges_g_group_1,hedges_g_group_2,delta_hedges_g_group2_minus_group1,abs_delta_hedges_g,interaction_beta_group2_minus_group1,interaction_standard_error,interaction_ci_lower,interaction_ci_upper,interaction_ci_excludes_zero,interaction_p_value,same_effect_direction,direction_reversal,within_syndrome_fdr_q_value,within_syndrome_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority_interaction,high_confidence_interaction
WILLIAMS-BEUREN SYNDROME; WBS,jaw_to_forehead_ratio,Asian,European,571,143,82,77,primary,1.0873042810662439,1.1000060249357009,0.9976572734851665,1.1066427423948908,-0.08964700758107735,0.0066367174591899225,-1.4685785717389157,0.09714945239387177,1.5657280241327876,1.5657280241327876,0.09628372504026494,0.01322228230750054,0.07036852792414272,0.12219892215638717,True,3.290795202149853e-13,False,True,2.46809640161239e-10,True,1.377240700119243e-10,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,Asian,European,571,143,82,77,primary,0.015132880158890012,0.014982672375763902,0.017527324527405814,0.015003828267447769,0.002394444368515802,2.11558916838675e-05,1.3901520102387803,0.011513161300961772,-1.3786388489378185,1.3786388489378185,-0.0023732884768319813,0.00034044467807136216,-0.003040547784580184,-0.0017060291690837784,True,3.1437659024442926e-12,True,False,1.1789122134166097e-09,True,1.0806695289652257e-09,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,jaw_bigonial_width,Asian,European,571,143,82,77,primary,0.7935979777142503,0.8008186518480824,0.7618785555150857,0.8023943642360424,-0.03171942219916468,0.0015757123879599488,-1.2099651212270166,0.063743124668171,1.2737082458951876,1.2737082458951876,0.033295134587122965,0.0048179545191841845,0.02385211725036997,0.042738151923875964,True,4.824823495746198e-12,False,True,1.2062058739365494e-09,True,1.5712418621015579e-09,True,True,True
Cornelia de Lange syndrome,eb_position_mean,African,European,143,143,22,177,primary,0.3698424913343086,0.3639088267854248,0.5003725981782785,0.36203979214777954,0.13053010684396993,-0.0018690346376452616,1.7443760882024835,-0.023377716881746856,-1.7677538050842303,1.7677538050842303,-0.13239914148161225,0.019430947606633605,-0.17048309897609887,-0.09431518398712563,True,9.503509735672238e-12,False,True,5.677021276515562e-09,True,2.9038501970109615e-09,True,True,True
Cornelia de Lange syndrome,eb_position_l,African,European,143,143,22,177,primary,0.37164749987602547,0.3648818860374633,0.49752946465130815,0.3633888587459425,0.12588196477528268,-0.0014930272915207876,1.6456971793927795,-0.018542346824905166,-1.6642395262176846,1.6642395262176846,-0.12737499206680084,0.01902693111664021,-0.1646670917917401,-0.09008289234186155,True,2.1647238047268198e-11,False,True,5.677021276515562e-09,True,5.986247392959642e-09,True,True,True
Cornelia de Lange syndrome,eb_position_r,African,European,143,143,22,177,primary,0.3680374827925917,0.3629357675333865,0.5032157317052488,0.36069072554961673,0.13517824891265712,-0.002245041983769791,1.799080446315906,-0.027626733037380304,-1.8267071793532863,1.8267071793532863,-0.1374232908964242,0.020549407189961743,-0.17769938889239764,-0.09714719290045074,True,2.2708085106062246e-11,False,True,5.677021276515562e-09,True,6.203076372721542e-09,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,forehead_width_mid,Asian,European,571,143,82,77,primary,0.8691903359902237,0.8681415358193747,0.9049665151654499,0.8665385705431335,0.03577617917522624,-0.0016029652762411528,1.37741574057083,-0.05625073092273181,-1.4336664714935619,1.4336664714935619,-0.03737914445146984,0.005623826967072938,-0.04840164276221792,-0.02635664614072175,True,3.0000729739585385e-11,False,True,5.62513682617226e-09,True,7.941369636949073e-09,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,Asian,European,571,143,82,77,primary,0.6438965685059362,0.6418143240654428,0.6836182553974962,0.6420661255728686,0.03972168689155997,0.000251801507425764,1.2860316698632435,0.008771988672968327,-1.2772596811902752,1.2772596811902752,-0.03946988538413582,0.00604776036994651,-0.05132327789635961,-0.02761649287191202,True,6.738545796370232e-11,True,False,1.0107818694555347e-08,True,1.6761709392981232e-08,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,forehead_width_upper,Asian,European,571,143,82,77,primary,0.7310278839525115,0.7291996362530552,0.7654973640840753,0.7273286977464236,0.03446948013156381,-0.0018709385066315587,1.3258418525742421,-0.06549522840000122,-1.3913370809742434,1.3913370809742434,-0.036340418638196925,0.005675783750634636,-0.04746475037347848,-0.025216086902915373,True,1.5263921446865306e-10,False,True,1.9079901808581633e-08,True,3.4979819982399656e-08,True,True,True
SAETHRE-CHOTZEN SYNDROME; SCS,nose_tip_midline_dent,Asian,European,571,143,15,15,moderate,0.040765199047477524,0.04047432533258831,0.04398195715610056,0.03763582405140494,0.0032167581086230343,-0.0028385012811833685,1.019757581025049,-0.9017310184407039,-1.921488599465753,1.921488599465753,-0.006055259389806306,0.0010286330373986325,-0.008071343096415669,-0.004039175683196943,True,3.939706688942478e-09,False,True,7.386950041767146e-07,True,6.771370871619884e-07,True,True,True
