syndrome_name,comparisons_tested,significant_interactions,global_significant_interactions,high_priority_interactions,high_confidence_interactions,direction_reversals,max_abs_delta_g,median_abs_delta_g
Rubinstein-Taybi syndrome,750,76,67,62,57,267,1.5989211809159958,0.3421394204261826
Cornelia de Lange syndrome,750,82,63,44,41,190,1.8267071793532863,0.28476564535615223
WILLIAMS-BEUREN SYNDROME; WBS,750,125,97,39,39,156,1.5657280241327876,0.23752616603002516
COFFIN-LOWRY SYNDROME; CLS,375,91,68,36,29,144,2.659523741774745,0.5984854585757093
Noonan syndrome,750,34,34,27,27,82,1.6569324943592163,0.23936013592135713
SOTOS SYNDROME; SOTOS,750,35,37,21,21,161,1.9409393488129552,0.3758941369965357
SMITH-MAGENIS SYNDROME; SMS,375,26,26,21,21,146,1.9010688044172337,0.35466874529593384
FLOATING-HARBOR SYNDROME; FLHS,375,53,39,21,19,100,1.9607873471831159,0.44277157477335766
CROUZON SYNDROME,375,27,23,19,18,82,2.2452226479191553,0.3571590072944554
SAETHRE-CHOTZEN SYNDROME; SCS,375,19,19,15,15,120,3.093263674348764,0.35958350592301064
CHARGE SYNDROME,750,48,46,11,11,349,2.920919074104531,0.491333570222945
OGDEN SYNDROME; OGDNS,375,19,19,11,11,190,1.9645647595712636,0.322170369500507
Hyperphosphatasia with mental retardation syndrome,375,10,12,8,10,82,1.4371330274239278,0.2546101998902517
MYHRE SYNDROME; MYHRS,125,15,10,12,9,59,1.5518042894055548,0.4425910982544724
Coffin-Siris syndrome,750,44,42,9,9,234,4.079558739371243,0.47078191472515496
Mucopolysaccharidoses,750,29,32,9,9,245,1.855433117690477,0.3942845982609181
ANGELMAN SYNDROME; AS,750,12,16,8,9,289,1.8246675331844249,0.30621712173940735
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",375,5,14,3,8,106,1.8817080374228439,0.3563431796145038
Trichorhinophalangeal syndrome,125,10,9,8,7,48,1.48158921838473,0.38866210561954706
