internal_syndrome_name,group,disease_images
3-Methylglutaconic aciduria,Others,1
3MC syndrome,Asian,15
3MC syndrome,European,1
3MC syndrome,Others,2
ABLEPHARON-MACROSTOMIA SYNDROME; AMS,European,2
ACHONDROPLASIA; ACH,African,3
ACHONDROPLASIA; ACH,European,4
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",African,2
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",European,9
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",European,2
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",Others,1
ACROMICRIC DYSPLASIA; ACMICD,Asian,19
ACROMICRIC DYSPLASIA; ACMICD,European,1
ACROMICRIC DYSPLASIA; ACMICD,Others,5
ACTL6A,European,3
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",African,1
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",European,4
AL KAISSI SYNDROME; ALKAS,African,1
AL KAISSI SYNDROME; ALKAS,Asian,4
AL KAISSI SYNDROME; ALKAS,Others,1
AL-RAQAD SYNDROME; ARS,Asian,5
"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR",Others,2
ALAZAMI SYNDROME; ALAZS,African,2
ALAZAMI SYNDROME; ALAZS,Asian,2
ALAZAMI SYNDROME; ALAZS,European,2
ALAZAMI-YUAN SYNDROME; ALYUS,Asian,3
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,European,5
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",Asian,7
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",European,5
ALSTROM SYNDROME; ALMS,Asian,25
ALZAHRANI-KUWAHARA SYNDROME; ALKUS,Asian,5
ANGELMAN SYNDROME; AS,African,7
ANGELMAN SYNDROME; AS,Asian,17
ANGELMAN SYNDROME; AS,European,98
ANGELMAN SYNDROME; AS,Others,5
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1,European,2
APERT SYNDROME,African,1
APERT SYNDROME,Asian,1
APERT SYNDROME,European,3
ARBOLEDA-THAM SYNDROME; ARTHS,African,5
ARBOLEDA-THAM SYNDROME; ARTHS,European,44
ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD,Asian,1
ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD,Others,1
ATAXIA-TELANGIECTASIA; AT,Asian,3
ATAXIA-TELANGIECTASIA; AT,European,1
ATP9A,Asian,1
AU-KLINE SYNDROME; AUKS,Asian,2
AU-KLINE SYNDROME; AUKS,European,25
AYME-GRIPP SYNDROME; AYGRP,Asian,1
AYME-GRIPP SYNDROME; AYGRP,European,19
Acrodysostosis,European,2
Acromesomelic dysplasia,African,2
Alagille syndrome,Asian,37
Alagille syndrome,European,9
Alagille syndrome,Others,1
Arthrogryposis multiplex congenita,European,1
"Arthrogryposis, distal",African,5
"Arthrogryposis, distal",Asian,19
"Arthrogryposis, distal",European,31
"Arthrogryposis, renal dysfunction, and cholestasis",European,1
Auriculocondylar syndrome,African,2
"Autism, susceptiblity to",Asian,5
"Autism, susceptiblity to",European,25
BAINBRIDGE-ROPERS SYNDROME; BRPS,African,1
BAINBRIDGE-ROPERS SYNDROME; BRPS,Asian,6
BAINBRIDGE-ROPERS SYNDROME; BRPS,European,12
BAINBRIDGE-ROPERS SYNDROME; BRPS,Others,2
BAKER-GORDON SYNDROME; BAGOS,European,2
BARBER-SAY SYNDROME; BBRSAY,European,4
BARTSOCAS-PAPAS SYNDROME 1; BPS1,European,1
BASAL CELL NEVUS SYNDROME; BCNS,African,1
BASAL CELL NEVUS SYNDROME; BCNS,Asian,1
BASILICATA-AKHTAR SYNDROME; MRXSBA,Asian,1
BASILICATA-AKHTAR SYNDROME; MRXSBA,European,21
BASILICATA-AKHTAR SYNDROME; MRXSBA,Others,7
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,Asian,5
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,European,4
BECK-FAHRNER SYNDROME; BEFAHRS,African,1
BECK-FAHRNER SYNDROME; BEFAHRS,Asian,2
BECK-FAHRNER SYNDROME; BEFAHRS,European,4
BECK-FAHRNER SYNDROME; BEFAHRS,Others,2
BECKWITH-WIEDEMANN SYNDROME; BWS,African,2
BECKWITH-WIEDEMANN SYNDROME; BWS,Asian,9
BECKWITH-WIEDEMANN SYNDROME; BWS,European,8
BECKWITH-WIEDEMANN SYNDROME; BWS,Others,1
BIRK-BAREL SYNDROME; BIBARS,Asian,2
BIRK-BAREL SYNDROME; BIBARS,European,2
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",African,2
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",Asian,3
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",European,10
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",Others,11
BOHRING-OPITZ SYNDROME; BOPS,African,2
BOHRING-OPITZ SYNDROME; BOPS,European,9
BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS,European,21
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,Asian,2
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,European,5
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,African,3
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,Asian,4
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,European,3
BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD,Asian,1
BRAIN MALFORMATIONS WITH OR WITHOUT URINARY TRACT DEFECTS; BRMUTD,Others,3
BRANCHIOOCULOFACIAL SYNDROME; BOFS,Asian,3
BRANCHIOOCULOFACIAL SYNDROME; BOFS,European,7
BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG,European,2
BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG,Others,3
BURN-MCKEOWN SYNDROME; BMKS,Asian,4
BURN-MCKEOWN SYNDROME; BMKS,European,8
Baraitser-Winter syndrome,European,47
Baraitser-Winter syndrome,Others,5
Bardet-Biedl syndrome,African,3
Bardet-Biedl syndrome,Asian,2
Bardet-Biedl syndrome,European,21
Bardet-Biedl syndrome,Others,8
Blepharocheilodontic syndrome,African,2
Blepharocheilodontic syndrome,Asian,3
Blepharocheilodontic syndrome,European,2
CANTU SYNDROME,African,3
CANTU SYNDROME,Asian,2
CANTU SYNDROME,European,9
"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD",European,3
CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF,European,3
CAREY-FINEMAN-ZITER SYNDROME; CFZS,European,7
CAREY-FINEMAN-ZITER SYNDROME; CFZS,Others,2
CATEL-MANZKE SYNDROME; CATMANS,Asian,1
CATEL-MANZKE SYNDROME; CATMANS,European,2
CDH8,European,3
CEBALID SYNDROME; CEBALID,Asian,7
CEBALID SYNDROME; CEBALID,European,18
CEBALID SYNDROME; CEBALID,Others,1
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR",Asian,4
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR",European,1
CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES; CECBA,European,1
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",African,2
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",Asian,11
CEREBELLOFACIODENTAL SYNDROME; CFDS,European,7
CEREBROCOSTOMANDIBULAR SYNDROME; CCMS,European,8
CHANARIN-DORFMAN SYNDROME; CDS,Asian,1
CHANARIN-DORFMAN SYNDROME; CDS,European,2
