feature,kruskal_H,p_value,number_of_groups,group_sample_sizes,group_means,group_medians,fdr_q_value,significant_fdr
eb_thickness_r,20.197683363031565,0.00255367388640743,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0159406|East Asian:0.0153051|South Asian:0.0150181|Latino/Hispanic:0.0149644|SE Asian:0.0148762|European:0.0148496|Middle Eastern:0.0148365,African:0.0159172|East Asian:0.0147624|South Asian:0.0149301|Latino/Hispanic:0.01472|SE Asian:0.0147587|European:0.0144064|Middle Eastern:0.0144294,0.00404062323798644,True
eb_thickness_l,16.70367674208852,0.010436246001569624,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0162372|East Asian:0.0153774|South Asian:0.0151789|Latino/Hispanic:0.015411|SE Asian:0.0153102|European:0.0151158|Middle Eastern:0.0151588,African:0.0160777|East Asian:0.0152567|South Asian:0.0148142|Latino/Hispanic:0.0151701|SE Asian:0.0150107|European:0.0150668|Middle Eastern:0.0151352,0.014994606324094288,True
eb_thickness_mean,39.894338556052276,4.778194062906068e-07,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.0160889|East Asian:0.0153412|South Asian:0.0150985|Latino/Hispanic:0.0151877|SE Asian:0.0150932|European:0.0149827|Middle Eastern:0.0149976,African:0.0161602|East Asian:0.0153345|South Asian:0.0153101|Latino/Hispanic:0.0149877|SE Asian:0.0150799|European:0.015066|Middle Eastern:0.0149784,1.270796293326082e-06,True
eb_inter_distance,71.98744005971717,1.598340300235471e-13,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.202217|East Asian:0.192148|South Asian:0.195577|Latino/Hispanic:0.192553|SE Asian:0.191875|European:0.195113|Middle Eastern:0.196139,African:0.201954|East Asian:0.192543|South Asian:0.19579|Latino/Hispanic:0.191194|SE Asian:0.192547|European:0.194636|Middle Eastern:0.195462,6.65975125098113e-13,True
eb_arch_r,28.664245154725315,7.04135729434606e-05,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.139298|East Asian:0.136466|South Asian:0.126732|Latino/Hispanic:0.133664|SE Asian:0.133694|European:0.129534|Middle Eastern:0.129226,African:0.133511|East Asian:0.13477|South Asian:0.126413|Latino/Hispanic:0.131925|SE Asian:0.133397|European:0.130888|Middle Eastern:0.129391,0.0001313686062377996,True
eb_arch_l,36.75711916535085,1.963635743744267e-06,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.135258|East Asian:0.136262|South Asian:0.125643|Latino/Hispanic:0.131213|SE Asian:0.132976|European:0.128483|Middle Eastern:0.125216,African:0.135875|East Asian:0.13447|South Asian:0.125283|Latino/Hispanic:0.130349|SE Asian:0.131822|European:0.128713|Middle Eastern:0.123359,5.009274856490477e-06,True
eb_arch_mean,44.11329031344957,7.019386098654529e-08,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.137278|East Asian:0.136364|South Asian:0.126187|Latino/Hispanic:0.132439|SE Asian:0.133335|European:0.129009|Middle Eastern:0.127221,African:0.137733|East Asian:0.135529|South Asian:0.127133|Latino/Hispanic:0.131194|SE Asian:0.133886|European:0.129283|Middle Eastern:0.12571,2.040519214725154e-07,True
eb_position_r,77.8425999622096,9.961986846311671e-15,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.368037|East Asian:0.385137|South Asian:0.322963|Latino/Hispanic:0.34665|SE Asian:0.365664|European:0.362936|Middle Eastern:0.330027,African:0.365914|East Asian:0.376938|South Asian:0.309178|Latino/Hispanic:0.34304|SE Asian:0.362367|European:0.346091|Middle Eastern:0.330358,4.612030947366514e-14,True
eb_position_l,82.12231887152622,1.3011966449427002e-15,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.371647|East Asian:0.389459|South Asian:0.323263|Latino/Hispanic:0.351174|SE Asian:0.371364|European:0.364882|Middle Eastern:0.334169,African:0.368844|East Asian:0.378389|South Asian:0.311214|Latino/Hispanic:0.344008|SE Asian:0.3694|European:0.350749|Middle Eastern:0.336453,7.393162755356251e-15,True
eb_position_mean,81.96176954560283,1.4045830130564312e-15,7,African:143|East Asian:143|South Asian:143|Latino/Hispanic:143|SE Asian:143|European:143|Middle Eastern:142,African:0.369842|East Asian:0.387298|South Asian:0.323113|Latino/Hispanic:0.348912|SE Asian:0.368514|European:0.363909|Middle Eastern:0.332098,African:0.367274|East Asian:0.374223|South Asian:0.308092|Latino/Hispanic:0.343208|SE Asian:0.366909|European:0.351279|Middle Eastern:0.332079,7.63360333182843e-15,True
