syndrome_name,group,feature,n_disease,n_healthy_matched,evidence_level,disease_mean,healthy_mean,mean_difference,disease_median,healthy_median,median_difference,mann_whitney_u,p_value,hedges_g,abs_hedges_g,hedges_g_ci_lower,hedges_g_ci_upper,ci_excludes_zero,effect_category,direction,within_group_fdr_q_value,within_group_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority
ACROMICRIC DYSPLASIA; ACMICD,East Asian,eb_lateral_thickness_mean,17,143,moderate,0.0011081541813836,0.0009791834278169295,0.0001289707535666706,0.0011169663165461,0.0009767036064144,0.0001402627101316999,2148.0,2.4613034686456455e-07,1.4392427842488382,1.4392427842488382,1.0115777081580473,1.9408103723163435,True,large,higher_in_disease,3.0766293358070566e-05,True,5.718997593115032e-05,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,chin_width,17,143,moderate,0.2949341620127547,0.321308139685079,-0.0263739776723243,0.2866812991072578,0.3186704729871586,-0.0319891738799008,417.0,9.932191461723416e-06,-1.2074953006505489,1.2074953006505489,-1.6811759660729622,-0.7664766037907137,True,large,lower_in_disease,0.0006207619663577135,True,0.0009598647718605837,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,vermilion_total,17,143,moderate,0.411514269732519,0.31726223107822293,0.09425203865429604,0.4369981556736159,0.3089598729610336,0.12803828271258227,1865.0,0.00032612876883183854,1.1279659777755653,1.1279659777755653,0.5048607620492138,1.7709470641052487,True,large,higher_in_disease,0.0031358535464599863,True,0.011876736660214594,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,cheek_area_asym,17,143,moderate,0.43773547941896,1.0416462147714969,-0.6039107353525368,0.2783641827433205,1.0990279602766182,-0.8206637775332977,471.0,3.794674758887296e-05,-1.126178881456929,1.126178881456929,-1.5715980821229343,-0.7273999815837404,True,large,lower_in_disease,0.0011311589698643789,True,0.0026028092228596654,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,lower_vermilion_height,17,143,moderate,0.25089029483858794,0.19583262639684157,0.055057668441746366,0.2765644977206088,0.1945888691596813,0.08197562856092752,1907.0,0.000130152680692772,1.122524184183927,1.122524184183927,0.5976979002675247,1.7096691326498203,True,large,higher_in_disease,0.0014790077351451365,True,0.006211832487609573,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,lower_lip_eversion,17,143,moderate,0.16333602289214766,0.12613211115651515,0.037203911735632506,0.1794521145121296,0.1233111357940194,0.05614097871811022,1923.0,9.049271758915032e-05,1.122264652024935,1.122264652024935,0.6233329114901285,1.6693625973814146,True,large,higher_in_disease,0.0011311589698643789,True,0.004754877124458904,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,cupid_bow_drop,17,143,moderate,0.027645879983280688,0.022360200561125483,0.005285679422155205,0.028323313033972,0.0223942009606366,0.0059291120733354005,1944.0,5.552964473960916e-05,1.1004179982238385,1.1004179982238385,0.6587014030673939,1.5441744182511437,True,large,higher_in_disease,0.0011311589698643789,True,0.003389891103290094,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,face_triangularity,17,143,moderate,0.5991501280023752,0.5569363815840951,0.04221374641828013,0.6046747147260791,0.5595226188980387,0.04515209582804047,1934.0,7.018064487901435e-05,1.07414013572805,1.07414013572805,0.5381971725597919,1.5582854448049253,True,large,higher_in_disease,0.0011311589698643789,True,0.0040063445659439725,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,upper_lip_eversion,17,143,moderate,0.11066359359154447,0.0862270777656064,0.024436515825938074,0.1094790245079048,0.0836070856656023,0.025871938842302503,1814.0,0.0009289190181540341,1.013706107584259,1.013706107584259,0.43084287808276855,1.5735646355984678,True,large,higher_in_disease,0.006830286898191427,True,0.024318899639866658,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,upper_vermilion_height,17,143,moderate,0.160623974893931,0.12142960468138142,0.03919437021254957,0.1665870662310142,0.1180258970997059,0.04856116913130831,1801.0,0.0011985212978019733,1.0128499600406162,1.0128499600406162,0.4409330258879453,1.6023577978778876,True,large,higher_in_disease,0.00832306456806926,True,0.028784960694613417,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,eb_thickness_mean,17,143,moderate,0.016943543712803544,0.015341243503081518,0.0016023002097220254,0.0170063095441754,0.015334509399301,0.0016718001448744,1943.0,5.685272365982072e-05,0.9947738542989105,0.9947738542989105,0.6786707767896664,1.3490225683628785,True,large,higher_in_disease,0.0011311589698643789,True,0.003455457312553246,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,lip_outer_to_inner_area,17,143,moderate,16.289670427490368,7.652619490109275,8.637050937381094,8.571724608745976,4.194796603693738,4.376928005052238,1772.0,0.002079376870389188,0.952318639981045,0.952318639981045,0.19838898478693878,1.8336852557780066,True,large,higher_in_disease,0.011300961252115153,True,0.04147692200310497,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,eb_lateral_thickness_asym,17,143,moderate,0.15029345262480942,0.4015913452222843,-0.25129789259747487,0.0679589972539852,0.3453898423205528,-0.2774308450665676,499.0,7.351966948165922e-05,-0.907889281224759,0.907889281224759,-1.2943261712322836,-0.456512278152052,True,large,lower_in_disease,0.0011311589698643789,True,0.00414428200720032,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,nasolabial_angle,17,143,moderate,176.1585472109276,169.07128424265065,7.087262968276946,177.12230214377385,170.6409507225857,6.481351421188151,1923.0,9.049271758915032e-05,0.8937147855427627,0.8937147855427627,0.5886678108823087,1.1580539229921332,True,large,higher_in_disease,0.0011311589698643789,True,0.004754877124458904,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,eb_thickness_asym,17,143,moderate,0.0835539610856858,0.19444053039998702,-0.11088656931430121,0.0495423709752468,0.1732160822320672,-0.12367371125682039,545.0,0.0002073498093568074,-0.8855518606827569,0.8855518606827569,-1.2790171221906024,-0.46729847702123045,True,large,lower_in_disease,0.0021598938474667435,True,0.008661871068292437,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,gaze_asym_x,17,143,moderate,0.07945287976657336,0.0299731742490501,0.04947970551752326,0.0700318670329872,0.0292208988231,0.040810968209887194,1749.0,0.003164393266345233,0.8836938927580616,0.8836938927580616,0.3645836666276918,1.5150823098008377,True,large,higher_in_disease,0.014126755653326932,True,0.054428420264763855,False,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,jaw_bigonial_width,17,143,moderate,0.7619110728351558,0.7888062390929335,-0.02689516625777766,0.7648426136576415,0.7920255330163299,-0.02718291935868844,675.0,0.0027892254899547354,-0.8675722717158023,0.8675722717158023,-1.5091096225917076,-0.2800338066832813,True,large,lower_in_disease,0.013409737932474691,True,0.05040962266409607,False,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,malar_bulge_asym,17,143,moderate,0.5918170356018868,1.5790758869851087,-0.9872588513832219,0.2947401854803437,1.296596022657359,-1.0018558371770152,494.0,6.543994155733462e-05,-0.8269155901404919,0.8269155901404919,-1.169119965643701,-0.3850721660857247,True,large,lower_in_disease,0.0011311589698643789,True,0.003807116869741231,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,eye_fissure_length_asym,17,143,moderate,0.032369075742210755,0.07662370209023775,-0.044254626348026994,0.0260992104976924,0.0670519718035732,-0.0409527613058808,617.0,0.0009289190181540341,-0.8147391461862281,0.8147391461862281,-1.1201941552067207,-0.4956896700641914,True,large,lower_in_disease,0.006830286898191427,True,0.024318899639866658,True,True
ACROMICRIC DYSPLASIA; ACMICD,East Asian,face_asymmetry,17,143,moderate,0.018897740167493182,0.03612132748929822,-0.01722358732180504,0.019062619078955,0.0324301466406431,-0.0133675275616881,598.0,0.0006345017849417806,-0.8012537769198844,0.8012537769198844,-1.1402821965959271,-0.47712078990664625,True,large,lower_in_disease,0.005287514874514838,True,0.018646289217086366,True,True
ALSTROM SYNDROME; ALMS,East Asian,cupid_bow_drop,25,143,primary,0.0289799324704922,0.022360200561125483,0.006619731909366718,0.0280207377159843,0.0223942009606366,0.005626536755347699,2927.0,3.8517468762394385e-07,1.3299858752224134,1.3299858752224134,0.9254412742489486,1.8191968551041056,True,large,higher_in_disease,4.814683595299298e-05,True,8.258298352202107e-05,True,True
ALSTROM SYNDROME; ALMS,East Asian,eb_thickness_mean,25,143,primary,0.017141422883096506,0.015341243503081518,0.0018001793800149872,0.0169833109073236,0.015334509399301,0.0016488015080225998,2784.0,9.044536545123244e-06,1.0790128976133013,1.0790128976133013,0.6435450988950038,1.556194427936651,True,large,higher_in_disease,0.00037685568938013517,True,0.0008909235415264656,True,True
ALSTROM SYNDROME; ALMS,East Asian,face_triangularity,25,143,primary,0.5976195966970497,0.5569363815840951,0.040683215112954585,0.59914930825278,0.5595226188980387,0.03962668935474134,2808.0,5.472720413141434e-06,1.0476233738663654,1.0476233738663654,0.668351044850587,1.4579883577791604,True,large,higher_in_disease,0.0003420450258213396,True,0.0006095618923467452,True,True
ALSTROM SYNDROME; ALMS,East Asian,lower_lip_eversion,25,143,primary,0.15745802583866209,0.12613211115651515,0.03132591468214693,0.1573401983019382,0.1233111357940194,0.03402906250791882,2712.0,3.822422863670204e-05,0.9706029268027885,0.9706029268027885,0.5809175679873948,1.3764879383412754,True,large,higher_in_disease,0.0007963380965979591,True,0.002618144010112613,True,True
ALSTROM SYNDROME; ALMS,East Asian,chin_width,25,143,primary,0.30050625387595664,0.321308139685079,-0.020801885809122345,0.2989869580581368,0.3186704729871586,-0.019683514929021817,828.0,1.9204654637174443e-05,-0.954976851775293,0.954976851775293,-1.3758567780461834,-0.5965776472075935,True,large,lower_in_disease,0.0006001454574117014,True,0.0016079792613666638,True,True
ALSTROM SYNDROME; ALMS,East Asian,eb_lateral_thickness_mean,25,143,primary,0.00106338077673914,0.0009791834278169295,8.419734892221062e-05,0.0010466393912829,0.0009767036064144,6.993578486849997e-05,2722.0,3.147464353850554e-05,0.9308827133211578,0.9308827133211578,0.5470804491315895,1.3873417033848165,True,large,higher_in_disease,0.0007868660884626386,True,0.002291585272621702,True,True
ALSTROM SYNDROME; ALMS,East Asian,jaw_to_forehead_ratio,25,143,primary,1.0250217112802957,1.0872704554673154,-0.062248744187019645,1.0163651548695336,1.0924904087882177,-0.07612525391868408,947.0,0.00018140285978923774,-0.9278972425918572,0.9278972425918572,-1.4171729747196393,-0.483479912044086,True,large,lower_in_disease,0.0025194841637394133,True,0.007844502563236738,True,True
ALSTROM SYNDROME; ALMS,East Asian,lower_vermilion_height,25,143,primary,0.23892536229958874,0.19583262639684157,0.043092735902747176,0.2391350908970995,0.1945888691596813,0.04454622173741821,2679.0,7.160485793542529e-05,0.9014151414636803,0.9014151414636803,0.5535574131456834,1.3096148112540966,True,large,higher_in_disease,0.001228244201079533,True,0.004052809922481458,True,True
ALSTROM SYNDROME; ALMS,East Asian,forehead_width_mid,25,143,primary,0.8881292374516453,0.8659956822081283,0.02213355524351701,0.8902514669954369,0.8662447390824891,0.02400672791294778,2599.0,0.0003010951109278843,0.8978127094237204,0.8978127094237204,0.4119811719164725,1.4343201603217302,True,large,higher_in_disease,0.0029963585438717616,True,0.011217438683878313,True,True
ALSTROM SYNDROME; ALMS,East Asian,forehead_width_upper,25,143,primary,0.7485912386936683,0.7266776234375778,0.02191361525609048,0.7571147414185001,0.7258021682896083,0.031312573128891796,2566.0,0.0005257421354793435,0.8935603653516594,0.8935603653516594,0.3725683530933301,1.4697537387290787,True,large,higher_in_disease,0.004694126209636995,True,0.01639778577663174,True,True
ALSTROM SYNDROME; ALMS,East Asian,nose_tip_midline_dent,25,143,primary,0.0429684899565721,0.04024878160552363,0.0027197083510484693,0.0432627180779262,0.0402844448429583,0.002978273234967896,2492.0,0.0017039948736333895,0.8664511985097432,0.8664511985097432,0.35098827315317516,1.457882951328171,True,large,higher_in_disease,0.008317700507548396,True,0.036186142114753676,True,True
ALSTROM SYNDROME; ALMS,East Asian,gaze_asym_norm,25,143,primary,0.08743373694968713,0.04998672284683267,0.03744701410285446,0.0600022929825667,0.0424552920152869,0.017547000967279798,2520.0,0.0011052015665029725,0.864092696921494,0.864092696921494,0.3300028997647132,1.4575561884757156,True,large,higher_in_disease,0.006578580752993883,True,0.027200092958555334,True,True
ALSTROM SYNDROME; ALMS,East Asian,nose_ala_height_r,25,143,primary,0.06981128599652929,0.06495768591526951,0.004853600081259776,0.0691194217657321,0.0653501745426504,0.0037692472230817092,2547.0,0.0007180068087354873,0.8637259259803677,0.8637259259803677,0.41761829525238553,1.360847743658538,True,large,higher_in_disease,0.005888745069286983,True,0.02041464030984608,True,True
