syndrome_name,group,features_tested,significant_features,high_priority_features,max_abs_hedges_g,median_abs_hedges_g,disease_n,matched_healthy_n
3MC syndrome,Latino/Hispanic,125,0,0,3.86026167445947,0.5436324044559235,2,143
3MC syndrome,Middle Eastern,125,37,0,3.081711435243639,0.5164494114613355,9,142
3MC syndrome,South Asian,125,32,0,3.0283209274541747,0.5378518647211674,6,143
ABLEPHARON-MACROSTOMIA SYNDROME; AMS,European,125,0,0,2.4630461095464713,0.40491462217191654,2,143
ACHONDROPLASIA; ACH,African,125,0,0,3.161669079782469,0.8033657618561393,3,143
ACHONDROPLASIA; ACH,European,125,0,0,2.014947456250494,0.4625263366863741,4,143
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",African,125,0,0,2.1875279583396936,0.4237473700502472,2,143
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",European,125,21,0,1.7027498504045473,0.3622311875068918,9,143
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",European,125,0,0,2.3521185374015983,0.6573319712868364,2,143
ACROMICRIC DYSPLASIA; ACMICD,East Asian,125,34,20,1.4392427842488382,0.35807382334397103,17,143
ACROMICRIC DYSPLASIA; ACMICD,Latino/Hispanic,125,0,0,1.595005630534441,0.39717340948704877,5,143
ACTL6A,European,125,0,0,1.7303491928844748,0.5271577795433303,3,143
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",European,125,0,0,1.3960376346042125,0.24775533216478735,4,143
AL KAISSI SYNDROME; ALKAS,Middle Eastern,125,6,0,2.5426868513645213,0.5825588313570862,4,142
AL-RAQAD SYNDROME; ARS,Middle Eastern,125,0,0,2.0402480664277873,0.4704294006069769,3,142
AL-RAQAD SYNDROME; ARS,South Asian,125,0,0,2.1558101034373176,0.5745813430485228,2,143
"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR",Latino/Hispanic,125,0,0,2.453217031213497,0.7228810413201538,2,143
ALAZAMI SYNDROME; ALAZS,African,125,0,0,1.2667931212226307,0.29662631699223596,2,143
ALAZAMI SYNDROME; ALAZS,European,125,0,0,2.279212051967366,0.7499803765027635,2,143
ALAZAMI SYNDROME; ALAZS,Middle Eastern,125,0,0,1.6851602230669114,0.6212639385721859,2,142
ALAZAMI-YUAN SYNDROME; ALYUS,Middle Eastern,125,0,0,2.8586087624660546,0.5026078618785657,3,142
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,European,125,0,0,1.9410762259502639,0.5598381528521144,5,143
