syndrome_name,feature,group_1,group_2,n_healthy_group_1,n_healthy_group_2,n_disease_group_1,n_disease_group_2,evidence_level,healthy_mean_group_1,healthy_mean_group_2,disease_mean_group_1,disease_mean_group_2,raw_disease_effect_group_1,raw_disease_effect_group_2,hedges_g_group_1,hedges_g_group_2,delta_hedges_g_group2_minus_group1,abs_delta_hedges_g,interaction_beta_group2_minus_group1,interaction_standard_error,interaction_ci_lower,interaction_ci_upper,interaction_ci_excludes_zero,interaction_p_value,same_effect_direction,direction_reversal,within_syndrome_fdr_q_value,within_syndrome_significant_fdr,global_fdr_q_value,global_significant_fdr,high_priority_interaction,high_confidence_interaction
SOTOS SYNDROME; SOTOS,eye_area_l,South Asian,European,143,143,10,64,moderate,0.010439172715838609,0.008027527712797806,0.016709141704234893,0.0103917359699026,0.006269968988396284,0.0023642082571047936,2.099282793642897,0.7575722292832389,-1.341710564359658,1.341710564359658,-0.0039057607312914574,0.0005541649710768543,-0.004991904116095773,-0.002819617346487142,True,1.8149348547396292e-12,True,False,3.9701699947429386e-10,True,7.019527452890036e-10,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,South Asian,European,143,143,49,77,primary,0.015098469052907851,0.014982672375763902,0.017976178085339575,0.015003828267447769,0.002877709032431723,2.11558916838675e-05,1.5948357173711085,0.011513161300961772,-1.5833225560701467,1.5833225560701467,-0.0028565531407478903,0.0004157888293543565,-0.0036714842714564997,-0.002041622010039281,True,6.411117149277981e-12,True,False,1.68291825168547e-08,True,2.2541762169252794e-09,True,True,True
Cornelia de Lange syndrome,eb_position_mean,African,European,143,143,22,177,primary,0.3698424913343086,0.3639088267854248,0.5003725981782785,0.36203979214777954,0.13053010684396993,-0.0018690346376452616,1.7443760882024835,-0.023377716881746856,-1.7677538050842303,1.7677538050842303,-0.13239914148161225,0.019430947606633605,-0.17048309897609887,-0.09431518398712563,True,9.503509735672238e-12,False,True,6.236678264034906e-09,True,3.171856675738323e-09,True,True,True
Cornelia de Lange syndrome,eb_position_l,African,European,143,143,22,177,primary,0.37164749987602547,0.3648818860374633,0.49752946465130815,0.3633888587459425,0.12588196477528268,-0.0014930272915207876,1.6456971793927795,-0.018542346824905166,-1.6642395262176846,1.6642395262176846,-0.12737499206680084,0.01902693111664021,-0.1646670917917401,-0.09008289234186155,True,2.1647238047268198e-11,False,True,9.934787233902232e-09,True,6.559013371464904e-09,True,True,True
Cornelia de Lange syndrome,eb_position_r,African,European,143,143,22,177,primary,0.3680374827925917,0.3629357675333865,0.5032157317052488,0.36069072554961673,0.13517824891265712,-0.002245041983769791,1.799080446315906,-0.027626733037380304,-1.8267071793532863,1.8267071793532863,-0.1374232908964242,0.020549407189961743,-0.17769938889239764,-0.09714719290045074,True,2.2708085106062246e-11,False,True,9.934787233902232e-09,True,6.817610026135127e-09,True,True,True
SOTOS SYNDROME; SOTOS,eye_area_mean,South Asian,European,143,143,10,64,moderate,0.010471270014262601,0.007984457193763596,0.016774149914885385,0.010389296543868883,0.006302879900622784,0.0024048393501052874,2.150660871947398,0.7848307592411939,-1.3658301127062042,1.3658301127062042,-0.003898040550517467,0.0006233363441944754,-0.005119757335393501,-0.0026763237656414326,True,4.013268382540692e-10,True,False,6.196958531864303e-08,True,9.258680566738614e-08,True,True,True
Noonan syndrome,iris_offset_x_l,East Asian,European,143,143,10,68,moderate,0.0019915719122578952,0.023473104901017103,-0.049663145852108584,0.05181561811161771,-0.051654717764366476,0.028342513210600606,-0.8530674779322022,0.4946898082861001,1.3477572862183023,1.3477572862183023,0.07999723097496718,0.012904812111299712,0.05470426400956345,0.10529019794037091,True,5.681462108532441e-10,False,True,2.9827676069795313e-07,True,1.2535440726040534e-07,True,True,True
Cornelia de Lange syndrome,inter_canthal_distance,Latino/Hispanic,European,143,143,71,177,primary,0.24847946144718827,0.25195082398911633,0.2681098340171558,0.2529473384140801,0.019630372569967552,0.0009965144249637903,1.1844915199304926,0.06087401784985394,-1.1236175020806387,1.1236175020806387,-0.018633858145003977,0.0030718011881907836,-0.024654477841525257,-0.012613238448482698,True,1.3105223401463975e-09,True,False,4.300151428605367e-07,True,2.619053005003819e-07,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_r,South Asian,European,143,143,49,77,primary,0.015018078740745415,0.014849565664404414,0.01852419199815817,0.014959491802998248,0.0035061132574127542,0.0001099261385938341,1.401008135521146,0.04175533404733134,-1.3592528014738146,1.3592528014738146,-0.0033961871188189522,0.0005675879692993566,-0.0045086390967039175,-0.0022837351409339874,True,2.183351299542822e-09,True,False,1.910432387099969e-06,True,4.1015813698554446e-07,True,True,True
WILLIAMS-BEUREN SYNDROME; WBS,jaw_to_forehead_ratio,South Asian,European,143,143,49,77,primary,1.0708989587374425,1.1000060249357009,0.9897731346379781,1.1066427423948908,-0.08112582409946434,0.0066367174591899225,-1.3740232255765643,0.09714945239387177,1.4711726779704362,1.4711726779704362,0.08776254155865079,0.015014281740407193,0.05833509009371533,0.11718999302358625,True,5.057450655110722e-09,False,True,3.3189519924164114e-06,True,8.682177038473367e-07,True,True,True
Cornelia de Lange syndrome,nose_bridge_width,Latino/Hispanic,European,143,143,71,177,primary,0.07862283236504028,0.0785328176283594,0.08274941882013731,0.07859444342678512,0.004126586455097031,6.162579842572402e-05,1.1424071475283264,0.01775479261789031,-1.1246523549104361,1.1246523549104361,-0.004064960656671413,0.0007021580861768492,-0.005441165217031609,-0.002688756096311217,True,7.070622291249839e-09,True,False,2.06226483494787e-06,True,1.1829348998719514e-06,True,True,True
SOTOS SYNDROME; SOTOS,outer_canthal_distance,African,European,143,143,11,64,moderate,0.6688454411923601,0.6418143240654428,0.7299996265704428,0.6571366587540659,0.061154185378082704,0.015322334688623096,2.347792483024493,0.557970356724601,-1.789822126299892,1.789822126299892,-0.045831850689459414,0.007944133190906257,-0.06140206563202494,-0.030261635746893892,True,7.96155747647591e-09,True,False,9.951946845594888e-07,True,1.3152572966791233e-06,True,True,True
SOTOS SYNDROME; SOTOS,eye_fissure_height_l,South Asian,European,143,143,10,64,moderate,0.0740935779685218,0.05997532946535427,0.10929361137209563,0.07495630959227578,0.03520003340357383,0.014980980126921513,1.9259714774170167,0.73039385700143,-1.1955776204155866,1.1955776204155866,-0.020219053276652146,0.0035363149682153777,-0.027150103252344193,-0.0132880033009601,True,1.0807166703193692e-08,True,False,1.2894914816310654e-06,True,1.7163555814854715e-06,True,True,True
