syndrome_name,comparisons_tested,significant_interactions,global_significant_interactions,high_priority_interactions,high_confidence_interactions,direction_reversals,max_abs_delta_g,median_abs_delta_g
WILLIAMS-BEUREN SYNDROME; WBS,2625,131,133,80,80,560,2.186490105600969,0.2825059194075268
Rubinstein-Taybi syndrome,1875,73,83,54,59,644,2.1701640246480185,0.4065246020446999
SOTOS SYNDROME; SOTOS,2625,195,181,58,56,892,2.91451728820244,0.5195182548048952
Cornelia de Lange syndrome,2625,84,95,46,48,798,2.7341000291425566,0.3664994436125813
Noonan syndrome,2625,78,91,37,44,464,2.431476884527949,0.32979504360302386
SAETHRE-CHOTZEN SYNDROME; SCS,375,16,17,13,14,128,2.873218071127163,0.44824168591938396
CHARGE SYNDROME,750,55,53,13,12,340,2.920919074104531,0.492558826770671
ANGELMAN SYNDROME; AS,1250,17,21,11,12,500,2.2052787109892895,0.3621879709648902
Hyperphosphatasia with mental retardation syndrome,375,13,13,11,11,104,1.3027194862032083,0.2894244369295913
FLOATING-HARBOR SYNDROME; FLHS,375,2,14,1,7,94,1.9331937778607462,0.33884072950787036
MYHRE SYNDROME; MYHRS,125,2,4,2,3,52,1.3917235248267947,0.3864441717858803
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",375,12,15,1,1,96,1.738756427246353,0.39009618771579146
Kabuki syndrome,1875,13,30,0,1,523,2.805208441121608,0.38474937236008266
OCULODENTODIGITAL DYSPLASIA; ODDD,750,76,63,0,0,336,5.2443816344229335,0.5755936667197321
Alagille syndrome,1250,4,17,0,0,488,5.076733888627526,0.5131390044889785
"Arthrogryposis, distal",1250,140,111,0,0,568,4.982035417938,0.6655440401264832
HYPOPARATHYROIDISM-RETARDATION-DYSMORPHISM SYNDROME; HRDS,125,4,5,0,0,38,4.928304880573812,0.7272924403753297
Meier-Gorlin syndrome,375,26,25,0,0,132,4.688821485661679,0.5518396067935507
Ehlers-Danlos syndrome,750,16,21,0,0,196,4.525380423724519,0.4449605510921244
Blepharocheilodontic syndrome,375,6,9,0,0,98,4.521080421904491,0.4339589220563668
Multiple congenital anomalies-hypotonia-seizures syndrome,750,2,18,0,0,315,4.375790984349198,0.6584189209531804
Long QT syndrome,125,12,9,0,0,67,4.216964426942749,0.6643648830038158
"INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F",125,46,36,0,0,61,4.118670531661194,1.0157672061521763
Treacher Collins syndrome,750,146,118,0,0,318,4.108227118777386,0.5955320872063319
DESANTO-SHINAWI SYNDROME; DESSH,375,44,40,0,0,168,3.9894458879807986,0.5900479067404661
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH SPEECH DELAY, DYSMORPHIC FACIES, AND T-CELL ABNORMALITIES; IDDSFTA",750,65,60,0,0,331,3.9638233830520195,0.6193427285491282
Bardet-Biedl syndrome,125,38,31,0,0,76,3.9617230876829583,0.6613980017027309
CRANIOFRONTONASAL SYNDROME; CFNS,750,14,24,0,0,189,3.9564818149877174,0.4673197079981875
VAN DER WOUDE SYNDROME 1; VWS1,125,23,17,0,0,52,3.9305234260234583,0.8896931764445489
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",375,46,40,0,0,152,3.9221731824156523,0.8082479863197879
HAO-FOUNTAIN SYNDROME; HAFOUS,125,63,38,0,0,81,3.9121999665524623,0.9370481385783334
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 21; MRD21",375,38,33,0,0,152,3.8949390209986525,0.6106877982735492
Coffin-Siris syndrome,1250,27,31,0,0,364,3.73706614289893,0.4755555595317902
PHELAN-MCDERMID SYNDROME; PHMDS,125,41,26,0,0,91,3.7198514309113087,1.2999139934313246
PFEIFFER SYNDROME,375,13,13,0,0,144,3.66260846410245,0.49123937062934475
BECKWITH-WIEDEMANN SYNDROME; BWS,750,39,39,0,0,283,3.64499453541069,0.6937836147932611
LI-CAMPEAU SYNDROME; LICAS,125,2,3,0,0,42,3.639387512962008,0.4134035258857165
Oculocutaneous albinism,375,7,12,0,0,138,3.6362578990202925,0.4034461630592884
"OHDO SYNDROME, SBBYS VARIANT; SBBYSS",125,17,17,0,0,53,3.6251470891212607,0.42092395383311454
