internal_syndrome_name,group,disease_images
3MC syndrome,European,1
3MC syndrome,Latino/Hispanic,2
3MC syndrome,Middle Eastern,9
3MC syndrome,South Asian,6
ABLEPHARON-MACROSTOMIA SYNDROME; AMS,European,2
ACHONDROPLASIA; ACH,African,3
ACHONDROPLASIA; ACH,European,4
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",African,2
"ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1",European,9
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",European,2
"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE; AFDCIN",Latino/Hispanic,1
ACROMICRIC DYSPLASIA; ACMICD,East Asian,17
ACROMICRIC DYSPLASIA; ACMICD,European,1
ACROMICRIC DYSPLASIA; ACMICD,Latino/Hispanic,5
ACTL6A,European,3
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",African,1
"AGENESIS OF CORPUS CALLOSUM, CARDIAC, OCULAR, AND GENITAL SYNDROME; ACOGS",European,4
AL KAISSI SYNDROME; ALKAS,African,1
AL KAISSI SYNDROME; ALKAS,Middle Eastern,4
AL-RAQAD SYNDROME; ARS,Middle Eastern,3
AL-RAQAD SYNDROME; ARS,South Asian,2
"ALACRIMA, ACHALASIA, AND MENTAL RETARDATION SYNDROME; AAMR",Latino/Hispanic,2
ALAZAMI SYNDROME; ALAZS,African,2
ALAZAMI SYNDROME; ALAZS,European,2
ALAZAMI SYNDROME; ALAZS,Middle Eastern,2
ALAZAMI-YUAN SYNDROME; ALYUS,Middle Eastern,3
ALLAN-HERNDON-DUDLEY SYNDROME; AHDS,European,5
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",East Asian,1
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",European,5
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",Middle Eastern,2
"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX",South Asian,2
ALSTROM SYNDROME; ALMS,East Asian,25
ALZAHRANI-KUWAHARA SYNDROME; ALKUS,Middle Eastern,5
ANGELMAN SYNDROME; AS,African,7
ANGELMAN SYNDROME; AS,East Asian,10
ANGELMAN SYNDROME; AS,European,98
ANGELMAN SYNDROME; AS,Latino/Hispanic,5
ANGELMAN SYNDROME; AS,South Asian,4
ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1,European,2
APERT SYNDROME,African,1
APERT SYNDROME,European,3
APERT SYNDROME,SE Asian,1
ARBOLEDA-THAM SYNDROME; ARTHS,African,5
ARBOLEDA-THAM SYNDROME; ARTHS,European,44
ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD,Middle Eastern,1
ATAXIA-TELANGIECTASIA; AT,East Asian,1
ATAXIA-TELANGIECTASIA; AT,European,1
ATAXIA-TELANGIECTASIA; AT,South Asian,2
ATP9A,Middle Eastern,1
AU-KLINE SYNDROME; AUKS,East Asian,2
AU-KLINE SYNDROME; AUKS,European,25
AYME-GRIPP SYNDROME; AYGRP,European,19
AYME-GRIPP SYNDROME; AYGRP,South Asian,1
Acrodysostosis,European,2
Acromesomelic dysplasia,African,2
Alagille syndrome,East Asian,5
Alagille syndrome,European,9
Alagille syndrome,Latino/Hispanic,1
Alagille syndrome,Middle Eastern,4
Alagille syndrome,SE Asian,13
Alagille syndrome,South Asian,3
Arthrogryposis multiplex congenita,European,1
"Arthrogryposis, distal",African,5
"Arthrogryposis, distal",East Asian,2
"Arthrogryposis, distal",European,31
"Arthrogryposis, distal",Middle Eastern,4
"Arthrogryposis, distal",South Asian,4
"Arthrogryposis, renal dysfunction, and cholestasis",European,1
Auriculocondylar syndrome,African,2
"Autism, susceptiblity to",East Asian,2
"Autism, susceptiblity to",European,25
BAINBRIDGE-ROPERS SYNDROME; BRPS,African,1
BAINBRIDGE-ROPERS SYNDROME; BRPS,East Asian,1
BAINBRIDGE-ROPERS SYNDROME; BRPS,European,12
BAINBRIDGE-ROPERS SYNDROME; BRPS,Middle Eastern,1
BAINBRIDGE-ROPERS SYNDROME; BRPS,South Asian,1
BAKER-GORDON SYNDROME; BAGOS,European,2
BARBER-SAY SYNDROME; BBRSAY,European,4
BARTSOCAS-PAPAS SYNDROME 1; BPS1,European,1
BASAL CELL NEVUS SYNDROME; BCNS,African,1
BASAL CELL NEVUS SYNDROME; BCNS,SE Asian,1
BASILICATA-AKHTAR SYNDROME; MRXSBA,East Asian,1
BASILICATA-AKHTAR SYNDROME; MRXSBA,European,21
BASILICATA-AKHTAR SYNDROME; MRXSBA,Latino/Hispanic,2
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,European,4
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,Middle Eastern,3
BEAULIEU-BOYCOTT-INNES SYNDROME; BBIS,South Asian,2
BECK-FAHRNER SYNDROME; BEFAHRS,African,1
BECK-FAHRNER SYNDROME; BEFAHRS,European,4
BECKWITH-WIEDEMANN SYNDROME; BWS,African,2
BECKWITH-WIEDEMANN SYNDROME; BWS,European,8
BECKWITH-WIEDEMANN SYNDROME; BWS,Latino/Hispanic,1
BECKWITH-WIEDEMANN SYNDROME; BWS,Middle Eastern,1
BECKWITH-WIEDEMANN SYNDROME; BWS,SE Asian,2
BECKWITH-WIEDEMANN SYNDROME; BWS,South Asian,5
BIRK-BAREL SYNDROME; BIBARS,European,2
BIRK-BAREL SYNDROME; BIBARS,Middle Eastern,1
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",African,2
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",European,10
"BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS; BPES",Latino/Hispanic,11
BOHRING-OPITZ SYNDROME; BOPS,African,2
BOHRING-OPITZ SYNDROME; BOPS,European,9
BORJESON-FORSSMAN-LEHMANN SYNDROME; BFLS,European,21
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,East Asian,1
BOSCH-BOONSTRA-SCHAAF OPTIC ATROPHY SYNDROME; BBSOAS,European,5
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,African,3
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,European,3
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,Middle Eastern,2
BOSMA ARHINIA MICROPHTHALMIA SYNDROME; BAMS,SE Asian,2
BRANCHIOOCULOFACIAL SYNDROME; BOFS,European,7
BRANCHIOOCULOFACIAL SYNDROME; BOFS,Middle Eastern,1
BRUNET-WAGNER NEURODEVELOPMENTAL SYNDROME; BRUWAG,European,2
BURN-MCKEOWN SYNDROME; BMKS,European,8
BURN-MCKEOWN SYNDROME; BMKS,SE Asian,1
BURN-MCKEOWN SYNDROME; BMKS,South Asian,3
Baraitser-Winter syndrome,European,47
Baraitser-Winter syndrome,Latino/Hispanic,2
Bardet-Biedl syndrome,African,3
Bardet-Biedl syndrome,East Asian,1
Bardet-Biedl syndrome,European,21
Bardet-Biedl syndrome,South Asian,1
Blepharocheilodontic syndrome,African,2
Blepharocheilodontic syndrome,East Asian,3
Blepharocheilodontic syndrome,European,2
CANTU SYNDROME,African,3
CANTU SYNDROME,East Asian,1
CANTU SYNDROME,European,9
"CARDIAC, FACIAL, AND DIGITAL ANOMALIES WITH DEVELOPMENTAL DELAY; CAFDADD",European,3
CARDIOSPONDYLOCARPOFACIAL SYNDROME; CSCF,European,3
CAREY-FINEMAN-ZITER SYNDROME; CFZS,European,7
CATEL-MANZKE SYNDROME; CATMANS,European,2
CATEL-MANZKE SYNDROME; CATMANS,Middle Eastern,1
CDH8,European,3
CEBALID SYNDROME; CEBALID,East Asian,1
CEBALID SYNDROME; CEBALID,European,18
CEBALID SYNDROME; CEBALID,Latino/Hispanic,1
CEBALID SYNDROME; CEBALID,Middle Eastern,2
CEBALID SYNDROME; CEBALID,South Asian,2
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR",European,1
"CEREBELLAR ATROPHY, VISUAL IMPAIRMENT, AND PSYCHOMOTOR RETARDATION; CAVIPMR",Middle Eastern,4
CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES; CECBA,European,1
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",African,2
"CEREBELLAR, OCULAR, CRANIOFACIAL, AND GENITAL SYNDROME; COFG",Middle Eastern,11
